PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOR,EFGP,TSP,USGP,PACE,PIE,ALLSTAR
YVONNE TURNER,PHO,31,10,3,7,20.7,5.6,2,5.6,35.7,0.7,2.3,30.4,0.9,1,90,0.3,2.3,2.6,2.3,2.2,0.9,0.1,1.2,13,1,0,-5.2,89.7,103.5,-13.8,19.8,1.05,21.7,1.5,10.4,6.1,20.8,42,46.4,18.2,93.7,6.8,NON-ALLSTAR
VICTORIA MACAULAY,CHI,28,5,2,3,4.4,1.2,0.4,1,40,0,0,0,0.4,0.4,100,0.2,0.6,0.8,0,0,0.4,0.2,0.6,4,0,0,2.2,102.2,76.1,26.1,0,0,0,5.3,14.3,10,0,40,51,11.8,98.82,8.9,NON-ALLSTAR
TINA CHARLES,NYL,30,17,7,10,31.7,17.9,7,18.8,37.2,0.5,2.4,19.5,3.4,4.3,79.5,1.9,5.8,7.6,1.9,2.5,0.9,0.5,2.8,31.4,3,0,-6.7,93.5,103,-9.4,11.9,0.74,7.5,5.5,17.3,11.4,10,38.4,43.2,31.1,99.15,9.3,ALLSTAR
TIFFANY MITCHELL,IND,24,18,6,12,22.3,9.6,3.1,8.2,37.4,0.6,2.1,27,2.9,3.3,88.3,0.7,2.2,2.9,1.9,1.7,0.4,0.2,2.3,16,0,0,-1,99.4,101.7,-2.4,14.3,1.1,14.3,3.1,9.1,6.1,13,40.8,49.9,21.7,95.92,7.3,NON-ALLSTAR
TIFFANY HAYES,ATL,29,16,5,11,28.9,13.3,4.8,12.1,39.7,1.4,4.4,32.9,2.3,3.1,73.5,0.8,2.5,3.3,3,1.7,1,0.4,2.4,24.3,0,0,-4.5,89.9,98.2,-8.4,22.7,1.78,16.6,2.3,7.8,5,9.3,45.6,49.4,22.4,93.84,10.5,ALLSTAR
TIFFANY BIAS,NYL,27,12,6,6,8.7,1.9,0.6,2.3,25,0.3,1.6,15.8,0.5,0.6,85.7,0,0.5,0.5,0.9,0.7,0.3,0,0.6,4,0,0,-0.1,89.3,88.9,0.4,17.5,1.38,22,0,5.1,2.6,16,30.4,37,15.7,98.39,2,NON-ALLSTAR
TIERRA RUFFIN-PRATT,LAS,28,16,9,7,23.5,6.4,2.3,5.6,40,0.8,2.2,37.1,1.1,1.3,85,0.8,1.9,2.6,2.3,0.8,0.6,0.8,2.2,16.2,0,0,0.5,96.3,94.4,1.9,15.3,3.08,25,2.9,7.2,5.1,8.1,47.2,51.6,12.6,97.48,7.4,NON-ALLSTAR
TIANNA HAWKINS,WAS,28,15,9,6,18.1,10.9,4.1,7.8,52.1,1.1,3.1,36.2,1.7,1.9,89.3,1.7,2.7,4.4,0.8,1.4,0.6,0.1,2.8,18.2,0,0,1.7,104.1,99.5,4.7,8,0.57,7.5,9.6,14.8,12.2,13.1,59.4,63.4,22.8,98.4,12.7,NON-ALLSTAR
THERESA PLAISANCE,DAL,27,16,5,11,17.9,6.4,2.2,5.4,40.2,1.1,3.1,36,0.9,1,87.5,0.9,3.5,4.4,1.9,1.3,0.3,0.7,2.3,16.3,3,0,0.1,92.7,94.2,-1.5,20.3,1.55,21.5,4.5,20.7,12,13.9,50.6,54.2,17,93.02,12,NON-ALLSTAR
TEMI FAGBENLE,MIN,26,1,1,0,22.1,2,1,4,25,0,1,0,0,0,0,2,2,4,2,2,0,1,3,10.8,0,0,19,107.3,59.5,47.8,11.8,1,25,7.7,10.5,8.9,25,25,25,11.3,90.2,-0.9,NON-ALLSTAR
TEAIRA MCCOWAN,IND,22,18,6,12,19.9,6.7,2.6,5.3,49.5,0,0,0,1.4,2.3,63.4,3.1,4.7,7.8,0.1,1.1,0.6,1.6,3.4,21.4,3,0,-1.6,98.9,102.8,-4,0.9,0.11,1.5,14.6,22.7,18.6,14.2,49.5,53.1,15.7,94.41,10.6,ALLSTAR
TAYLER HILL,DAL,28,4,0,4,12.2,3.3,1,3.3,30.8,0.3,1.5,16.7,1,1.3,80,0.5,0.8,1.3,0.8,0,0.3,0,1,6.6,0,0,-6.5,82.1,107.2,-25.1,10.3,0,17.6,3.5,5.8,4.6,0,34.6,42.8,12.3,94.18,4.7,NON-ALLSTAR
TANISHA WRIGHT,NYL,35,14,6,8,17.1,4.6,1.7,4.2,40.7,0.5,1.4,36.8,0.7,0.9,76.9,0.6,1.9,2.5,3.5,1.9,1.2,0.4,1.6,15.8,0,0,1.1,97.6,94.1,3.5,32.5,1.88,35,3.5,10.2,6.8,18.6,46.6,50.2,15.7,98.66,10.8,NON-ALLSTAR
TAMERA YOUNG,LVA,32,16,11,5,16.5,4.7,1.8,5.1,35.4,0.1,0.5,25,0.9,1.6,60,1.2,1.8,2.9,1.4,1.3,0.7,0.1,1.6,11.5,0,0,1.5,92,87.9,4.1,15,1.1,16.8,6.8,9.3,8.1,15.3,36.6,40.3,17.5,102.39,5,NON-ALLSTAR
SYLVIA FOWLES,MIN,33,17,10,7,30.9,14.2,6.2,10.6,58.9,0,0,0,1.7,2.5,67.4,2.8,7.2,10.1,1.1,2.1,1,1.3,2.5,32.7,9,0,1.8,96.5,92.9,3.6,6.5,0.51,7.1,9.7,23.4,16.7,13.9,58.9,60.6,19.7,95.11,17.2,ALLSTAR
