SMALL SUVS,,,MID-SIZE SUVS,,,FULL SIZE SUVS,
Model,Rating,,Model,Rating,,Model,Rating
CR-V 4WD,71,,Rendezous,65,,Sequoia 4WD,79
Escape 4WD,72,,Freestyle 4WD ,69,,Sequoia   ,87
Forester 4WD,72,,Freestyle  ,70,,Tahoe 4WD,90
CR-V 4WD,73,,Pilot 4WD,70,,Yukon 4WD,94
Vue 4WD,73,,Pilot  ,73,,Cammander 4WD,94
Mariner 4WD,74,,Highlander 4WD,73,,PathFinder Armada 4WD,95
Tucson 4WD,81,,Explorer 4WD,74,,Touareg 4WD,99
Vue  ,82,,4Runner 4WD,75,,Yukon 4WD,103
Equinox 4WD,83,,Xterra 4WD,76,,Commander,103
Sportage 4WD,83,,Wrangler 4WD,77,,PathFinder Armada ,106
Mariner   ,83,,Highlander ,78,,Tahoe  ,107
Escape  ,85,,Envoy 4WD,79,,Durango 4WD,107
Escape Hyb. 4WD,85,,Santa Fe,82,,Durango   ,122
Torrent,85,,Tribeca 4WD,82,,,
RAV4 4WD,85,,TrailBlazer 4WD,85,,,
RAV4  ,86,,Explorer  ,85,,,
Escape Hybrid,88,,4Runner,85,,,
Tuscon   ,89,,Highlander Hyb. 4WD,85,,,
Sportage,91,,Pathfinder 4WD,86,,,
Equinox   ,97,,Pacifica 4WD,87,,,
Element,98,,Liberty 4WD,87,,,
Grand Vitara,119,,Pacifica ,89,,,
,,,Murano 4WD,89,,,
,,,Envoy ,91,,,
,,,Grand Cherokee 4WD,91,,,
,,,Sorento 4WD,91,,,
,,,Pathfinder   ,91,,,
,,,Murano   ,92,,,
,,,FJ Cruiser 4WD,95,,,
,,,CX-7,96,,,
,,,Xterra    ,97,,,
,,,Highlander Hybrid,97,,,
,,,TrailBlazer    ,98,,,
,,,Sorento,98,,,
,,,Hummer H3 4WD,106,,,
,,,Endeavor 4WD,108,,,
,,,Grand Cherokee ,110,,,
,,,Liberty   ,110,,,
,,,Endeavor   ,114,,,
