District_Name,County_Name,District_Type,Enrollment_District,AmericanIndian_AlaskaNative,Asian,Black_AfricanAmerican,Filipino,Hispanic_Latino,NativeHawaiian_PacIslander,Two_orMoreRaces,NoneReported,White,Nonwhite,CAASPP-Math,CAASPP-ELA,FederalRevenue,StateRevenue,LocalRevenue,LCFF
ABC Unified (Los Angeles),Los Angeles,Unified School District,20550,0.4,23.9,8.5,11.6,45.9,0.7,2.4,0.5,6,94,54.22,66.23,526,1692,406,8943
Acalanes Union High (Contra Costa),Contra Costa,High School District,5662,0.1,13.7,1.7,2.1,9.9,0.2,6.8,0.4,64.9,35.1,68.73,82.01,240,1088,3262,9431
Ackerman Charter (Placer),Placer,Elementary School District,607,0.5,1.2,1.2,0.2,13,0,5.6,1.3,77.1,22.9,60.11,71.09,160,857,394,7973
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,14855,0.4,3.3,6.6,1.2,38.6,0.2,6.1,3.2,40.4,59.6,37.22,49.57,735,994,6584,9079
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,8707,0.4,0.8,20,0.6,64.5,0.8,3.1,2.2,7.7,92.3,15.43,26.58,752,1256,274,9951
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),3105,0.6,9,17.7,0.9,53.2,0.9,8.8,0.3,8.5,91.5,0,4.08,N/A,N/A,N/A,N/A
Alameda Unified (Alameda),Alameda,Unified School District,11299,0.2,26.3,7.6,6.6,16.8,0.7,10.9,2,28.9,71.1,60.3,68.11,435,1128,2204,8547
Albany City Unified (Alameda),Alameda,Unified School District,3658,0.1,27.5,2.9,1.3,16.6,0.2,13.8,4.6,33.1,66.9,69.69,75.99,258,1879,2543,8444
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,116,0,0,0.9,0,36.2,0,0.9,0,62.1,37.9,52.54,62.71,494,1198,2722,16459
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,16855,0.2,51.4,0.7,2.2,40.6,0.1,2.5,0.2,2.2,97.8,55.43,63.32,744,1314,1152,9998
Alisal Union (Monterey),Monterey,Elementary School District,9162,0,0.7,0.3,0.5,91.2,0.2,0.3,5.6,1.2,98.8,23.03,31.83,707,1002,571,10320
