PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Nikola Jokic,2020-21,DEN,Post Scorer,"2,488",C,25,6.83,6.19,0.64,14.30,5.87,5.24,0.64
Rudy Gobert,2020-21,UTA,Roll + Cut Big,"2,187",C,28,6.01,0.92,5.08,11.60,5.23,1.13,4.10
Joel Embiid,2020-21,PHI,Post Scorer,"1,585",C,26,5.63,4.11,1.52,8.00,5.18,3.94,1.24
Giannis Antetokounmpo,2020-21,MIL,Slasher,"2,013",PF,26,5.55,3.55,2.00,10.10,5.95,4.35,1.60
Jimmy Butler,2020-21,MIA,Shot Creator,"1,745",SF,31,5.42,3.77,1.65,8.60,4.58,3.56,1.02
LeBron James,2020-21,LAL,Shot Creator,"1,504",PG,36,5.31,3.93,1.38,7.30,3.92,3.24,0.68
Stephen Curry,2020-21,GSW,Primary Ball Handler,"2,152",PG,32,5.29,5.93,-0.64,10.50,3.89,4.90,-1.01
Kawhi Leonard,2020-21,LAC,Shot Creator,"1,772",SF,29,4.94,3.61,1.33,8.30,4.80,4.21,0.60
Paul George,2020-21,LAC,Shot Creator,"1,821",SF,30,4.36,2.65,1.71,7.90,3.16,2.96,0.21
Jayson Tatum,2020-21,BOS,Shot Creator,"2,290",SF,22,4.01,3.35,0.66,9.40,2.56,2.81,-0.25
Luka Doncic,2020-21,DAL,Shot Creator,"2,262",PG,21,3.97,4.67,-0.70,9.20,4.31,4.68,-0.37
Zion Williamson,2020-21,NOP,Slasher,"2,026",PF,20,3.91,3.97,-0.06,8.20,2.06,2.84,-0.78
Karl-Anthony Towns,2020-21,MIN,Versatile Big,"1,689",C,25,3.88,3.16,0.72,6.80,1.95,2.25,-0.30
Damian Lillard,2020-21,POR,Shot Creator,"2,398",PG,30,3.73,5.39,-1.66,9.40,3.48,5.48,-2.00
James Harden,2020-21,HOU/BRK,Shot Creator,"1,609",PG-SG,31,3.66,4.42,-0.76,6.30,4.64,4.42,0.22
Chris Paul,2020-21,PHO,Shot Creator,"2,200",PG,35,3.53,2.50,1.03,8.40,3.75,3.02,0.73
Kyrie Irving,2020-21,BRK,Shot Creator,"1,886",PG,28,3.38,3.99,-0.60,7.00,3.59,4.26,-0.68
Clint Capela,2020-21,ATL,Roll + Cut Big,"1,898",C,26,3.38,0.33,3.06,7.00,3.29,1.12,2.17
Kevin Durant,2020-21,BRK,Shot Creator,"1,157",PF,32,3.35,3.46,-0.11,4.30,3.84,3.83,0.01
Anthony Davis,2020-21,LAL,Post Scorer,"1,162",PF,27,3.29,1.62,1.67,4.20,2.98,1.35,1.64
Fred VanVleet,2020-21,TOR,Primary Ball Handler,"1,899",SG,26,3.29,2.00,1.29,6.90,1.84,1.84,0.00
Mike Conley,2020-21,UTA,Primary Ball Handler,"1,498",PG,33,3.22,1.86,1.36,5.40,3.04,2.88,0.16
Jrue Holiday,2020-21,MIL,Shot Creator,"1,907",PG,30,3.18,1.78,1.40,6.80,2.54,2.12,0.42
Michael Porter Jr.,2020-21,DEN,Athletic Finisher,"1,912",SF,22,2.89,2.47,0.41,6.50,2.41,2.15,0.25
Bradley Beal,2020-21,WAS,Slasher,"2,147",SG,27,2.86,4.26,-1.40,7.30,1.14,2.58,-1.44
Russell Westbrook,2020-21,WAS,Shot Creator,"2,369",PG,32,2.84,1.59,1.25,8.00,2.00,1.54,0.46
Daniel Gafford,2020-21,CHI/WAS,Roll + Cut Big,791,PF-C,22,2.49,0.45,2.05,2.50,1.33,-0.47,1.81
Pascal Siakam,2020-21,TOR,Shot Creator,"2,006",PF,26,2.45,1.79,0.67,6.30,0.65,0.81,-0.16
Brook Lopez,2020-21,MIL,Stretch Big,"1,902",C,32,2.44,0.23,2.21,5.90,1.33,0.19,1.14
Derrick White,2020-21,SAS,Secondary Ball Handler,"1,064",SG,26,2.35,1.69,0.66,3.30,0.57,0.75,-0.17
Enes Kanter,2020-21,POR,Post Scorer,"1,757",C,28,2.33,2.54,-0.22,5.40,0.67,0.78,-0.11
Kelly Olynyk,2020-21,MIA/HOU,Stretch Big,"1,997",C-PF,29,2.33,0.89,1.43,6.10,1.12,0.27,0.85
Jonas Valanciunas,2020-21,MEM,Post Scorer,"1,755",C,28,2.32,1.52,0.80,5.30,2.06,1.20,0.86
CJ McCollum,2020-21,POR,Primary Ball Handler,"1,600",SG,29,2.26,3.04,-0.78,4.80,1.88,3.26,-1.38
Dejounte Murray,2020-21,SAS,Slasher,"2,139",PG,24,2.21,0.76,1.44,6.40,0.55,0.12,0.42
