Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Alex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.7,4.2,4.3,1.3,0.8,7.9,12.2,0.1,0.6,0.7,0.053,-2.4,-1,-3.4,-0.2
2,Quincy Acy,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.3,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.1,0,-0.019,-5.6,-0.2,-5.8,-0.1
3,Jaylen Adams,PG,22,ATL,20,198,9.6,0.53,0.75,0.038,3.2,11.5,7.3,20.9,1.4,0.9,18.5,13.4,0.1,0.1,0.2,0.048,-1.6,-2,-3.6,-0.1
4,Steven Adams,C,25,OKC,64,2167,19,0.604,0.002,0.391,14.3,15.3,14.8,6.7,2.1,2,12.6,16.4,4.5,3.3,7.8,0.173,0.9,2,2.9,2.7
5,Bam Adebayo,C,21,MIA,66,1476,17.5,0.625,0.028,0.532,9.6,22.6,16.1,13.8,1.7,3.1,17.5,15.4,2.8,2.3,5.1,0.167,-0.5,3.1,2.6,1.7
6,Deng Adel,SF,21,CLE,12,158,2.2,0.405,0.667,0.067,1.4,8.1,4.6,3.4,0.3,2.2,13.9,9.9,-0.2,0,-0.2,-0.065,-5.4,-1.7,-7.2,-0.2
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.3,0.322,0.4,0.2,4.9,14.9,9.9,36.8,4.4,0,15.5,24.8,-0.1,0,0,-0.046,-4.3,0.6,-3.7,0
8,LaMarcus Aldridge,C,33,SAS,66,2170,22.7,0.572,0.028,0.318,10.1,19.5,14.8,12,0.8,3.2,9.1,27.2,5.1,2.1,7.1,0.158,1.1,0.1,1.3,1.8
9,Rawle Alkins,SG,21,CHI,3,6,37.9,0.375,0.25,0,54.5,0,27.4,51.4,8.1,0,0,29.2,0,0,0,0.354,20.1,7.3,27.3,0
10,Grayson Allen,SG,23,UTA,30,290,4.1,0.451,0.637,0.336,0.4,3.7,2.1,8.8,0.7,0.8,11.6,21.6,-0.4,0.2,-0.2,-0.036,-4.7,-3.4,-8.1,-0.5
