name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2015-01-31,2014,3059319,1610612750,400579003,4,11,22,0,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",12,250,0,1.10,"Dellavedova, Matthew",5.30,15.10
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,2,5,32,0,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",177,185,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,4,6,37,0,"Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",50,239,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,1,4,35,1,"Jump Shot","3PT Field Goal",25,"Cleveland Cavaliers",153,208,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,1,7,37,0,"Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",139,221,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,1,9,28,1,"Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",217,155,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,5,1,43,0,"Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",-234,50,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,1,11,43,0,"Jump Shot","3PT Field Goal",26,"Cleveland Cavaliers",223,152,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,3,5,49,1,"Jump Shot","3PT Field Goal",24,"Cleveland Cavaliers",206,141,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,3,4,49,1,"Jump Shot","3PT Field Goal",23,"Cleveland Cavaliers",-234,50,0,0.00,,0.00,0.00
