name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2014-12-23,2014,3059319,1610612750,400578708,1,6,27,0,"Fadeaway Jump Shot","2PT Field Goal",12,"Cleveland Cavaliers",127,-24,2,3.60,"Irving, Kyrie",3.30,14.30
"Andrew Wiggins","Minnesota Timberwolves",2018-02-07,2017,3059319,1610612750,400975553,2,0,00,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Cleveland Cavaliers",-152,73,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,1,11,45,0,"Jump Shot","2PT Field Goal",14,"Cleveland Cavaliers",9,146,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,3,0,56,0,"Jump Shot","2PT Field Goal",10,"Cleveland Cavaliers",-102,31,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-25,2015,3059319,1610612750,400828554,1,2,34,0,"Jump Shot","2PT Field Goal",16,"Cleveland Cavaliers",-88,141,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-01,2016,3059319,1610612750,400899369,2,3,41,0,"Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",133,129,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-01,2016,3059319,1610612750,400899369,2,0,02,1,"Jump Shot","2PT Field Goal",22,"Cleveland Cavaliers",-171,141,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,4,1,47,0,"Jump Shot","2PT Field Goal",21,"Cleveland Cavaliers",127,169,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,2,9,08,1,"Jump Shot","2PT Field Goal",13,"Cleveland Cavaliers",-122,65,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,2,8,07,0,"Jump Shot","2PT Field Goal",19,"Cleveland Cavaliers",37,190,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,2,4,08,0,"Jump Shot","2PT Field Goal",17,"Cleveland Cavaliers",163,70,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,4,3,46,1,"Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",130,134,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,1,10,43,0,"Jump Shot","2PT Field Goal",17,"Cleveland Cavaliers",-148,101,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,3,1,19,0,"Jump Shot","2PT Field Goal",21,"Cleveland Cavaliers",-94,190,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,3,0,00,1,"Jump Shot","2PT Field Goal",22,"Cleveland Cavaliers",-155,160,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-08,2017,3059319,1610612750,400975340,1,1,08,1,"Jump Shot","2PT Field Goal",18,"Cleveland Cavaliers",181,22,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-01-31,2014,3059319,1610612750,400579003,2,4,04,0,"Jump Shot","2PT Field Goal",16,"Cleveland Cavaliers",-158,26,0,1.90,"Smith, J.R.",4.40,14.90
