Timestamp,Please indicate your age range.,Please indicate your gender.,Please indicate your race.,How many years have you been working in education?,Which option best describes your role in your school?,In what division do you work?,In what state is your school located?,How would you describe your school?,How much autonomy do you have in your job?,Know Yourself,Understand Emotions,Tell Empowering Stories,Build Community,Be Here Now,Take Care of Yourself,Focus on the Bright Spots,Cultivate Compassion,Be a Learner,Play and Create,Ride the Waves of Change,Celebrate and Appreciate,Purposefulness,Acceptance,Optimism,Empathy,Humor,Positive Self-Perception ,Empowerment ,Perspective,Curiosity,Courage,Perseverance ,Trust 
8/24/2019 9:56:13,45 - 49,Female,White,25 - 29 years,Administrator,Upper School,DE,2,3,5,5,4,4,3,3,3,3,3,3,4,4,5,4,4,3,4,2,3,3,4,4,4,3
8/24/2019 14:09:09,35 - 39,Female,White,5 - 9 years,Administrator,Upper School,AZ,3,4,4,4,3,3,2,3,3,4,4,3,3,3,4,3,3,5,5,3,4,5,4,4,5,3
8/29/2019 13:57:44,50 - 54,Female,White,25 - 29 years,Administrator,Upper School,MS,3,4,4,4,3,5,4,2,4,4,4,5,4,5,4,3,4,4,4,4,5,4,4,4,4,4
9/4/2019 17:35:17,50 - 54,Female,White,20 - 24 years,Administrator,Upper School,NY,3,4,4,4,3,4,3,5,3,4,3,3,4,5,4,4,4,4,2,4,4,5,3,4,4,4
9/5/2019 8:19:11,40 - 44,Female,White,20 - 24 years,Administrator,Upper School,NJ,4,4,5,5,4,3,3,4,2,2,3,3,4,4,4,5,3,5,4,5,5,5,4,5,5,5
9/5/2019 8:34:00,45 - 49,Female,White,20 - 24 years,Administrator,Lower School,KY,4,4,5,4,4,5,5,2,3,5,5,5,5,4,4,3,4,5,5,3,5,5,5,4,5,5
9/5/2019 9:52:36,40 - 44,Female,White,15 - 19 years,Administrator,Lower School,CA,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3
9/6/2019 13:38:39,60 - 64,Female,White,30 or more years,Administrator,Upper School,AZ,4,5,4,3,4,4,3,3,4,4,4,4,5,5,4,5,4,4,5,4,4,4,5,5,5,4
9/6/2019 13:44:35,55 - 59,Female,White,30 or more years,Teacher,,AZ,4,4,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,5
9/6/2019 13:46:40,25 - 29,Female,White,5 - 9 years,Teacher,Lower School,AZ,3,3,5,4,4,3,4,5,5,4,4,5,4,4,4,4,4,5,5,3,4,4,4,3,4,3
9/6/2019 13:48:32,35 - 39,Female,Asian,10 - 14 years,Teacher,Upper School,TX,4,4,5,4,4,4,5,5,4,4,3,3,4,5,5,4,4,4,4,3,3,4,4,5,3,4
9/6/2019 13:49:12,25 - 29,Female,White,5 - 9 years,Teacher,Middle School,AZ,3,4,4,4,5,3,3,4,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,3,,4
9/6/2019 13:54:02,60 - 64,Female,White,25 - 29 years,Administrator,Lower School,AZ,4,4,5,4,4,4,4,4,4,5,5,3,4,5,5,4,4,5,3,4,4,4,5,5,5,4
9/6/2019 14:00:13,55 - 59,Female,White,5 - 9 years,Teacher,Middle School,AZ,5,3,5,4,5,4,4,2,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,5,5,4
9/6/2019 14:05:43,40 - 44,Female,White,15 - 19 years,Support Staff,Middle School,AZ,4,5,4,5,4,5,3,2,5,5,5,3,3,5,5,4,5,5,2,3,4,5,5,2,5,3
9/6/2019 14:05:58,25 - 29,Female,White,5 - 9 years,Teacher,Middle School,AZ,4,4,4,5,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4
9/6/2019 14:12:58,45 - 49,Female,White,15 - 19 years,Teacher,Middle School,AZ,4,4,4,4,4,5,4,3,5,5,4,4,4,5,4,4,5,5,5,4,4,5,4,4,4,5
9/6/2019 14:13:56,60 - 64,Female,White,30 or more years,Administrator,,AZ,4,4,4,4,4,4,3,3,4,4,5,3,4,4,4,4,5,5,5,3,4,5,4,4,4,4
9/6/2019 14:28:31,30 - 34,Female,White,5 - 9 years,Teacher,Lower School,AZ,4,3,4,3,4,5,4,2,3,4,4,2,3,5,4,4,4,4,4,4,3,4,3,2,4,3
9/6/2019 14:31:22,35 - 39,Female,LatinX/Hispanic,15 - 19 years,Teacher,Middle School,AZ,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,5,4,4,5,5,4,5,4
9/6/2019 14:33:06,45 - 49,Female,White,15 - 19 years,Teacher,Lower School,AZ,4,4,5,4,3,,4,2,3,4,4,2,4,3,4,4,,3,3,3,4,4,4,4,5,4
9/6/2019 14:39:34,30 - 34,Female,White,10 - 14 years,Teacher,Upper School,AZ,3,4,4,5,4,5,3,3,3,5,3,4,4,3,5,3,3,5,2,3,4,5,4,3,4,3
9/6/2019 14:41:24,35 - 39,Female,Prefer not to answer,20 - 24 years,Teacher,Upper School,AZ,4,4,5,4,5,5,5,3,4,5,4,5,4,5,5,5,4,4,5,3,3,5,5,4,4,5
9/6/2019 14:43:13,45 - 49,Female,White,20 - 24 years,Administrator,,AZ,3,4,4,4,5,4,4,3,4,4,4,2,3,4,5,4,5,4,5,5,4,5,4,4,3,4
