,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
0,4/9,38,82,46.3,17,21,81.0,12,34,35.3,105,Milwaukee Bucks
1,4/7,42,92,45.7,9,11,81.8,21,49,42.9,114,Milwaukee Bucks
2,4/5,39,92,42.4,9,11,81.8,18,46,39.1,105,Milwaukee Bucks
3,4/4,50,92,54.3,17,29,58.6,23,42,54.8,140,Milwaukee Bucks
4,4/2,46,80,57.5,15,21,71.4,10,28,35.7,117,Milwaukee Bucks
5,3/30,38,101,37.6,9,13,69.2,14,43,32.6,99,Milwaukee Bucks
6,3/29,58,93,62.4,23,30,76.7,10,25,40.0,149,Milwaukee Bucks
7,3/27,45,95,47.4,22,26,84.6,14,45,31.1,126,Milwaukee Bucks
8,3/25,39,88,44.3,19,21,90.5,9,36,25.0,106,Milwaukee Bucks
9,3/24,55,99,55.6,12,16,75.0,22,50,44.0,144,Milwaukee Bucks
10,3/22,51,98,52.0,13,24,54.2,15,43,34.9,130,Milwaukee Bucks
11,3/19,43,82,52.4,16,21,76.2,16,45,35.6,118,Milwaukee Bucks
12,3/16,47,89,52.8,18,26,69.2,11,32,34.4,123,Milwaukee Bucks
13,3/14,40,85,47.1,24,37,64.9,12,39,30.8,116,Milwaukee Bucks
14,3/13,50,86,58.1,18,22,81.8,15,33,45.5,133,Milwaukee Bucks
15,3/11,43,100,43.0,9,11,81.8,21,51,41.2,116,Milwaukee Bucks
16,3/9,44,104,42.3,11,14,78.6,19,50,38.0,118,Milwaukee Bucks
17,3/7,46,78,59.0,32,34,94.1,10,28,35.7,134,Milwaukee Bucks
18,3/5,39,83,47.0,17,22,77.3,22,49,44.9,117,Milwaukee Bucks
19,3/4,44,83,53.0,25,28,89.3,17,34,50.0,130,Milwaukee Bucks
20,3/1,49,94,52.1,15,19,78.9,26,56,46.4,139,Milwaukee Bucks
21,2/28,50,102,49.0,4,12,33.3,14,37,37.8,118,Milwaukee Bucks
22,2/26,38,87,43.7,15,21,71.4,13,45,28.9,104,Milwaukee Bucks
23,2/24,47,98,48.0,15,19,78.9,19,46,41.3,128,Milwaukee Bucks
24,2/16,40,88,45.5,14,18,77.8,18,47,38.3,112,Milwaukee Bucks
25,2/14,43,90,47.8,27,35,77.1,18,42,42.9,131,Milwaukee Bucks
26,2/10,45,90,50.0,12,16,75.0,17,39,43.6,119,Milwaukee Bucks
27,2/9,45,99,45.5,13,18,72.2,12,47,25.5,115,Milwaukee Bucks
28,2/6,47,87,54.0,17,21,81.0,16,42,38.1,127,Milwaukee Bucks
29,2/4,46,88,52.3,17,28,60.7,14,40,35.0,123,Milwaukee Bucks
30,2/2,39,90,43.3,19,27,70.4,9,37,24.3,106,Milwaukee Bucks
31,1/31,43,105,41.0,23,27,85.2,15,44,34.1,124,Milwaukee Bucks
32,1/29,53,96,55.2,12,20,60.0,17,43,39.5,135,Milwaukee Bucks
33,1/27,52,98,53.1,19,31,61.3,18,43,41.9,141,Milwaukee Bucks
34,1/25,37,78,47.4,20,28,71.4,13,30,43.3,107,Milwaukee Bucks
35,1/23,55,98,56.1,17,24,70.8,23,52,44.2,150,Milwaukee Bucks
36,1/21,39,86,45.3,10,11,90.9,14,39,35.9,102,Milwaukee Bucks
37,1/17,46,86,53.5,19,21,90.5,19,39,48.7,130,Milwaukee Bucks
38,1/16,48,91,52.7,13,15,86.7,23,46,50.0,132,Milwaukee Bucks
39,1/14,34,84,40.5,8,12,66.7,19,48,39.6,95,Milwaukee Bucks
40,1/12,35,87,40.2,10,15,66.7,22,57,38.6,102,Milwaukee Bucks
41,1/11,45,98,45.9,6,11,54.5,18,48,37.5,114,Milwaukee Bucks
42,1/9,39,89,43.8,14,18,77.8,19,49,38.8,111,Milwaukee Bucks
43,1/6,37,84,44.0,15,24,62.5,20,48,41.7,109,Milwaukee Bucks
44,1/4,35,88,39.8,21,30,70.0,13,39,33.3,104,Milwaukee Bucks
45,1/3,48,100,48.0,16,17,94.1,11,40,27.5,123,Milwaukee Bucks
46,1/1,34,96,35.4,14,15,93.3,13,49,26.5,95,Milwaukee Bucks
47,12/30,43,93,46.2,23,33,69.7,14,39,35.9,123,Milwaukee Bucks
48,12/28,41,110,37.3,22,32,68.8,9,44,20.5,113,Milwaukee Bucks
49,12/25,42,84,50.0,21,27,77.8,13,36,36.1,118,Milwaukee Bucks
50,12/23,37,84,44.0,17,22,77.3,9,37,24.3,100,Milwaukee Bucks
51,12/21,39,83,47.0,15,22,68.2,13,30,43.3,106,Milwaukee Bucks
52,12/19,45,81,55.6,25,31,80.6,13,40,32.5,128,Milwaukee Bucks
53,12/17,48,90,53.3,9,11,81.8,18,38,47.4,123,Milwaukee Bucks
54,12/15,35,94,37.2,18,27,66.7,13,50,26.0,101,Milwaukee Bucks
55,12/13,45,82,54.9,26,32,81.3,12,29,41.4,128,Milwaukee Bucks
56,12/11,33,90,36.7,14,18,77.8,12,43,27.9,92,Milwaukee Bucks
57,12/9,38,87,43.7,19,23,82.6,11,32,34.4,106,Milwaukee Bucks
58,12/7,46,96,47.9,20,24,83.3,14,33,42.4,126,Milwaukee Bucks
59,12/5,38,85,44.7,20,26,76.9,13,40,32.5,109,Milwaukee Bucks
60,12/3,39,83,47.0,15,19,78.9,12,32,37.5,105,Milwaukee Bucks
61,12/2,50,94,53.2,12,15,80.0,17,43,39.5,129,Milwaukee Bucks
62,11/30,39,90,43.3,21,26,80.8,10,35,28.6,109,Milwaukee Bucks
63,11/27,48,86,55.8,11,15,73.3,17,37,45.9,124,Milwaukee Bucks
64,11/25,42,83,50.6,18,25,72.0,15,32,46.9,117,Milwaukee Bucks
65,11/23,41,90,45.6,19,25,76.0,12,38,31.6,113,Milwaukee Bucks
66,11/21,47,86,54.7,16,25,64.0,9,28,32.1,119,Milwaukee Bucks
67,11/18,41,90,45.6,8,21,38.1,12,36,33.3,102,Milwaukee Bucks
68,11/16,41,86,47.7,15,27,55.6,16,39,41.0,113,Milwaukee Bucks
69,11/14,34,82,41.5,32,41,78.0,6,29,20.7,106,Milwaukee Bucks
70,11/11,32,98,32.7,17,23,73.9,12,43,27.9,93,Milwaukee Bucks
71,11/9,50,106,47.2,19,22,86.4,17,36,47.2,136,Milwaukee Bucks
72,11/7,36,87,41.4,13,16,81.3,13,40,32.5,98,Milwaukee Bucks
73,11/5,38,90,42.2,15,17,88.2,17,47,36.2,108,Milwaukee Bucks
74,11/4,41,85,48.2,16,28,57.1,17,38,44.7,115,Milwaukee Bucks
75,11/2,43,92,46.7,20,24,83.3,10,38,26.3,116,Milwaukee Bucks
76,10/31,38,87,43.7,23,29,79.3,11,40,27.5,110,Milwaukee Bucks
77,10/29,45,92,48.9,19,29,65.5,14,36,38.9,123,Milwaukee Bucks
78,10/28,42,109,38.5,22,27,81.5,13,45,28.9,119,Milwaukee Bucks
79,10/26,39,88,44.3,22,29,75.9,10,36,27.8,110,Milwaukee Bucks
80,10/22,48,85,56.5,13,21,61.9,16,31,51.6,125,Milwaukee Bucks
81,10/20,34,84,40.5,9,14,64.3,13,42,31.0,90,Milwaukee Bucks
0,4/9,42,89,47.2,11,14,78.6,25,54,46.3,120,Boston Celtics
1,4/7,45,81,55.6,16,21,76.2,15,44,34.1,121,Boston Celtics
2,4/5,38,89,42.7,10,18,55.6,11,38,28.9,97,Boston Celtics
3,4/4,38,91,41.8,10,16,62.5,15,45,33.3,101,Boston Celtics
4,3/31,42,96,43.8,21,22,95.5,17,51,33.3,122,Boston Celtics
5,3/30,51,91,56.0,16,20,80.0,22,43,51.2,140,Boston Celtics
6,3/28,45,93,48.4,10,11,90.9,11,44,25.0,111,Boston Celtics
7,3/26,52,91,57.1,15,21,71.4,18,44,40.9,137,Boston Celtics
8,3/24,44,93,47.3,14,19,73.7,18,42,42.9,120,Boston Celtics
9,3/21,49,92,53.3,16,23,69.6,18,44,40.9,132,Boston Celtics
10,3/18,42,88,47.7,11,16,68.8,22,51,43.1,117,Boston Celtics
11,3/17,41,87,47.1,29,35,82.9,15,42,35.7,126,Boston Celtics
12,3/15,34,84,40.5,24,30,80.0,12,40,30.0,104,Boston Celtics
13,3/13,39,87,44.8,19,21,90.5,12,42,28.6,109,Boston Celtics
14,3/11,52,95,54.7,10,12,83.3,20,42,47.6,134,Boston Celtics
15,3/8,42,88,47.7,13,20,65.0,18,49,36.7,115,Boston Celtics
16,3/6,42,101,41.6,14,21,66.7,16,48,33.3,114,Boston Celtics
17,3/5,43,109,39.4,22,25,88.0,21,59,35.6,129,Boston Celtics
18,3/3,41,84,48.8,14,20,70.0,9,29,31.0,105,Boston Celtics
19,3/1,39,78,50.0,23,28,82.1,16,32,50.0,117,Boston Celtics
20,2/27,37,84,44.0,11,14,78.6,9,42,21.4,94,Boston Celtics
21,2/25,43,86,50.0,8,12,66.7,16,36,44.4,110,Boston Celtics
22,2/23,51,99,51.5,22,26,84.6,18,39,46.2,142,Boston Celtics
23,2/15,49,92,53.3,8,10,80.0,21,45,46.7,127,Boston Celtics
24,2/14,46,99,46.5,16,20,80.0,17,50,34.0,125,Boston Celtics
25,2/12,39,88,44.3,20,26,76.9,21,51,41.2,119,Boston Celtics
26,2/10,44,89,49.4,14,17,82.4,25,55,45.5,127,Boston Celtics
27,2/8,40,76,52.6,7,10,70.0,19,35,54.3,106,Boston Celtics
