Date,Result,Opponent,Pts,FGM,FGA,FG%,PPS,AFG%,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,Chr,Defl,TF,DD,TD
29-Nov,L 30-43,Eastside College Prep (CA),30,11,41,27,0.7,30,3,10,30,5,10,50,8,31,26,0,21,21,8,13,6,20,12,0.4,0.65,1.08,0.5,,0,,,
2-Dec,L 29-46,Justin-Siena (CA),29,11,41,27,0.7,30,3,17,18,4,8,50,8,24,33,6,19,25,7,9,4,29,22,0.24,0.31,0.41,0.18,,0,,,
5-Dec,L 61-62,Fremont (CA),61,20,37,54,1.6,61,5,10,50,16,21,76,15,27,56,6,18,24,12,9,9,24,13,0.5,0.38,0.69,0.69,,0,,,
7-Dec,W 50-38,The Bay School (CA),48,17,49,35,1,36,1,7,14,13,29,45,16,42,38,11,16,27,10,19,4,17,10,0.59,1.12,1.9,0.4,,0,,,
14-Dec,W 44-35,Mid-Peninsula (CA),39,15,40,38,1,44,5,15,33,4,12,33,10,25,40,14,30,44,13,9,5,26,10,0.5,0.35,0.9,0.5,,0,,1,
15-Dec,W 66-48,More (CA),64,25,45,56,1.4,60,4,10,40,10,18,56,21,35,60,8,22,30,15,10,4,17,12,0.88,0.59,0.83,0.33,,0,,2,
8-Jan,L 51-52,Kehillah (CA),51,23,51,45,1,48,3,8,38,2,6,33,20,43,47,11,22,33,7,12,4,23,13,0.3,0.52,0.92,0.31,,0,,1,
10-Jan,L 49-56,Pacific Bay Christian (CA),49,19,50,38,1,40,2,14,14,9,13,69,17,36,47,5,24,29,8,7,2,13,16,0.62,0.54,0.44,0.13,,0,,,
12-Jan,W 49-41,Summit Preparatory (CA),49,16,53,30,0.9,35,5,14,36,12,19,63,11,39,28,10,21,31,8,9,8,13,13,0.62,0.69,0.69,0.62,,0,,,
16-Jan,W 42-38,Design Tech (CA),42,12,49,24,0.9,26,1,7,14,17,25,68,11,42,26,15,17,32,5,11,12,16,13,0.31,0.69,0.85,0.92,,0,,1,1
19-Jan,W 55-51,Summit Shasta (CA),55,18,39,46,1.4,53,5,11,45,14,20,70,13,28,46,5,23,28,9,9,7,22,19,0.41,0.41,0.47,0.37,,0,,,
23-Jan,W 50-11,San Francisco Christian (CA),50,21,64,33,0.8,34,1,6,17,7,11,64,20,58,34,25,26,51,12,22,1,18,7,0.67,1.22,3.14,0.14,,0,,1,
25-Jan,W 59-23,Mid-Peninsula (CA),59,26,62,42,1,44,3,10,30,4,7,57,23,52,44,17,21,38,16,12,3,5,14,3.2,2.4,0.86,0.21,,0,,,
30-Jan,W 51-43,Kehillah (CA),51,19,52,37,1,39,3,13,23,10,17,59,16,39,41,11,28,39,9,11,5,12,9,0.75,0.92,1.22,0.56,,0,,1,
2-Feb,L 41-53,Pacific Bay Christian (CA),41,15,61,25,0.7,28,4,17,24,7,9,78,11,44,25,21,25,46,7,8,5,20,15,0.35,0.4,0.53,0.33,,0,,1,
6-Feb,W 61-50,Summit Preparatory (CA),61,22,52,42,1.2,51,9,18,50,8,13,62,13,34,38,11,12,23,13,17,3,10,11,1.3,1.7,1.55,0.27,,0,,,
9-Feb,W 59-49,Design Tech (CA),59,22,49,45,1.2,47,2,10,20,13,29,45,20,39,51,11,19,30,13,20,4,23,18,0.57,0.87,1.11,0.22,,0,,,
13-Feb,W 52-41,Summit Shasta (CA),52,20,48,42,1.1,45,3,14,21,9,14,64,17,34,50,10,20,30,12,18,3,17,11,0.71,1.06,1.64,0.27,,0,,1,
22-Feb,W 47-43,Summit Shasta (CA),47,18,51,35,0.9,40,5,21,24,6,11,55,13,30,43,13,21,34,11,15,9,21,15,0.52,0.71,1,0.6,,0,,,
24-Feb,L 53-54,St. Francis (CA),53,21,56,38,0.9,42,5,14,36,6,7,86,16,42,38,7,20,27,12,17,6,16,18,0.75,1.06,0.94,0.33,,0,,,
