,Assister,Scorer,PTS
0,Klay Thompson,Kevon Looney,2
1,Stephen Curry,Andrew Wiggins,2
2,Stephen Curry,Jordan Poole,3
3,Andrew Wiggins,JaMychal Green,3
4,Donte DiVincenzo,James Wiseman,2
5,Jordan Poole,Moses Moody,3
6,Jordan Poole,James Wiseman,2
7,Stephen Curry,Andrew Wiggins,3
8,Stephen Curry,Moses Moody,2
9,Draymond Green,Stephen Curry,2
10,Jordan Poole,Stephen Curry,2
11,Jordan Poole,Draymond Green,2
12,Jordan Poole,Klay Thompson,2
13,Kevon Looney,Klay Thompson,2
14,Draymond Green,Klay Thompson,2
15,Draymond Green,Klay Thompson,3
16,Klay Thompson,Andrew Wiggins,2
17,Klay Thompson,Kevon Looney,2
18,Stephen Curry,Andrew Wiggins,2
19,Andrew Wiggins,Draymond Green,2
20,Andrew Wiggins,JaMychal Green,3
21,Andrew Wiggins,Stephen Curry,3
22,Jordan Poole,James Wiseman,2
23,Draymond Green,Jordan Poole,2
24,Draymond Green,Donte DiVincenzo,2
25,Jordan Poole,Klay Thompson,3
26,Stephen Curry,Donte DiVincenzo,3
27,Donte DiVincenzo,Stephen Curry,3
28,Kevon Looney,Stephen Curry,3
29,Stephen Curry,Andrew Wiggins,3
30,Ryan Rollins,James Wiseman,2
31,Kevon Looney,Andrew Wiggins,2
32,Kevon Looney,Andrew Wiggins,3
33,Kevon Looney,Stephen Curry,3
34,Draymond Green,Andrew Wiggins,2
35,Stephen Curry,Kevon Looney,2
36,Draymond Green,Klay Thompson,2
37,Draymond Green,Stephen Curry,2
38,Jordan Poole,Kevon Looney,2
39,JaMychal Green,Jonathan Kuminga,2
40,Stephen Curry,Jonathan Kuminga,2
41,Jordan Poole,James Wiseman,2
42,JaMychal Green,James Wiseman,2
43,Jordan Poole,Donte DiVincenzo,3
44,Jordan Poole,James Wiseman,2
45,Stephen Curry,JaMychal Green,3
46,Andrew Wiggins,Jordan Poole,2
47,Draymond Green,Andrew Wiggins,2
48,Andrew Wiggins,Klay Thompson,3
49,Klay Thompson,Draymond Green,3
50,Stephen Curry,Klay Thompson,3
51,Kevon Looney,Andrew Wiggins,3
52,Draymond Green,Klay Thompson,2
53,Draymond Green,Stephen Curry,2
54,Jordan Poole,Draymond Green,2
55,James Wiseman,Stephen Curry,3
56,Jordan Poole,Moses Moody,3
57,Andrew Wiggins,James Wiseman,2
58,Draymond Green,Andrew Wiggins,2
59,Moses Moody,Draymond Green,2
60,Draymond Green,Stephen Curry,2
61,Klay Thompson,Stephen Curry,3
62,Klay Thompson,Stephen Curry,3
63,Draymond Green,Stephen Curry,3
64,Jordan Poole,Klay Thompson,3
65,Draymond Green,Andrew Wiggins,2
66,Draymond Green,Klay Thompson,3
67,Kevon Looney,Andrew Wiggins,3
68,Draymond Green,Klay Thompson,2
69,Stephen Curry,Andrew Wiggins,2
70,Stephen Curry,James Wiseman,2
71,James Wiseman,Jordan Poole,2
72,Jordan Poole,James Wiseman,2
73,James Wiseman,Jordan Poole,3
74,Jordan Poole,James Wiseman,2
75,Donte DiVincenzo,James Wiseman,2
76,James Wiseman,Jordan Poole,2
77,Kevon Looney,Klay Thompson,3
78,Andrew Wiggins,Stephen Curry,3
79,Klay Thompson,Kevon Looney,2
80,Draymond Green,Andrew Wiggins,2
81,Klay Thompson,Draymond Green,2
82,Kevon Looney,Draymond Green,2
83,Klay Thompson,Kevon Looney,2
84,Kevon Looney,Jordan Poole,3
85,Kevon Looney,Andrew Wiggins,3
