Player,FG%,FGA,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Hierarchical
Álex Abrines,0.357,0.18487394957983191,0.323,0.3106060606060606,0.923,0.037037037037037035,0.12612612612612611,0.056074766355140186,0.22727272727272727,0.07407407407407407,0.1,0.12747875354107646,1
Quincy Acy,0.222,0.046218487394957986,0.133,0.11363636363636365,0.7,0.05555555555555555,0.19819819819819823,0.07476635514018692,0.045454545454545456,0.14814814814814814,0.08,0.025495750708215293,2
Jaylen Adams,0.345,0.10504201680672269,0.338,0.16666666666666669,0.778,0.05555555555555555,0.12612612612612611,0.17757009345794392,0.18181818181818182,0.037037037037037035,0.16,0.0679886685552408,1
Steven Adams,0.595,0.3949579831932773,0,0,0.5,0.9074074074074074,0.4144144144144144,0.14953271028037385,0.6818181818181818,0.37037037037037035,0.33999999999999997,0.3711048158640226,3
Bam Adebayo,0.576,0.2184873949579832,0.2,0.015151515151515154,0.735,0.37037037037037035,0.4774774774774775,0.20560747663551404,0.40909090909090906,0.2962962962962963,0.3,0.22946175637393765,4
Deng Adel,0.306,0.050420168067226885,0.261,0.09090909090909091,1,0.037037037037037035,0.07207207207207207,0.028037383177570093,0.045454545454545456,0.07407407407407407,0.06,0.025495750708215293,1
DeVaughn Akoon-Purcell,0.3,0.02941176470588235,0,0.045454545454545456,0.5,0.018518518518518517,0.036036036036036036,0.08411214953271029,0.13636363636363635,0,0.06,0.005665722379603397,2
LaMarcus Aldridge,0.519,0.6554621848739496,0.238,0.03787878787878788,0.847,0.5740740740740741,0.5495495495495495,0.22429906542056074,0.22727272727272727,0.48148148148148145,0.36,0.5807365439093484,4
Rawle Alkins,0.333,0.13445378151260504,0.25,0.09090909090909091,0.667,0.20370370370370372,0.13513513513513514,0.12149532710280375,0.045454545454545456,0,0.16,0.0821529745042493,2
Grayson Allen,0.376,0.1680672268907563,0.323,0.196969696969697,0.75,0.018518518518518517,0.04504504504504505,0.06542056074766354,0.09090909090909091,0.07407407407407407,0.18,0.13597733711048157,1
Jarrett Allen,0.59,0.2689075630252101,0.133,0.045454545454545456,0.709,0.4444444444444444,0.5405405405405406,0.1308411214953271,0.22727272727272727,0.5555555555555555,0.26,0.2861189801699716,4
Kadeem Allen,0.461,0.2815126050420168,0.472,0.14393939393939395,0.778,0.07407407407407407,0.2072072072072072,0.3738317757009346,0.36363636363636365,0.07407407407407407,0.27999999999999997,0.2577903682719546,1
Al-Farouq Aminu,0.433,0.27731092436974786,0.343,0.26515151515151514,0.867,0.25925925925925924,0.5495495495495495,0.12149532710280375,0.36363636363636365,0.14814814814814814,0.18,0.24362606232294615,4
Justin Anderson,0.408,0.10924369747899158,0.312,0.12121212121212123,0.743,0.09259259259259259,0.11711711711711713,0.04672897196261683,0.22727272727272727,0.1111111111111111,0.1,0.0821529745042493,1
Kyle Anderson,0.543,0.23949579831932774,0.265,0.060606060606060615,0.578,0.20370370370370372,0.42342342342342343,0.28037383177570097,0.5909090909090908,0.3333333333333333,0.26,0.20396600566572237,4
Ryan Anderson,0.304,0.08823529411764704,0.225,0.12121212121212123,0.75,0.12962962962962962,0.12612612612612611,0.07476635514018692,0.09090909090909091,0,0.12,0.048158640226628885,2
Giannis Antetokounmpo,0.578,0.6974789915966387,0.256,0.21212121212121213,0.729,0.40740740740740744,0.927927927927928,0.5514018691588786,0.5909090909090908,0.5555555555555555,0.74,0.7620396600566571,5
Carmelo Anthony,0.405,0.4789915966386555,0.328,0.4848484848484849,0.682,0.16666666666666666,0.40540540540540543,0.04672897196261683,0.18181818181818182,0.25925925925925924,0.16,0.35694050991501414,6
OG Anunoby,0.453,0.2226890756302521,0.332,0.2272727272727273,0.581,0.16666666666666666,0.1891891891891892,0.06542056074766354,0.3181818181818181,0.1111111111111111,0.16,0.17563739376770537,1
Ryan Arcidiacono,0.447,0.18907563025210083,0.373,0.20454545454545456,0.873,0.05555555555555555,0.21621621621621623,0.308411214953271,0.36363636363636365,0,0.16,0.16713881019830026,1
Trevor Ariza,0.399,0.42016806722689076,0.334,0.4772727272727273,0.793,0.12962962962962962,0.42342342342342343,0.3457943925233645,0.5909090909090908,0.1111111111111111,0.3,0.33144475920679883,6
D.J. Augustin,0.47,0.3235294117647059,0.421,0.2878787878787879,0.866,0.09259259259259259,0.1801801801801802,0.4953271028037383,0.2727272727272727,0,0.32,0.30878186968838517,6
Deandre Ayton,0.585,0.4873949579831933,0,0.007575757575757577,0.746,0.5740740740740741,0.6396396396396397,0.16822429906542058,0.40909090909090906,0.3333333333333333,0.36,0.4390934844192634,4
Dwayne Bacon,0.475,0.2226890756302521,0.437,0.15151515151515152,0.739,0.037037037037037035,0.17117117117117117,0.10280373831775702,0.13636363636363635,0.037037037037037035,0.08,0.18413597733711046,1
Marvin Bagley,0.504,0.4495798319327731,0.313,0.11363636363636365,0.691,0.48148148148148145,0.45045045045045046,0.09345794392523366,0.22727272727272727,0.37037037037037035,0.32,0.3994334277620396,4
Ron Baker,0.2,0.02521008403361345,0.077,0.06818181818181819,0.833,0.018518518518518517,0.06306306306306306,0.09345794392523366,0.18181818181818182,0.037037037037037035,0.06,0.0028328611898016985,1
Wade Baldwin,0.303,0.05882352941176471,0.222,0.045454545454545456,0.727,0.018518518518518517,0.07207207207207207,0.07476635514018692,0.045454545454545456,0.037037037037037035,0.18,0.03116147308781869,1
Lonzo Ball,0.406,0.37815126050420167,0.329,0.37121212121212127,0.417,0.20370370370370372,0.3783783783783784,0.5046728971962617,0.6818181818181818,0.14814814814814814,0.44000000000000006,0.2577903682719546,6
Mo Bamba,0.481,0.18907563025210083,0.3,0.11363636363636365,0.587,0.25925925925925924,0.32432432432432434,0.07476635514018692,0.13636363636363635,0.5185185185185185,0.18,0.15297450424929177,1
J.J. Barea,0.418,0.3949579831932773,0.297,0.25757575757575757,0.705,0.05555555555555555,0.19819819819819823,0.5233644859813084,0.2727272727272727,0,0.38,0.2861189801699716,6
Harrison Barnes,0.42,0.5294117647058824,0.395,0.4318181818181819,0.824,0.12962962962962962,0.35135135135135137,0.14018691588785048,0.2727272727272727,0.07407407407407407,0.26,0.441926345609065,6
Will Barton,0.402,0.42016806722689076,0.342,0.34848484848484845,0.77,0.12962962962962962,0.35135135135135137,0.2710280373831776,0.18181818181818182,0.18518518518518517,0.3,0.30311614730878184,6
Keita Bates-Diop,0.423,0.1680672268907563,0.25,0.12878787878787878,0.643,0.09259259259259259,0.19819819819819823,0.056074766355140186,0.2727272727272727,0.18518518518518517,0.1,0.11898016997167138,1
Nicolas Batum,0.45,0.2857142857142857,0.389,0.30303030303030304,0.865,0.16666666666666666,0.38738738738738737,0.308411214953271,0.40909090909090906,0.2222222222222222,0.32,0.24079320113314445,1
Jerryd Bayless,0.357,0.25630252100840334,0.296,0.2196969696969697,0.571,0.05555555555555555,0.13513513513513514,0.3271028037383178,0.22727272727272727,0.037037037037037035,0.18,0.15014164305949007,1
Aron Baynes,0.471,0.15546218487394958,0.344,0.09090909090909091,0.855,0.31481481481481477,0.2702702702702703,0.10280373831775702,0.09090909090909091,0.25925925925925924,0.16,0.13597733711048157,1
Kent Bazemore,0.402,0.4033613445378152,0.32,0.34090909090909094,0.726,0.1111111111111111,0.2972972972972973,0.21495327102803738,0.5909090909090908,0.2222222222222222,0.36,0.3059490084985835,6
Bradley Beal,0.475,0.7941176470588236,0.351,0.5530303030303031,0.808,0.20370370370370372,0.35135135135135137,0.5140186915887851,0.6818181818181818,0.25925925925925924,0.54,0.7025495750708215,7
Malik Beasley,0.474,0.35294117647058826,0.402,0.3787878787878788,0.848,0.07407407407407407,0.1801801801801802,0.11214953271028037,0.3181818181818181,0.037037037037037035,0.13999999999999999,0.29745042492917845,1
Michael Beasley,0.49,0.2184873949579832,0.176,0.05303030303030303,0.718,0.09259259259259259,0.16216216216216217,0.09345794392523366,0.13636363636363635,0.14814814814814814,0.2,0.17563739376770537,1
Marco Belinelli,0.413,0.3361344537815126,0.372,0.3787878787878788,0.903,0.037037037037037035,0.2072072072072072,0.15887850467289721,0.18181818181818182,0.037037037037037035,0.18,0.27478753541076484,1
Jordan Bell,0.516,0.08823529411764704,0,0,0.61,0.14814814814814814,0.17117117117117117,0.10280373831775702,0.13636363636363635,0.2962962962962963,0.12,0.07082152974504248,1
DeAndre' Bembry,0.446,0.2857142857142857,0.289,0.15909090909090912,0.64,0.12962962962962962,0.33333333333333337,0.23364485981308414,0.5909090909090908,0.18518518518518517,0.33999999999999997,0.21529745042492918,1
Dragan Bender,0.447,0.15126050420168066,0.218,0.16666666666666669,0.593,0.12962962962962962,0.2882882882882883,0.11214953271028037,0.18181818181818182,0.18518518518518517,0.16,0.11898016997167138,1
Dāvis Bertāns,0.45,0.2226890756302521,0.429,0.33333333333333337,0.883,0.05555555555555555,0.2882882882882883,0.12149532710280375,0.22727272727272727,0.14814814814814814,0.12,0.20396600566572237,1
Patrick Beverley,0.407,0.22689075630252098,0.397,0.27272727272727276,0.78,0.18518518518518517,0.3603603603603604,0.35514018691588783,0.40909090909090906,0.2222222222222222,0.22000000000000003,0.19263456090651554,1
Khem Birch,0.603,0.09663865546218486,0,0,0.699,0.2962962962962963,0.19819819819819823,0.07476635514018692,0.18181818181818182,0.2222222222222222,0.08,0.11331444759206798,1
Nemanja Bjelica,0.479,0.29411764705882354,0.401,0.25,0.761,0.2962962962962963,0.36936936936936937,0.17757009345794392,0.3181818181818181,0.25925925925925924,0.22000000000000003,0.2492917847025495,4
Antonio Blakeney,0.419,0.2605042016806723,0.396,0.12121212121212123,0.658,0.018518518518518517,0.15315315315315314,0.06542056074766354,0.09090909090909091,0.07407407407407407,0.12,0.18413597733711046,1
Eric Bledsoe,0.484,0.4915966386554622,0.329,0.36363636363636365,0.75,0.20370370370370372,0.32432432432432434,0.5140186915887851,0.6818181818181818,0.14814814814814814,0.42000000000000004,0.4277620396600566,6
Jaron Blossomgame,0.443,0.13445378151260504,0.256,0.10606060606060606,0.769,0.18518518518518517,0.24324324324324326,0.04672897196261683,0.13636363636363635,0.1111111111111111,0.08,0.09631728045325778,1
Bogdan Bogdanović,0.418,0.4873949579831933,0.36,0.40151515151515155,0.827,0.1111111111111111,0.26126126126126126,0.35514018691588783,0.45454545454545453,0.07407407407407407,0.33999999999999997,0.376770538243626,6
Bojan Bogdanović,0.497,0.5168067226890757,0.425,0.36363636363636365,0.807,0.07407407407407407,0.33333333333333337,0.1869158878504673,0.40909090909090906,0,0.33999999999999997,0.4872521246458923,6
Jonah Bolden,0.494,0.12605042016806722,0.354,0.16666666666666669,0.481,0.20370370370370372,0.24324324324324326,0.08411214953271029,0.18181818181818182,0.3333333333333333,0.16,0.11048158640226628,1
Isaac Bonga,0.152,0.03361344537815126,0,0.030303030303030307,0.6,0.07407407407407407,0.06306306306306306,0.06542056074766354,0.18181818181818182,0.07407407407407407,0.06,0.0028328611898016985,2
Devin Booker,0.467,0.7941176470588236,0.326,0.49242424242424243,0.866,0.1111111111111111,0.3153153153153153,0.6355140186915889,0.40909090909090906,0.07407407407407407,0.82,0.7308781869688384,7
