,Pair,Name,Count,Type
0,0,Alex Len,1,Assister
0,0,Chimezie Metu,1,Scorer
1,1,KZ Okpala,1,Assister
1,1,Alex Len,1,Scorer
2,2,Alex Len,3,Assister
2,2,Keegan Murray,3,Scorer
3,3,Alex Len,1,Assister
3,3,Keon Ellis,1,Scorer
4,4,Alex Len,1,Assister
4,4,Kevin Huerter,1,Scorer
5,5,Matthew Dellavedova,1,Assister
5,5,Alex Len,1,Scorer
6,6,Richaun Holmes,1,Assister
6,6,Alex Len,1,Scorer
7,7,Terence Davis,3,Assister
7,7,Alex Len,3,Scorer
8,8,De'Aaron Fox,1,Assister
8,8,Chima Moneke,1,Scorer
9,9,Davion Mitchell,7,Assister
9,9,Chimezie Metu,7,Scorer
10,10,De'Aaron Fox,1,Assister
10,10,Chimezie Metu,1,Scorer
11,11,Harrison Barnes,1,Assister
11,11,Chimezie Metu,1,Scorer
12,12,Chimezie Metu,5,Assister
12,12,Keegan Murray,5,Scorer
13,13,Chimezie Metu,1,Assister
13,13,Kevin Huerter,1,Scorer
14,14,Malik Monk,9,Assister
14,14,Chimezie Metu,9,Scorer
15,15,Richaun Holmes,1,Assister
15,15,Chimezie Metu,1,Scorer
16,16,Chimezie Metu,4,Assister
16,16,Terence Davis,4,Scorer
17,17,Chimezie Metu,11,Assister
17,17,Trey Lyles,11,Scorer
18,18,Alex Len,1,Assister
18,18,Davion Mitchell,1,Scorer
19,19,Davion Mitchell,9,Assister
19,19,Chimezie Metu,9,Scorer
20,20,Davion Mitchell,2,Assister
20,20,De'Aaron Fox,2,Scorer
21,21,Davion Mitchell,22,Assister
21,21,Domantas Sabonis,22,Scorer
22,22,Davion Mitchell,25,Assister
22,22,Harrison Barnes,25,Scorer
23,23,Davion Mitchell,2,Assister
23,23,KZ Okpala,2,Scorer
24,24,Davion Mitchell,20,Assister
24,24,Keegan Murray,20,Scorer
25,25,Davion Mitchell,5,Assister
25,25,Kessler Edwards,5,Scorer
26,26,Davion Mitchell,29,Assister
26,26,Kevin Huerter,29,Scorer
27,27,Malik Monk,36,Assister
27,27,Davion Mitchell,36,Scorer
28,28,Richaun Holmes,5,Assister
28,28,Davion Mitchell,5,Scorer
29,29,Terence Davis,12,Assister
29,29,Davion Mitchell,12,Scorer
30,30,Davion Mitchell,17,Assister
30,30,Trey Lyles,17,Scorer
31,31,Alex Len,3,Assister
31,31,De'Aaron Fox,3,Scorer
32,32,Chimezie Metu,25,Assister
32,32,De'Aaron Fox,25,Scorer
33,33,Davion Mitchell,6,Assister
33,33,De'Aaron Fox,6,Scorer
34,34,Domantas Sabonis,70,Assister
34,34,De'Aaron Fox,70,Scorer
35,35,De'Aaron Fox,58,Assister
35,35,Harrison Barnes,58,Scorer
36,36,De'Aaron Fox,3,Assister
36,36,KZ Okpala,3,Scorer
37,37,Keegan Murray,73,Assister
37,37,De'Aaron Fox,73,Scorer
38,38,Keon Ellis,1,Assister
38,38,De'Aaron Fox,1,Scorer
39,39,De'Aaron Fox,5,Assister
39,39,Kessler Edwards,5,Scorer
40,40,De'Aaron Fox,66,Assister
40,40,Kevin Huerter,66,Scorer
41,41,De'Aaron Fox,59,Assister
41,41,Malik Monk,59,Scorer
42,42,De'Aaron Fox,2,Assister
42,42,Neemias Queta,2,Scorer
43,43,De'Aaron Fox,7,Assister
43,43,Richaun Holmes,7,Scorer
44,44,De'Aaron Fox,24,Assister
44,44,Terence Davis,24,Scorer
45,45,Trey Lyles,45,Assister
45,45,De'Aaron Fox,45,Scorer
46,46,Domantas Sabonis,1,Assister
46,46,Chimezie Metu,1,Scorer
47,47,Davion Mitchell,32,Assister
47,47,Domantas Sabonis,32,Scorer
48,48,De'Aaron Fox,70,Assister
48,48,Domantas Sabonis,70,Scorer
49,49,Domantas Sabonis,88,Assister
49,49,Harrison Barnes,88,Scorer
50,50,KZ Okpala,1,Assister
50,50,Domantas Sabonis,1,Scorer
51,51,Domantas Sabonis,117,Assister
51,51,Keegan Murray,117,Scorer
52,52,Kessler Edwards,8,Assister
52,52,Domantas Sabonis,8,Scorer
53,53,Kevin Huerter,149,Assister
53,53,Domantas Sabonis,149,Scorer
54,54,Domantas Sabonis,60,Assister
54,54,Malik Monk,60,Scorer
55,55,Domantas Sabonis,2,Assister
55,55,Matthew Dellavedova,2,Scorer
56,56,Domantas Sabonis,1,Assister
56,56,PJ Dozier,1,Scorer
57,57,Domantas Sabonis,27,Assister
57,57,Terence Davis,27,Scorer
58,58,Domantas Sabonis,16,Assister
58,58,Trey Lyles,16,Scorer
59,59,Chimezie Metu,3,Assister
59,59,Harrison Barnes,3,Scorer
60,60,Harrison Barnes,10,Assister
60,60,Davion Mitchell,10,Scorer
61,61,Harrison Barnes,13,Assister
61,61,De'Aaron Fox,13,Scorer
62,62,Domantas Sabonis,32,Assister
62,62,Harrison Barnes,32,Scorer
63,63,Keegan Murray,23,Assister
63,63,Harrison Barnes,23,Scorer
64,64,Harrison Barnes,1,Assister
64,64,Kessler Edwards,1,Scorer
65,65,Kevin Huerter,24,Assister
65,65,Harrison Barnes,24,Scorer
66,66,Harrison Barnes,7,Assister
66,66,Malik Monk,7,Scorer
67,67,Harrison Barnes,2,Assister
67,67,Richaun Holmes,2,Scorer
68,68,Harrison Barnes,5,Assister
68,68,Terence Davis,5,Scorer
69,69,Trey Lyles,8,Assister
69,69,Harrison Barnes,8,Scorer
70,70,Chima Moneke,1,Assister
70,70,KZ Okpala,1,Scorer
71,71,Davion Mitchell,3,Assister
71,71,KZ Okpala,3,Scorer
72,72,De'Aaron Fox,3,Assister
72,72,KZ Okpala,3,Scorer
73,73,KZ Okpala,2,Assister
73,73,Domantas Sabonis,2,Scorer
74,74,Malik Monk,3,Assister
74,74,KZ Okpala,3,Scorer
75,75,Trey Lyles,1,Assister
75,75,KZ Okpala,1,Scorer
76,76,Alex Len,1,Assister
76,76,Keegan Murray,1,Scorer
77,77,Chimezie Metu,1,Assister
77,77,Keegan Murray,1,Scorer
78,78,Davion Mitchell,7,Assister
78,78,Keegan Murray,7,Scorer
79,79,De'Aaron Fox,8,Assister
79,79,Keegan Murray,8,Scorer
80,80,Domantas Sabonis,28,Assister
80,80,Keegan Murray,28,Scorer
81,81,Harrison Barnes,14,Assister
81,81,Keegan Murray,14,Scorer
82,82,Keegan Murray,25,Assister
82,82,Kevin Huerter,25,Scorer
83,83,Keegan Murray,5,Assister
83,83,Malik Monk,5,Scorer
84,84,Keegan Murray,2,Assister
84,84,Matthew Dellavedova,2,Scorer
85,85,PJ Dozier,1,Assister
85,85,Keegan Murray,1,Scorer
86,86,Richaun Holmes,3,Assister
86,86,Keegan Murray,3,Scorer
87,87,Terence Davis,1,Assister
87,87,Keegan Murray,1,Scorer
88,88,Keegan Murray,2,Assister
88,88,Trey Lyles,2,Scorer
89,89,Chimezie Metu,2,Assister
89,89,Keon Ellis,2,Scorer
90,90,KZ Okpala,1,Assister
90,90,Keon Ellis,1,Scorer
91,91,Kevin Huerter,1,Assister
91,91,Keon Ellis,1,Scorer
92,92,Keon Ellis,1,Assister
92,92,Richaun Holmes,1,Scorer
93,93,Keon Ellis,1,Assister
93,93,Terence Davis,1,Scorer
94,94,Kessler Edwards,2,Assister
94,94,Davion Mitchell,2,Scorer
95,95,Kessler Edwards,1,Assister
95,95,De'Aaron Fox,1,Scorer
96,96,Kessler Edwards,6,Assister
96,96,Domantas Sabonis,6,Scorer
97,97,Harrison Barnes,2,Assister
97,97,Kessler Edwards,2,Scorer
98,98,Kessler Edwards,3,Assister
98,98,Keegan Murray,3,Scorer
99,99,Kessler Edwards,2,Assister
99,99,Kevin Huerter,2,Scorer
100,100,Kessler Edwards,2,Assister
100,100,Malik Monk,2,Scorer
101,101,Kessler Edwards,1,Assister
101,101,Terence Davis,1,Scorer
102,102,Kessler Edwards,2,Assister
102,102,Trey Lyles,2,Scorer
103,103,Kevin Huerter,3,Assister
103,103,Chimezie Metu,3,Scorer
104,104,Kevin Huerter,10,Assister
104,104,Davion Mitchell,10,Scorer
105,105,Kevin Huerter,21,Assister
105,105,De'Aaron Fox,21,Scorer
106,106,Domantas Sabonis,76,Assister
106,106,Kevin Huerter,76,Scorer
107,107,Harrison Barnes,45,Assister
107,107,Kevin Huerter,45,Scorer
108,108,Kevin Huerter,32,Assister
108,108,Keegan Murray,32,Scorer
109,109,Kevin Huerter,18,Assister
109,109,Malik Monk,18,Scorer
110,110,Kevin Huerter,6,Assister
110,110,Richaun Holmes,6,Scorer
111,111,Terence Davis,5,Assister
111,111,Kevin Huerter,5,Scorer
112,112,Trey Lyles,5,Assister
112,112,Kevin Huerter,5,Scorer
113,113,Malik Monk,2,Assister
113,113,Alex Len,2,Scorer
114,114,Malik Monk,32,Assister
114,114,Chimezie Metu,32,Scorer
115,115,Davion Mitchell,19,Assister
115,115,Malik Monk,19,Scorer
116,116,De'Aaron Fox,29,Assister
116,116,Malik Monk,29,Scorer
117,117,Malik Monk,90,Assister
117,117,Domantas Sabonis,90,Scorer
118,118,Malik Monk,21,Assister
118,118,Harrison Barnes,21,Scorer
119,119,Malik Monk,3,Assister
119,119,KZ Okpala,3,Scorer
120,120,Keegan Murray,20,Assister
120,120,Malik Monk,20,Scorer
121,121,Kessler Edwards,2,Assister
121,121,Malik Monk,2,Scorer
122,122,Malik Monk,12,Assister
122,122,Kevin Huerter,12,Scorer
123,123,Matthew Dellavedova,1,Assister
123,123,Malik Monk,1,Scorer
124,124,Malik Monk,3,Assister
124,124,Neemias Queta,3,Scorer
125,125,Malik Monk,7,Assister
125,125,Richaun Holmes,7,Scorer
126,126,Malik Monk,19,Assister
126,126,Terence Davis,19,Scorer
127,127,Malik Monk,38,Assister
127,127,Trey Lyles,38,Scorer
128,128,Alex Len,2,Assister
128,128,Matthew Dellavedova,2,Scorer
129,129,Chimezie Metu,3,Assister
