LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,29,347,829,310,628,49.4,102,266,38.3,107,153,69.9,77,270,347,226,131,62,47,31,149,131,51
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,13,51,122,40,88,45.5,20,49,40.8,22,28,78.6,6,31,37,25,21,15,2,3,27,22,14
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,12,38,99,37,66,56.1,15,33,45.5,10,13,76.9,6,19,25,22,9,8,4,3,20,15,7
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,11,86,211,78,163,47.9,30,78,38.5,25,33,75.8,22,63,85,52,18,14,11,8,28,35,41
".S. Curry, .D. Green, .A. Wiggins, .J. Toscano-Anderson, .J. Poole",GSW,11,32,82,29,64,45.3,15,36,41.7,9,12,75.0,7,23,30,24,4,9,3,7,12,14,17
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,10,81,198,70,152,46.1,28,66,42.4,30,39,76.9,19,55,74,39,26,25,8,9,33,29,18
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,10,40,99,37,76,48.7,15,37,40.5,10,19,52.6,10,33,43,24,12,11,10,3,17,15,24
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson",GSW,10,38,85,28,64,43.8,16,38,42.1,13,21,61.9,10,21,31,17,19,8,6,3,16,13,-5
".N. Bjelica, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,10,29,54,21,53,39.6,3,20,15.0,9,10,90.0,4,19,23,16,8,7,1,2,18,7,-16
".O. Porter Jr., .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,10,24,46,17,41,41.5,3,17,17.6,9,9,100,5,17,22,7,7,5,1,3,8,7,0
".O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,9,29,57,20,53,37.7,7,24,29.2,10,13,76.9,6,26,32,12,5,4,1,4,12,10,2
".D. Green, .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,9,28,51,21,45,46.7,5,19,26.3,4,7,57.1,3,19,22,13,9,4,4,2,9,8,-8
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II",GSW,8,48,130,49,95,51.6,18,45,40.0,14,15,93.3,12,34,46,34,13,17,4,2,17,18,22
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,8,44,123,43,86,50.0,21,42,50.0,16,20,80.0,9,41,50,31,9,6,7,3,16,17,50
".D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Poole",GSW,8,34,86,29,62,46.8,13,26,50.0,15,20,75.0,7,34,41,20,12,9,3,3,14,16,29
".S. Curry, .A. Wiggins, .K. Looney, .J. Toscano-Anderson, .J. Poole",GSW,8,22,51,19,45,42.2,8,22,36.4,5,7,71.4,12,8,20,12,6,5,1,3,9,6,-12
".N. Bjelica, .A. Wiggins, .G. Payton II, .D. Lee, .J. Poole",GSW,8,16,40,14,31,45.2,7,16,43.8,5,6,83.3,3,14,17,12,4,2,2,1,6,7,10
".S. Curry, .A. Wiggins, .K. Looney, .J. Poole, .J. Kuminga",GSW,8,15,38,13,31,41.9,6,16,37.5,6,8,75.0,4,12,16,8,4,2,2,0,10,10,4
".A. Wiggins, .K. Looney, .D. Lee, .J. Poole, .J. Kuminga",GSW,8,14,32,10,20,50.0,4,10,40.0,8,10,80.0,5,8,13,7,5,1,1,0,7,6,-3
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .M. Moody",GSW,7,51,111,45,95,47.4,16,39,41.0,5,7,71.4,9,41,50,34,17,6,5,3,26,11,-5
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II",GSW,7,43,100,38,82,46.3,15,32,46.9,9,13,69.2,8,34,42,28,12,9,5,0,20,11,12
".K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,35,92,33,68,48.5,13,32,40.6,13,21,61.9,14,27,41,21,10,9,2,3,15,12,11
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .D. Lee",GSW,7,13,16,7,26,26.9,2,14,14.3,0,0,0.0,3,9,12,4,8,0,1,1,7,3,-17
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .D. Lee",GSW,7,9,32,12,21,57.1,1,5,20.0,7,10,70.0,4,7,11,7,2,3,0,1,4,7,6
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .J. Poole",GSW,7,9,28,10,18,55.6,5,11,45.5,3,4,75.0,2,8,10,8,2,0,0,2,1,2,5
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Poole",GSW,6,25,50,20,43,46.5,5,20,25.0,5,6,83.3,1,23,24,14,6,2,0,2,9,13,-4
".S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson",GSW,6,20,46,18,39,46.2,7,18,38.9,3,4,75.0,8,17,25,14,8,4,0,1,6,10,16
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .D. Lee",GSW,6,15,27,10,30,33.3,3,10,30.0,4,5,80.0,3,8,11,4,5,3,1,2,10,5,-11
".D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,6,15,36,14,28,50.0,3,13,23.1,5,5,100,3,11,14,6,3,2,1,1,8,8,6
".S. Curry, .N. Bjelica, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,6,14,29,12,23,52.2,2,8,25.0,3,4,75.0,2,7,9,6,4,3,1,1,10,3,-12
".S. Curry, .A. Wiggins, .K. Looney, .J. Poole, .M. Moody",GSW,6,11,23,7,15,46.7,3,6,50.0,6,6,100,2,9,11,2,5,0,1,3,9,4,-7
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .G. Payton II",GSW,6,10,28,9,19,47.4,4,9,44.4,6,6,100,2,9,11,8,1,2,1,0,2,4,9
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .D. Lee",GSW,6,6,13,4,9,44.4,1,3,33.3,4,8,50.0,0,3,3,1,2,0,2,0,1,4,-3
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Kuminga",GSW,5,58,127,46,101,45.5,14,42,33.3,21,24,87.5,4,50,54,33,15,6,3,6,21,22,-9
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .G. Payton II",GSW,5,33,74,30,54,55.6,8,20,40.0,6,8,75.0,5,26,31,22,12,7,5,1,14,7,9
".A. Iguodala, .S. Curry, .D. Green, .A. Wiggins, .D. Lee",GSW,5,22,51,15,36,41.7,10,22,45.5,11,12,91.7,1,13,14,13,7,5,2,4,8,9,6
".A. Wiggins, .G. Payton II, .D. Lee, .J. Poole, .J. Kuminga",GSW,5,20,42,15,35,42.9,5,14,35.7,7,7,100,8,15,23,10,6,4,2,2,7,5,5
".S. Curry, .D. Green, .A. Wiggins, .D. Lee, .J. Toscano-Anderson",GSW,5,19,39,14,29,48.3,4,16,25.0,7,8,87.5,3,16,19,10,8,1,0,0,11,7,-2
".A. Wiggins, .K. Looney, .G. Payton II, .J. Poole, .M. Moody",GSW,5,12,28,11,22,50.0,3,7,42.9,3,4,75.0,1,8,9,5,1,0,1,1,5,4,-6
".S. Curry, .N. Bjelica, .K. Thompson, .J. Poole, .J. Kuminga",GSW,5,12,35,13,26,50.0,2,9,22.2,7,9,77.8,6,10,16,10,4,2,0,2,5,6,8
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee",GSW,5,10,27,10,19,52.6,4,10,40.0,3,4,75.0,1,11,12,4,2,1,1,1,2,2,11
".D. Green, .A. Wiggins, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,5,9,24,7,14,50.0,4,7,57.1,6,6,100,1,10,11,5,4,0,1,0,4,6,9
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Kuminga",GSW,5,9,17,6,18,33.3,3,7,42.9,2,3,66.7,3,6,9,4,2,3,0,0,3,1,-6
".S. Curry, .A. Wiggins, .G. Payton II, .J. Poole, .J. Kuminga",GSW,5,8,15,6,15,40.0,2,8,25.0,1,4,25.0,0,6,6,5,1,1,0,2,3,3,-3
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Green, .G. Payton II",GSW,5,8,25,8,12,66.7,6,9,66.7,3,3,100,0,7,7,6,5,1,2,0,1,2,10
".S. Curry, .D. Green, .A. Wiggins, .D. Lee, .J. Poole",GSW,5,7,24,9,16,56.3,4,8,50.0,2,2,100,1,6,7,6,2,3,1,0,3,1,12
".S. Curry, .N. Bjelica, .A. Wiggins, .G. Payton II, .J. Poole",GSW,5,5,10,4,7,57.1,2,5,40.0,0,0,0.0,0,5,5,3,3,0,1,0,4,0,-7
".K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,4,20,47,18,37,48.6,4,12,33.3,7,8,87.5,8,13,21,10,9,2,0,3,8,7,-5
".N. Bjelica, .K. Thompson, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,20,50,21,37,56.8,7,13,53.8,1,2,50.0,3,12,15,16,3,1,2,4,7,7,5
".S. Curry, .N. Bjelica, .K. Thompson, .D. Lee, .J. Kuminga",GSW,4,18,43,17,39,43.6,4,17,23.5,5,6,83.3,3,16,19,12,3,2,2,4,8,5,-4
