,TEAM,URL
0,Utah Jazz,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/jazz.png
1,Phoenix Suns,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/suns.png
2,Philadelphia 76ers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/76ers.png
3,Brooklyn Nets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nets.png
4,Denver Nuggets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nuggets.png
5,LA Clippers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/clippers.png
6,Milwaukee Bucks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bucks.png
7,Dallas Mavericks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/mavericks.png
8,Los Angeles Lakers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/lakers.png
9,Portland Trail Blazers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/blazers.png
10,Atlanta Hawks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hawks.png
11,New York Knicks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/knicks.png
12,Miami Heat,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/heat.png
13,Golden State Warriors,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/warriors.png
14,Memphis Grizzlies,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/grizzlies.png
15,Boston Celtics,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/celtics.png
16,Indiana Pacers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pacers.png
17,Washington Wizards,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/wizards.png
18,Charlotte Hornets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hornets.png
19,San Antonio Spurs,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/spurs.png
20,Chicago Bulls,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bulls.png
21,New Orleans Pelicans,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pelicans.png
22,Sacramento Kings,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/kings.png
23,Toronto Raptors,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/raptors.png
24,Minnesota Timberwolves,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/timberwolves.png
25,Cleveland Cavaliers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/cavs.png
26,Oklahoma City Thunder,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/thunder.png
27,Orlando Magic,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/magic.png
28,Detroit Pistons,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pistons.png
29,Houston Rockets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/Rockets.png
