May-July 2019,,,,,,,,,
,,,,,,,,,
ADDRESS,BD,BA,1/2BA,Yr Built,Sq Ft Apx,DOM,List Price,Sold Price,VIEWS
1825 Arrowhead Dr,3,2,0,1959,1208,18,"$499,000","$570,000",Canyon
6344 Ascot Dr,4,3,0,1934,3004,26,"$1,650,000","$1,650,000",Bay
5920 Ascot Drive,5,3,1,1963,3343,12,"$1,150,000","$1,325,000","Bay, Bay Bridge"
1932 ASILOMAR,4,2,1,1936,2500,24,"$1,185,000","$1,285,000",Greenbelt
5901 Balboa Dr,2,1,0,1952,1081,18,"$599,000","$680,000",Bay
7000 BALSAM WAY,2,2,,1959,1290,14,"$795,000","$850,000",City Lights
39 Bay Forest Ct,3,2,1,1994,2233,7,"$985,000","$1,086,000",Bay
49 Bay Forest Dr,2,3,1,1994,3072,28,"$1,175,000","$1,175,000",Bay
18 Bishop Court,4,2,1,2002,3433,13,"$1,649,000","$1,800,000",Hills
6020 Bullard Dr,5,3,1,1938,3485,13,"$2,100,000","$2,625,000",Canyon
5689 Cabot Dr,3,1,1,1935,1922,19,"$869,000","$830,000",Forest
2559 Carisbrook Dr.,3,2,,1953,2540,3,"$1,395,000","$1,700,000","Bay,"
5600 Castle Dr,4,4,0,1946,3740,19,"$1,695,000","$1,800,000",Bay
6951 Chambers Lane,6,3,,1941,2502,10,"$1,235,000","$1,600,000",
2755 Chelsea Dr,4,2,1,1965,1963,15,"$925,000","$925,000",Canyon
5820 Colton Blvd,3,2,0,1953,1979,13,"$995,000","$1,276,000",Bay
38 CONRAD CT,2,1,,1948,1150,13,"$828,000","$1,000,000",
2760 Darnby,4,2,,1954,2109,48,"$1,329,000","$1,319,000",
1831 Drake Dr,5,4,,1937,3051,109,"$1,595,000","$1,475,000",Bay
10 Drake Lane,4,3,1,1978,3634,14,"$1,425,000","$1,725,000",Bay
6228 Elderberry Dr,2,1,,1963,1172,13,"$699,000","$1,035,000",Hills
5818 Florence Ter,3,2,,1958,1561,31,"$799,000","$750,000",Forest
1836 Gaspar Dr,3,2,0,1959,1621,12,"$995,000","$1,215,000",Bay
1961 Gaspar Dr,4,3,0,1937,2844,12,"$1,349,000","$1,500,000",Bay
6273 Girvin Dr,4,3,0,1962,2000,11,"$1,195,000","$1,350,000","Forest,"
5978 Glenarms Drive,3,3,0,1993,2215,13,"$999,000","$1,389,000",Hills
1035 Glencourt Dr,3,2,0,1957,2267,15,"$959,000","$1,200,000",Forest
1170 Glencourt Dr,4,2,0,1961,2807,88,"$1,050,000","$975,000",Forest
1832 Gouldin Rd,2,1,0,1930,1063,12,"$699,000","$825,000",Wooded
1766 Indian Way,3,3,0,1952,2233,55,"$879,000","$818,000",Canyon
45 Lane Court,3,3,1,1958,3568,4,"$2,200,000","$2,600,000",Bay
48 Lodge Ct,2,2,0,1940,1408,13,"$869,000","$995,000",
15 Marr Ave,3,3,0,1959,3232,89,"$1,690,000","$1,651,000",Bay
6340 Melville Dr,3,2,0,1965,1448,13,"$925,000","$1,200,000","Valley, Wooded"
55 Merriewood Cir,3,3,0,1974,2067,0,"$995,000","$1,175,000",Canyon
5841 Merriewood Dr.,3,2,1,1925,1805,6,"$995,000","$1,385,000",Bay
6655 Moore Dr.,3,2,,1962,1808,5,"$1,049,000","$1,075,000",
509 Mountain Blvd,4,3,0,1995,2741,11,"$1,295,000","$1,780,000","Bay, Hills"
