game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
GAME-ID,Season that this data sets belongs to.,"Game 
Date","Away Team's
Five-Men Lineup
(Players On The Court)
1","Away Team's
Five-Men Lineup
(Players On The Court)
2","Away Team's
Five-Men Lineup
(Players On The Court)
3","Away Team's
Five-Men Lineup
(Players On The Court)
4","Away Team's
Five-Men Lineup
(Players On The Court)
5","Home Team's
Five-Men Lineup
(Players On The Court)
1","Home Team's
Five-Men Lineup
(Players On The Court)
2","Home Team's
Five-Men Lineup
(Players On The Court)
3","Home Team's
Five-Men Lineup
(Players On The Court)
4","Home Team's
Five-Men Lineup
(Players On The Court)
5",Period of the game that the the event described in that row actually occurred.,Accumulated score of away team at that moment in the game,Accumulated score of home team at that moment in the game,Remaining time in the period,Time passed since the period has started.,Duration of the event described in that row.,All events in a game has an id number,The team that has executed the described event,"Various types of events (fouls, freethrows, turnovers etc.)",The player who made the assist if the event is an assisted field goal.,Player of away team who is participating in a jumpball,Player of home team who is participating in a jumpball,Player who blocked a shot,Player who checks in the game,Player who checks out the game,"Freethrows in an order (first, second, third...)",Player who has drawn a foul.,How many free throws are going to be shoot,Player who made this event,Points scored within the event,Player who grabbed the ball after an event.,More details on how the event happened,Shot made or missed,Player who steals the ball,Various types of events occurs in a game,Shot distance (feet),X axis value of the shot,Y axis value of the shot,"X axis value converted to X coordinate on an standard NBA court 
(94 feet long and 50 feet wide)","Y axis value converted to Y coordinate on an standard NBA court 
(94 feet long and 50 feet wide)",Description of the play
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Deandre Ayton,Brook Lopez,,,,,,,Deandre Ayton,,Devin Booker,,,,jump ball,,,,,,Jump Ball Lopez vs. Ayton: Tip to Booker
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:40,0:00:20,0:00:20,3,PHX,shot,,,,,,,,,,Chris Paul,0,,,missed,,jump shot,20,49,189,20.1,23.9,MISS Paul 20' Pullup Jump Shot
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:39,0:00:21,0:00:01,4,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:21,0:00:39,0:00:18,5,MIL,shot,,,,,,,,,,Jrue Holiday,0,,,missed,,jump shot,19,-189,44,6.1,84.6,MISS Holiday 19' Pullup Jump Shot
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:20,0:00:40,0:00:01,6,PHX,rebound,,,,,,,,,,Jae Crowder,,,,,,rebound defensive,,,,,,Crowder REBOUND (Off:0 Def:1)
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:14,0:00:46,0:00:06,7,PHX,shot,,,,Giannis Antetokounmpo,,,,,,Mikal Bridges,0,,,missed,,layup,4,0,41,25,9.1,Antetokounmpo BLOCK (1 BLK): MISS Bridges 4' Running Layup
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,0,0:11:13,0:00:47,0:00:01,8,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
42000406,2020-21 Playoffs,7/20/21,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Mikal Bridges,Brook Lopez,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,P.J. Tucker,1,0,2,0:11:06,0:00:54,0:00:07,9,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,driving floating bank jump shot,4,27,24,27.7,86.6,Antetokounmpo 4' Driving Floating Bank Jump Shot (2 PTS) (Middleton 1 AST)
