Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,32,LAL,82,,38.3,10.2,16.9,0.604,0,0,0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1,3.4,3.6,2.6,24.8
2,Tom Abernethy,PF,25,GSW,67,,18.2,2.3,4.7,0.481,0,0,0,2.3,4.7,0.483,0.481,0.8,1.2,0.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4
3,Alvan Adams,C,25,PHO,75,,28.9,6.2,11.7,0.531,0,0,0,6.2,11.6,0.533,0.531,2.5,3.1,0.797,2.1,6,8.1,4.3,1.4,0.7,2.9,3.2,14.9
4,Tiny Archibald*,PG,31,BOS,80,80,35.8,4.8,9.9,0.482,0.1,0.2,0.222,4.7,9.7,0.488,0.485,4.5,5.4,0.83,0.7,1.7,2.5,8.4,1.3,0.1,3,2.7,14.1
5,Dennis Awtrey,C,31,CHI,26,,21.5,1,2.3,0.45,0,0,,1,2.3,0.45,0.45,1.2,1.9,0.64,1.1,3.3,4.4,1.5,0.5,0.6,1,2.5,3.3
6,Gus Bailey,SG,28,WSB,20,,9,0.8,1.8,0.457,0.1,0.1,1,0.8,1.7,0.441,0.471,0.3,0.7,0.385,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9
7,James Bailey,PF,22,SEA,67,,10.8,1.8,4,0.45,0,0,,1.8,4,0.45,0.45,1,1.5,0.673,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7
8,Greg Ballard,SF,25,WSB,82,,29.7,6.6,13.4,0.495,0.2,0.6,0.34,6.5,12.9,0.502,0.502,2.1,2.8,0.753,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6
9,Mike Bantom,SF,28,IND,77,,30.3,5,9.9,0.505,0,0,0.333,5,9.8,0.506,0.506,1.8,2.7,0.665,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8
10,Marvin Barnes,PF,27,SDC,20,,14.4,1.2,3,0.4,0,0,,1.2,3,0.4,0.4,0.8,1.6,0.5,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2
11,Rick Barry*,SF,35,HOU,72,,25.2,4.5,10.7,0.422,1,3.1,0.33,3.5,7.6,0.458,0.469,2,2.1,0.935,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12
12,Tim Bassett,PF,28,TOT,12,,13.7,1,2.8,0.353,0,0,,1,2.8,0.353,0.353,0.8,1.3,0.667,0.9,1.8,2.8,1.2,0.7,0,0.8,2.3,2.8
12,Tim Bassett,PF,28,NJN,7,,13.1,1.1,3.1,0.364,0,0,,1.1,3.1,0.364,0.364,1.1,1.7,0.667,1,1.6,2.6,0.6,0.7,0,0.6,2,3.4
12,Tim Bassett,PF,28,SAS,5,,14.4,0.8,2.4,0.333,0,0,,0.8,2.4,0.333,0.333,0.4,0.6,0.667,0.8,2.2,3,2,0.6,0,1,2.6,2
13,Billy Ray Bates,SG,23,POR,16,,14.7,4.5,9.1,0.493,0.5,1.2,0.421,4,7.9,0.504,0.521,1.8,2.4,0.718,0.8,1,1.8,1.9,0.9,0.1,1.3,1.6,11.3
14,Ron Behagen,PF,29,WSB,6,,10.7,1.5,3.8,0.391,0,0,,1.5,3.8,0.391,0.391,0.8,1,0.833,1,1.3,2.3,1.2,0,0.7,0.7,2.3,3.8
15,Kent Benson,C,25,TOT,73,,25.9,4.1,8.5,0.484,0,0.1,0.2,4.1,8.4,0.486,0.485,1.4,1.9,0.702,1.7,4.5,6.2,2.4,1,1.3,2.2,3.4,9.6
15,Kent Benson,C,25,MIL,56,,24.8,3.8,7.7,0.494,0,0,0,3.8,7.7,0.495,0.494,1.2,1.7,0.68,1.7,4.2,5.9,2.3,1,1.3,1.9,3.2,8.8
15,Kent Benson,C,25,DET,17,,29.5,5.1,11,0.46,0.1,0.2,0.25,5,10.8,0.464,0.463,1.9,2.6,0.75,1.8,5.3,7.1,3,1.1,1.1,3,4,12.1
16,Del Beshore,PG,23,CHI,68,,12.8,1.3,3.7,0.352,0.1,0.4,0.385,1.1,3.3,0.348,0.372,0.9,1.3,0.667,0.2,0.7,0.9,2,0.9,0.1,1.5,1.5,3.6
17,Henry Bibby,PG,30,PHI,82,,24.8,3.1,7.6,0.401,0.1,0.6,0.212,2.9,7,0.418,0.41,2.8,3.5,0.79,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2,9
18,Larry Bird*,PF,23,BOS,82,82,36,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3
19,Otis Birdsong,SG,24,KCK,82,,35.2,9.5,18.9,0.505,0.1,0.4,0.278,9.4,18.4,0.511,0.508,3.5,5,0.694,2.1,2,4,2.5,1.7,0.3,2.2,2.8,22.7
20,Ron Boone,SG,33,TOT,81,,29.5,5,11.3,0.443,0.2,0.6,0.38,4.8,10.7,0.446,0.453,2.2,2.4,0.893,0.7,2.1,2.8,3.8,1.2,0,2.4,2.9,12.4
20,Ron Boone,SG,33,LAL,6,,17.7,2.3,6.7,0.35,0,0,,2.3,6.7,0.35,0.35,1,1.2,0.857,0.7,1.2,1.8,1.2,0.8,0,2.2,2.2,5.7
20,Ron Boone,SG,33,UTA,75,,30.5,5.2,11.7,0.447,0.3,0.7,0.38,5,11,0.451,0.458,2.3,2.5,0.894,0.7,2.2,2.9,4,1.2,0,2.5,2.9,12.9
21,Lawrence Boston,PF,23,WSB,13,,9.6,1.8,4,0.462,0,0,,1.8,4,0.462,0.462,0.6,1,0.615,1.5,1.5,3,0.2,0.3,0.2,0.6,1.9,4.3
22,Tom Boswell,PF,26,TOT,79,,26.3,4.4,7.8,0.564,0.1,0.1,0.5,4.3,7.6,0.566,0.569,2.6,3.5,0.755,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4
22,Tom Boswell,PF,26,DEN,18,,29,4,7.5,0.533,0.1,0.1,0.5,3.9,7.4,0.534,0.537,3.2,3.9,0.829,2.2,4.1,6.3,2.6,0.3,0.4,2.2,3.1,11.3
22,Tom Boswell,PF,26,UTA,61,,25.5,4.5,7.8,0.573,0.1,0.1,0.5,4.4,7.7,0.574,0.577,2.4,3.3,0.729,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5
23,Winford Boynes,SG,22,NJN,64,,17.2,3.5,7.3,0.473,0,0.1,0,3.5,7.2,0.477,0.473,1.6,2.1,0.765,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5
24,Alonzo Bradley,SF,26,HOU,22,,4.4,0.8,2.2,0.354,0,0,1,0.7,2.1,0.34,0.365,0.3,0.4,0.667,0.1,0.2,0.3,0.1,0.1,0,0.4,0.4,1.9
25,Dudley Bradley,SG,22,IND,82,,24.7,3.4,7.4,0.452,0,0.1,0.4,3.3,7.4,0.452,0.453,1.7,2.1,0.782,0.8,1.9,2.7,3.1,2.6,0.6,2,2.4,8.4
26,Mike Bratz,PG,24,PHO,82,,19.4,3.3,8.4,0.392,0.3,1,0.244,3,7.3,0.413,0.407,1.7,2,0.87,0.6,1.4,2,2.7,1.1,0.1,1.6,2,8.5
27,Jim Brewer,PF,28,POR,67,,15.2,1.3,2.7,0.489,0,0.1,0,1.3,2.7,0.503,0.489,0.2,0.4,0.483,1.5,2.3,3.8,1.1,0.6,0.6,0.7,1.9,2.9
28,Ron Brewer,SG,24,POR,82,,34.3,6.7,14.4,0.464,0.1,0.4,0.188,6.6,14,0.471,0.466,2.2,2.7,0.84,0.7,2,2.6,2.6,1.2,0.6,2,1.9,15.7
29,Junior Bridgeman,SF,26,MIL,81,,28.6,7.3,15.3,0.478,0.1,0.3,0.185,7.3,15,0.484,0.48,2.8,3.3,0.865,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6
30,Allan Bristow,SF,28,UTA,82,,28.1,4.6,9.6,0.48,0,0.1,0.286,4.6,9.5,0.482,0.482,2.4,3,0.811,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6
31,Fred Brown,SG,31,SEA,80,,21.3,5.1,10.5,0.479,0.5,1.1,0.443,4.6,9.4,0.483,0.502,1.4,1.7,0.837,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12
32,John Brown,SF,28,TOT,32,,12,1.2,3.3,0.352,0,0,,1.2,3.3,0.352,0.352,1.2,1.5,0.792,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5
32,John Brown,SF,28,UTA,4,,6,0,1.8,0,0,0,,0,1.8,0,0,1,1,1,1.3,1,2.3,1,0,0,1.3,1,1
32,John Brown,SF,28,ATL,28,,12.9,1.3,3.5,0.378,0,0,,1.3,3.5,0.378,0.378,1.2,1.6,0.773,0.8,1.5,2.2,0.5,0.1,0.1,0.9,2.4,3.9
33,Roger Brown,C,29,CHI,4,,9.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0.5,2,2.5,0.3,0,0.8,0,1,0.5
34,Joe Bryant,PF,25,SDC,81,,28.7,3.6,8.4,0.431,0.1,0.4,0.147,3.6,8,0.446,0.435,2,2.7,0.742,2.1,4.3,6.4,1.8,1.3,0.5,2.1,3.2,9.3
35,Quinn Buckner,PG,25,MIL,67,,25.2,4.6,9.8,0.467,0,0.1,0.4,4.5,9.7,0.468,0.469,1.6,2.1,0.734,1,2.5,3.6,5.7,2,0.1,2.2,3,10.7
36,Tom Burleson,C,27,KCK,37,,7.4,1,2.8,0.346,0,0.1,0,1,2.7,0.356,0.346,0.6,1.1,0.575,0.6,1.3,1.9,0.5,0.2,0.4,0.7,1.3,2.6
37,Don Buse,PG,29,PHO,81,,30.9,3.2,7.3,0.443,0.2,1,0.241,3,6.3,0.475,0.459,1,1.6,0.664,0.9,2,2.9,4,1.6,0.1,1.1,1.4,7.7
38,Marty Byrnes,SF,23,LAL,32,,6.1,0.8,1.6,0.5,0,0,,0.8,1.6,0.5,0.5,0.4,0.5,0.867,0.3,0.6,0.8,0.4,0.2,0,0.7,1,2
39,Corky Calhoun,SF,29,IND,7,,4.3,0.6,1.3,0.444,0,0,,0.6,1.3,0.444,0.444,0,0.3,0,1,0.4,1.4,0,0.3,0,0.1,0.9,1.1
40,Mack Calvin,PG,32,UTA,48,,16.1,2.1,4.7,0.441,0,0.2,0.091,2.1,4.5,0.458,0.443,2.2,2.4,0.897,0.3,1.5,1.8,2.8,0.6,0,1.2,1.5,6.4
41,Austin Carr,SG,31,CLE,77,,20.7,5.1,10.9,0.465,0,0.1,0.333,5,10.8,0.466,0.466,1.6,2.2,0.738,1.1,1.1,2.1,1.9,0.5,0,1.4,1.6,11.8
42,Kenny Carr,PF,24,TOT,79,,23.3,4.8,9.7,0.492,0,0.1,0,4.8,9.7,0.495,0.492,2.2,3.3,0.658,2.5,4.9,7.4,1,0.8,0.7,1.9,3.1,11.8
42,Kenny Carr,PF,24,LAL,5,,11.4,1.4,3.2,0.438,0,0,,1.4,3.2,0.438,0.438,0.4,0.4,1,1,2.4,3.4,0.2,0.4,0.2,1.8,1.2,3.2
42,Kenny Carr,PF,24,CLE,74,,24.1,5,10.2,0.493,0,0.1,0,5,10.1,0.496,0.493,2.3,3.5,0.655,2.6,5.1,7.7,1,0.9,0.7,2,3.2,12.3
43,M.L. Carr,SF,29,BOS,82,7,24.3,4.4,9.3,0.474,0.1,0.5,0.293,4.3,8.8,0.485,0.482,2.2,2.9,0.739,1.3,2.7,4,1.9,1.5,0.4,1.7,2.6,11.1
44,Bob Carrington,SG,26,SDC,10,,13.4,1.5,3.7,0.405,0,0.2,0,1.5,3.5,0.429,0.405,0.6,0.8,0.75,0.6,0.7,1.3,0.3,0.4,0.1,0.5,1.8,3.6
45,Ron Carter,SG,23,IND,13,,9,1.2,2.8,0.405,0,0,,1.2,2.8,0.405,0.405,0.2,0.5,0.286,0.4,1.1,1.5,0.7,0.2,0.2,0.8,1.5,2.5
46,Bill Cartwright,C,22,NYK,82,,38.4,8.1,14.8,0.547,0,0,,8.1,14.8,0.547,0.547,5.5,6.9,0.797,2.4,6.5,8.9,2,0.6,1.2,2.7,3.4,21.7
47,Harvey Catchings,C,28,MIL,72,,19,1.3,3.4,0.398,0,0,0,1.3,3.4,0.399,0.398,0.5,0.9,0.629,2.3,3.4,5.7,1.1,0.3,2.3,0.9,2.7,3.2
48,Don Chaney,SG,33,BOS,60,0,8.7,1.1,3.2,0.354,0,0.1,0.167,1.1,3.1,0.361,0.357,0.5,0.7,0.762,0.5,0.7,1.2,0.6,0.5,0.2,0.6,1.3,2.8
49,Maurice Cheeks*,PG,23,PHI,79,,33.2,4.5,8.4,0.54,0.1,0.1,0.444,4.5,8.3,0.541,0.543,2.3,2.9,0.779,0.9,2.5,3.5,7,2.3,0.4,2.7,2.5,11.4
50,Phil Chenier,SG,29,TOT,43,,19.8,3.2,8.1,0.39,0.1,0.3,0.417,3,7.8,0.389,0.397,1.1,1.6,0.731,0.4,1.4,1.8,2.1,0.8,0.3,1.3,1.3,7.6
50,Phil Chenier,SG,29,WSB,20,,23.5,4.2,10.7,0.393,0.2,0.3,0.5,4.1,10.4,0.389,0.4,1.6,2.1,0.756,0.5,1.7,2.2,2.1,0.9,0.3,1.5,1.3,10.1
50,Phil Chenier,SG,29,IND,23,,16.5,2.3,5.9,0.385,0.1,0.3,0.333,2.2,5.6,0.388,0.393,0.8,1.1,0.692,0.4,1.1,1.5,2,0.7,0.4,1.1,1.3,5.4
51,Jim Chones,C,30,LAL,82,,29.2,4.5,9.3,0.489,0,0,0,4.5,9.2,0.491,0.489,1.5,2.1,0.74,1.7,5.1,6.9,1.8,0.7,0.8,2.1,3.3,10.6
52,Jim Cleamons,PG,30,TOT,79,,22.6,2.7,5.7,0.476,0.1,0.4,0.226,2.6,5.3,0.494,0.483,1.1,1.4,0.743,0.7,1.3,1.9,3.6,0.7,0.1,1.4,1.7,6.6
52,Jim Cleamons,PG,30,NYK,22,,11.5,1.4,3.1,0.435,0.1,0.4,0.375,1.2,2.8,0.443,0.457,0.5,0.7,0.8,0.5,0.4,0.9,1.8,0.6,0.1,0.8,0.6,3.4
52,Jim Cleamons,PG,30,WSB,57,,26.9,3.2,6.7,0.483,0.1,0.4,0.174,3.2,6.3,0.503,0.488,1.3,1.7,0.735,0.8,1.6,2.3,4.4,0.8,0.2,1.6,2.1,7.8
53,Doug Collins,SG,28,PHI,36,,26.8,5.3,11.4,0.466,0,0,0,5.3,11.4,0.467,0.466,3.1,3.4,0.911,0.8,1.8,2.6,2.8,0.8,0.2,2.3,2.1,13.8
54,Jeff Cook,PF,23,PHO,66,,13.7,2,4.2,0.469,0,0,0,2,4.1,0.474,0.469,1.6,2,0.806,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5
55,Michael Cooper,SG,23,LAL,82,,24.1,3.7,7,0.524,0.1,0.2,0.25,3.6,6.8,0.534,0.529,1.4,1.7,0.776,1.2,1.6,2.8,2.7,1,0.5,1.7,2.6,8.8
56,Wayne Cooper,PF,23,GSW,79,,22.5,4.6,9.5,0.489,0,0.1,0.25,4.6,9.4,0.491,0.49,1.7,2.3,0.751,2.6,3.9,6.4,0.5,0.3,1,1.8,3.1,11
57,Hollis Copeland,SF,24,NYK,75,,15.2,2.4,4.9,0.495,0,0,0,2.4,4.9,0.497,0.495,0.8,1.1,0.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7
58,Dave Corzine,C,23,WSB,78,,10.6,1.2,2.8,0.417,0,0,,1.2,2.8,0.417,0.417,0.6,0.9,0.662,1.3,2.1,3.5,0.8,0.1,0.4,0.8,1.5,2.9
59,John Coughran,SF,28,GSW,24,,6.7,1.2,3.4,0.358,0.1,0.4,0.222,1.1,3,0.375,0.37,0.3,0.6,0.571,0.1,0.7,0.8,0.5,0.3,0,0.5,1,2.8
60,Dave Cowens*,C,31,BOS,66,55,32.7,6.4,14.1,0.453,0,0.2,0.083,6.4,13.9,0.458,0.453,1.4,1.8,0.779,1.9,6.2,8.1,3.1,1,0.9,1.6,3.3,14.2
61,Charlie Criss,PG,31,ATL,81,,22.1,3.1,7.1,0.431,0,0.2,0.059,3.1,6.9,0.442,0.432,2.1,2.6,0.811,0.3,1.1,1.4,3,0.9,0,1.6,1.6,8.3
62,Terry Crosby,PG,23,KCK,4,,7,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,0.5,1,0,0.3,0.3,1.8,0,0,1.3,1,1.5
63,Pat Cummings,C,23,MIL,71,,12.7,2.6,5.2,0.505,0,0,,2.6,5.2,0.505,0.505,1.3,1.7,0.764,1.1,2.2,3.4,0.7,0.3,0.2,1,2,6.6
