PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Aaron Brooks,CHI,30,6-0,161,Oregon,USA,2007,1,26,12.0,4.5,1.5,0.9,-16.7,2.0,12.1,24.7,42.1,18.0,2015
Al Horford,ATL,29,6-10,250,Florida,Dominican Republic,2007,1,3,16.0,14.4,8.6,3.7,4.1,7.4,17.1,20.9,52.5,19.5,2015
Al-Farouq Aminu,DAL,24,6-9,215,Wake Forest,USA,2010,1,8,5.0,11.2,7.2,1.2,6.2,8.5,13.3,12.1,71.1,5.4,2015
Alan Anderson,BKN,32,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,6.0,11.0,3.5,1.2,4.4,1.4,11.9,16.1,73.4,8.1,2015
Alexis Ajinca,NOP,27,7-2,248,None,France,2008,1,20,3.0,2.7,0.3,0.3,-42.6,0.0,16.7,17.4,100,16.7,2015
Allen Crabbe,POR,23,6-6,210,California,USA,2013,2,31,2.0,5.0,1.5,0.5,-13.1,0.0,8.1,6.8,100,4.2,2015
Alonzo Gee,POR,28,6-6,225,Alabama,USA,Undrafted,Undrafted,Undrafted,1.0,0.0,1.0,1.0,50.0,0.0,33.3,0.0,0.0,50.0,2015
Amar'e Stoudemire,DAL,32,6-10,245,None,USA,2002,1,9,5.0,7.8,3.2,0.6,0.5,8.3,10.2,24.5,47.9,5.9,2015
Amir Johnson,TOR,28,6-9,240,No College,USA,2005,2,56,4.0,11.5,7.0,1.0,-18.6,5.6,19.1,16.2,67.1,6.3,2015
Andre Iguodala,GSW,31,6-6,215,Arizona,USA,2004,1,9,21.0,10.4,4.5,3.6,5.4,2.5,11.7,14.9,54.6,18.5,2015
Andrew Bogut,GSW,30,7-0,260,Utah,Australia,2005,1,1,19.0,4.7,8.1,1.9,2.5,9.8,24.3,11.1,55.1,12.1,2015
Anthony Davis,NOP,22,6-10,220,Kentucky,USA,2012,1,1,4.0,31.5,11.0,2.0,-5.6,5.2,19.0,30.7,61.3,9.9,2015
Aron Baynes,SAS,28,6-10,260,Washington State,Australia,Undrafted,Undrafted,Undrafted,4.0,2.3,2.5,0.3,-9.0,6.5,15.2,13.7,39.8,4.0,2015
Arron Afflalo,POR,29,6-5,215,UCLA,USA,2007,1,27,3.0,1.7,2.3,0.7,-36.3,0.0,12.5,12.0,20.1,6.7,2015
Austin Rivers,LAC,22,6-4,200,Duke,USA,2012,1,10,14.0,8.4,1.7,1.1,-8.7,2.2,6.6,20.6,51.6,10.5,2015
Avery Bradley,BOS,24,6-2,180,Texas-Austin,USA,2010,1,19,4.0,12.3,3.8,0.8,-4.4,2.2,8.7,19.0,46.2,3.7,2015
Beno Udrih,MEM,32,6-3,205,None,Slovenia,2004,1,28,10.0,7.6,2.0,2.1,-11.1,2.2,9.1,20.9,48.5,20.2,2015
Bernard James,DAL,30,6-10,235,Florida State,USA,2012,2,33,1.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,2015
Blake Griffin,LAC,26,6-10,251,Oklahoma,USA,2009,1,1,14.0,25.5,12.7,6.1,3.3,6.6,22.9,27.8,55.7,27.6,2015
Bojan Bogdanovic,BKN,26,6-8,216,None,Croatia,2011,2,31,6.0,10.3,3.8,1.7,-8.5,1.4,9.4,15.4,49.9,8.1,2015
Boris Diaw,SAS,33,6-8,250,None,France,2003,1,21,7.0,11.6,6.1,3.6,-1.0,6.4,15.6,19.2,52.8,19.7,2015
Bradley Beal,WAS,22,6-5,207,Florida,USA,2012,1,3,10.0,23.4,5.5,4.6,4.2,3.3,9.2,26.5,51.8,19.2,2015
Brandon Bass,BOS,30,6-8,250,Louisiana State,USA,2005,2,33,4.0,5.0,2.0,2.5,-19.4,3.4,5.8,15.1,41.0,18.9,2015
Brandon Rush,GSW,29,6-6,220,Kansas,USA,2008,1,13,3.0,1.0,1.0,0.0,0.0,11.1,22.2,31.6,25.0,0.0,2015
Brendan Haywood,CLE,35,7-0,263,North Carolina,USA,2001,1,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2015
Brook Lopez,BKN,27,7-0,275,Stanford,USA,2008,1,10,6.0,19.8,9.0,0.8,-4.8,8.2,14.0,21.2,56.9,3.7,2015
CJ McCollum,POR,23,6-4,200,Lehigh,USA,2013,1,10,5.0,17.0,4.0,0.4,3.9,0.5,10.3,20.8,58.4,2.1,2015
Chandler Parsons,DAL,26,6-9,227,Florida,USA,2011,2,38,1.0,10.0,6.0,2.0,-20.9,0.0,15.0,16.7,33.3,7.4,2015
Charlie Villanueva,DAL,30,6-11,232,Connecticut,USA,2005,1,7,5.0,6.0,2.6,0.6,0.2,7.3,22.0,19.5,60.0,8.6,2015
Chris Kaman,POR,33,7-0,265,Central Michigan,USA,2003,1,6,3.0,3.0,4.7,1.0,-18.4,14.3,25.7,13.6,53.3,12.5,2015
Chris Paul,LAC,30,6-0,175,Wake Forest,USA,2005,1,4,12.0,22.1,4.4,8.8,3.7,1.5,9.8,23.2,62.7,39.3,2015
Clint Capela,HOU,21,6-10,240,None,Switzerland,2014,1,25,17.0,3.4,2.5,0.3,-10.4,9.2,20.3,14.8,65.1,6.7,2015
Corey Brewer,HOU,29,6-9,186,Florida,USA,2007,1,7,17.0,11.2,2.8,1.1,-7.4,2.2,7.6,19.4,49.9,7.7,2015
Cory Joseph,SAS,23,6-3,190,Texas,Canada,2011,1,29,4.0,2.8,0.3,0.0,-42.6,0.0,4.5,16.0,79.9,0.0,2015
Courtney Lee,MEM,29,6-5,200,Western Kentucky,USA,2008,1,22,11.0,13.3,2.5,2.2,-0.4,0.8,6.8,14.8,66.3,11.0,2015
Dahntay Jones,LAC,34,6-6,225,Duke,USA,2003,1,20,11.0,0.4,0.1,0.0,7.0,0.0,5.0,4.8,100,0.0,2015
Damian Lillard,POR,24,6-3,195,Weber State,USA,2012,1,6,5.0,21.6,4.0,4.6,-8.5,0.9,8.7,27.1,49.1,22.1,2015
Danny Green,SAS,28,6-6,215,North Carolina,USA,2009,2,46,7.0,8.3,3.1,2.1,9.1,3.2,7.3,14.9,45.6,10.1,2015
Dante Cunningham,NOP,28,6-8,230,Villanova,USA,2009,2,33,4.0,5.3,4.5,0.5,7.5,6.7,15.6,7.3,85.2,3.5,2015
Darius Morris,BKN,24,6-4,195,Michigan,USA,2011,2,41,1.0,0.0,0.0,0.0,-44.4,0.0,0.0,9.1,0.0,0.0,2015
David Lee,GSW,32,6-9,245,Florida,USA,2005,1,30,13.0,3.1,2.6,0.6,17.0,10.1,19.3,20.2,42.9,11.4,2015
DeAndre Jordan,LAC,26,6-11,265,Texas A&M,USA,2008,2,35,14.0,13.1,13.4,1.1,4.1,10.0,27.1,15.6,61.0,4.8,2015
DeMar DeRozan,TOR,25,6-7,220,Southern California,USA,2009,1,9,4.0,20.3,6.3,5.8,-16.4,2.8,13.7,26.6,46.3,25.0,2015
DeMarre Carroll,ATL,28,6-8,212,Missouri,USA,2009,1,27,16.0,14.6,6.1,2.0,2.9,4.4,12.3,16.7,59.7,9.1,2015
Dennis Schroder,ATL,21,6-1,168,None,Germany,2013,1,17,16.0,9.0,1.8,3.9,-12.8,1.7,7.5,28.7,45.8,42.8,2015
Deron Williams,BKN,31,6-3,200,Illinois,USA,2005,1,3,6.0,11.8,6.2,5.5,-12.3,1.6,18.0,20.7,49.3,27.7,2015
Derrick Rose,CHI,26,6-3,190,Memphis,USA,2008,1,1,12.0,20.3,4.8,6.5,7.6,2.8,9.0,28.8,48.4,31.7,2015
Devin Harris,DAL,32,6-3,192,Wisconsin,USA,2004,1,5,4.0,6.0,2.0,1.0,-15.4,1.2,9.9,16.1,44.5,7.4,2015
Dirk Nowitzki,DAL,37,7-0,245,None,Germany,1998,1,9,5.0,21.2,10.4,2.4,-4.6,2.1,24.7,23.8,55.0,10.2,2015
