FULL,TEAM,URL
Utah Jazz,UTA,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/jazz.png
Phoenix Suns,PHX,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/suns.png
Philadelphia 76ers,PHI,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/76ers.png
Brooklyn Nets,BKN,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nets.png
Denver Nuggets,DEN,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nuggets.png
LA Clippers,LAC,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/clippers.png
Milwaukee Bucks,MIL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bucks.png
Dallas Mavericks,DAL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/mavericks.png
Los Angeles Lakers,LAL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/lakers.png
Portland Trail Blazers,POR,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/blazers.png
Atlanta Hawks,ATL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hawks.png
New York Knicks,NYK,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/knicks.png
Miami Heat,MIA,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/heat.png
Golden State Warriors,GSW,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/warriors.png
Memphis Grizzlies,MEM,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/grizzlies.png
Boston Celtics,BOS,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/celtics.png
Indiana Pacers,IND,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pacers.png
Washington Wizards,WAS,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/wizards.png
Charlotte Hornets,CHA,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hornets.png
San Antonio Spurs,SAS,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/spurs.png
Chicago Bulls,CHI,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bulls.png
New Orleans Pelicans,NOP,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pelicans.png
Sacramento Kings,SAC,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/kings.png
Toronto Raptors,TOR,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/raptors.png
Minnesota Timberwolves,MIN,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/timberwolves.png
Cleveland Cavaliers,CLE,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/cavs.png
Oklahoma City Thunder,OKC,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/thunder.png
Orlando Magic,ORL,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/magic.png
Detroit Pistons,DET,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pistons.png
Houston Rockets,HOU,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/rockets.png
