PLAYER,TEAM,AGE,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",BLK,BLKA,PF,PFD,
Giannis Antetokounmpo,MIL,27,67,45,22,32.9,4.0,3.2,4.3,15.9,10.3,8.1,6.6,28.3,1.4,0.9,3.2,8.8,
Joel Embiid,PHI,28,68,45,23,33.8,3.8,3.0,1.9,12.0,9.5,8.8,10.0,32.6,1.5,1.2,2.7,8.5,
Nikola Jokic,DEN,27,74,46,28,33.5,3.0,3.8,1.7,16.2,12.2,7.9,8.4,35.2,0.9,0.9,2.6,6.5,
Luka Doncic,DAL,23,65,44,21,35.4,3.3,1.8,1.1,11.0,10.5,10.5,9.2,35.9,0.6,0.7,2.2,6.2,
Trae Young,ATL,23,76,40,36,34.9,4.0,1.9,2.2,8.9,11.0,9.4,9.1,35.6,0.1,1.2,1.7,5.9,
Kevin Durant,BKN,33,55,36,19,37.2,3.6,2.1,3.5,8.6,14.0,10.7,11.1,35.1,0.9,0.7,2.1,5.9,
Rudy Gobert,UTA,29,66,42,24,32.1,1.9,4.5,0.7,11.0,10.7,7.8,7.9,28.0,2.1,0.7,2.7,5.8,
Ja Morant,MEM,22,57,36,21,33.1,3.9,2.9,4.4,16.6,10.3,8.5,9.0,33.1,0.4,1.7,1.5,5.8,
James Harden,PHI,32,65,40,25,37.2,3.0,1.8,2.2,7.3,13.1,9.7,11.8,37.3,0.6,1.4,2.4,5.8,
Karl-Anthony Towns,MIN,26,74,44,30,33.5,3.4,3.6,1.3,12.1,11.0,9.5,10.5,33.2,1.1,1.2,3.6,5.8,
Jimmy Butler,MIA,32,57,38,19,33.9,3.4,2.4,2.6,10.4,11.3,8.5,8.1,29.5,0.5,0.6,1.5,5.7,
DeMar DeRozan,CHI,32,76,43,33,36.1,3.4,1.7,1.5,9.9,10.8,9.8,8.9,37.3,0.3,1.1,2.3,5.7,
Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,3.0,1.9,1.9,12.0,11.1,9.7,7.9,34.4,0.8,1.1,2.5,5.5,
LeBron James,LAL,37,56,25,31,37.2,4.3,2.9,4.8,14.3,13.1,10.2,11.9,38.6,1.1,0.8,2.2,5.5,
Bam Adebayo,MIA,24,56,36,20,32.6,3.0,2.5,2.2,13.0,10.4,7.5,7.9,28.0,0.8,0.7,3.1,5.4,
Domantas Sabonis,SAC,26,62,21,41,34.4,2.1,3.5,1.3,12.5,11.7,8.6,9.2,34.9,0.4,0.7,3.3,5.2,
Damian Lillard,POR,31,29,12,17,36.4,2.8,1.7,1.9,6.3,12.4,8.0,10.1,37.9,0.4,0.8,1.3,5.2,
Anthony Davis,LAL,29,40,17,23,35.1,3.7,3.4,2.2,14.3,13.4,9.0,11.6,36.6,2.3,0.5,2.4,5.1,
Paul George,LAC,32,31,18,13,34.8,3.4,1.5,2.1,6.6,11.6,10.2,8.8,33.8,0.4,0.9,2.4,5.1,
Pascal Siakam,TOR,28,68,40,28,37.9,4.3,2.5,3.4,13.1,10.5,9.7,9.3,35.7,0.6,0.9,3.3,5.0,
Brandon Ingram,NOP,24,55,29,26,34.0,3.0,1.6,1.9,6.9,11.0,8.6,7.6,32.5,0.5,0.8,2.2,4.8,
De'Aaron Fox,SAC,24,59,22,37,35.3,2.6,1.3,2.8,11.7,12.6,10.6,10.1,38.6,0.4,0.8,2.9,4.8,
Christian Wood,HOU,26,68,19,49,30.8,2.3,2.4,1.0,8.8,14.0,9.0,10.6,33.4,1.0,0.7,2.5,4.6,
Devin Booker,PHX,25,68,56,12,34.5,4.6,1.7,4.1,7.7,10.4,10.8,8.2,32.8,0.4,0.9,2.6,4.6,
Julius Randle,NYK,27,72,32,40,35.3,3.0,3.1,1.3,8.1,11.8,9.1,10.1,33.0,0.5,0.9,2.8,4.6,
Kristaps Porzingis,WAS,26,51,26,25,29.0,2.3,2.6,1.5,8.2,8.4,6.4,7.2,26.8,1.6,0.6,2.7,4.6,
Jayson Tatum,BOS,24,76,49,27,35.9,3.6,2.1,3.0,10.1,10.5,9.1,8.5,30.8,0.6,1.1,2.3,4.5,
Jusuf Nurkic,POR,27,56,25,31,28.2,1.7,3.1,0.6,10.6,9.1,6.1,8.0,25.9,0.6,0.8,3.4,4.4,
Jaylen Brown,BOS,25,66,43,23,33.6,3.5,2.3,3.2,9.9,10.0,8.5,7.8,28.4,0.3,1.5,2.5,4.3,
Jarrett Allen,CLE,24,56,35,21,32.3,2.3,3.2,0.8,12.6,12.3,8.4,8.4,31.1,1.3,0.6,1.7,4.2,
Norman Powell,LAC,28,45,15,30,32.4,3.5,1.5,3.1,6.0,11.8,8.4,9.3,34.4,0.5,0.7,2.4,4.1,
Donovan Mitchell,UTA,25,67,41,26,33.8,3.2,1.9,2.0,9.5,11.5,9.5,8.0,32.8,0.2,0.7,2.4,4.1,
Jonas Valanciunas,NOP,30,74,34,40,30.3,1.9,3.8,0.5,10.8,9.7,7.2,7.1,27.5,0.8,0.6,3.3,4.1,
RJ Barrett,NYK,21,70,33,37,34.5,2.8,1.6,3.1,9.2,11.4,8.7,8.9,32.0,0.2,1.5,2.0,4.1,
Harrison Barnes,SAC,29,77,27,50,33.6,2.4,1.5,1.6,6.1,12.5,10.2,10.2,37.1,0.2,0.6,1.2,4.0,
Bradley Beal,WAS,28,40,17,23,36.0,3.0,2.0,2.1,10.3,12.5,9.8,5.9,36.3,0.4,0.9,2.4,4.0,
Zach LaVine,CHI,27,67,37,30,34.7,4.2,1.4,3.0,8.3,11.2,9.4,8.6,34.7,0.3,0.9,1.8,4.0,
Jerami Grant,DET,28,47,11,36,31.9,2.7,1.4,1.6,6.0,11.2,8.1,6.8,32.2,1.0,0.6,2.3,3.9,
Russell Westbrook,LAL,33,78,31,47,34.3,2.1,1.4,1.9,9.8,12.1,9.7,10.8,36.8,0.3,1.1,3.0,3.9,
Collin Sexton,CLE,23,11,7,4,28.8,2.9,2.0,3.0,9.1,13.8,7.6,8.9,28.2,0.0,1.5,2.3,3.9,
Kyrie Irving,BKN,30,29,14,15,37.6,3.1,2.1,3.5,8.8,12.0,11.0,9.6,35.7,0.6,0.9,2.8,3.8,
Malcolm Brogdon,IND,29,36,14,22,33.5,2.0,1.3,1.7,8.5,10.9,9.3,8.3,34.4,0.4,1.1,2.0,3.7,
Jaren Jackson Jr.,MEM,22,78,53,25,27.3,2.4,2.4,1.2,7.5,7.5,7.3,7.6,25.5,2.3,1.3,3.5,3.6,
