PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Stephen Curry,GSW,35,4,2,2,42.8,44,17,34,50.0,7,19,36.8,3,3,100,1,4,5,4,0,1,0,5,59,0,0,2
Trae Young,ATL,24,4,1,3,42.2,44,13,28,46.4,4,10,40.0,14,15,93.3,3,2,5,4,0,2,0,0,62,1,0,-3
De'Aaron Fox,SAC,25,4,2,2,41.5,40,15,31,48.4,5,9,55.6,5,8,62.5,1,7,8,11,3,1,0,1,66,0,0,-5
Michael Porter Jr.,DEN,24,4,3,1,37.4,33,11,17,64.7,7,9,77.8,4,5,80.0,0,9,9,1,0,2,2,2,57,1,0,18
Anthony Edwards,MIN,21,4,1,3,36.1,31,7,18,38.9,3,11,27.3,14,14,100,0,4,4,4,2,2,2,2,52,0,0,-16
Jayson Tatum,BOS,25,4,3,1,45.6,31,9,23,39.1,4,12,33.3,9,11,81.8,1,11,12,5,3,1,1,4,56,3,0,4
Austin Reaves,LAL,24,4,3,1,41.1,29,10,14,71.4,5,8,62.5,4,4,100,2,2,4,5,0,0,0,2,41,0,0,10
Klay Thompson,GSW,33,4,2,2,37.6,29,9,16,56.3,7,13,53.8,4,4,100,0,4,4,2,1,1,0,1,39,0,0,-2
Russell Westbrook,LAC,34,4,1,3,40.3,29,10,21,47.6,2,4,50.0,7,7,100,3,12,15,8,4,2,4,1,73,1,0,-4
Caleb Martin,MIA,27,4,3,1,43.6,28,9,11,81.8,5,7,71.4,5,5,100,3,7,10,6,1,3,0,5,57,1,0,43
Devin Booker,PHX,26,4,3,1,44.8,28,12,22,54.5,2,7,28.6,2,2,100,0,3,3,5,2,2,3,3,52,0,0,5
Jalen Brunson,NYK,26,4,3,1,34.4,28,9,18,50.0,3,5,60.0,7,7,100,1,1,2,4,2,0,0,2,34,0,0,16
Dejounte Murray,ATL,26,4,1,3,41.0,27,11,24,45.8,3,8,37.5,2,2,100,2,4,6,5,4,2,0,4,44,0,0,5
Jimmy Butler,MIA,33,2,2,0,19.1,27,8,13,61.5,1,3,33.3,10,12,83.3,1,3,4,2,0,0,0,1,35,1,0,18
Malik Monk,SAC,25,4,2,2,43.7,27,5,14,35.7,2,5,40.0,15,16,93.8,1,7,8,3,3,2,1,1,47,0,0,3
Chris Paul,PHX,37,4,3,1,47.3,26,11,26,42.3,2,7,28.6,2,4,50.0,3,8,11,12,1,2,2,5,68,1,0,5
Mikal Bridges,BKN,26,4,0,4,38.4,26,8,20,40.0,4,7,57.1,6,8,75.0,0,4,4,2,1,1,0,3,36,0,0,-24
Desmond Bane,MEM,24,4,1,3,44.0,25,8,19,42.1,2,10,20.0,7,7,100,1,4,5,2,2,0,0,3,32,0,0,-4
Duncan Robinson,MIA,29,3,2,1,35.2,25,9,14,64.3,6,8,75.0,1,1,100,0,6,6,3,3,1,0,0,37,0,0,40
Ja Morant,MEM,23,3,0,3,21.6,25,9,17,52.9,4,7,57.1,3,4,75.0,1,4,5,4,3,0,0,2,34,1,0,4
Kevin Durant,PHX,34,4,3,1,43.7,25,7,15,46.7,2,7,28.6,9,9,100,1,7,8,9,3,1,1,1,51,2,0,-3
Norman Powell,LAC,29,4,1,3,35.6,25,8,16,50.0,2,6,33.3,7,9,77.8,0,2,2,2,0,0,0,3,30,0,0,-5
Jamal Murray,DEN,26,4,3,1,29.8,23,7,15,46.7,4,9,44.4,5,7,71.4,0,5,5,4,4,2,0,3,37,0,0,16
Jaylen Brown,BOS,26,4,3,1,40.6,23,9,17,52.9,3,6,50.0,2,2,100,2,4,6,5,4,3,1,3,46,1,0,2
Josh Hart,NYK,28,4,3,1,34.9,23,9,13,69.2,3,4,75.0,2,2,100,6,6,12,2,2,1,0,2,41,1,0,5
Tyrese Maxey,PHI,22,4,4,0,35.9,23,9,18,50.0,5,10,50.0,0,0,0.0,0,7,7,2,0,1,1,5,40,0,0,37
Kawhi Leonard,LAC,31,2,1,1,18.6,22,8,14,57.1,3,4,75.0,3,3,100,1,1,2,2,2,1,0,2,28,0,0,3
Brook Lopez,MIL,35,4,1,3,32.6,20,9,14,64.3,1,1,100,1,1,100,2,1,3,0,2,3,0,0,31,1,0,-40
De'Anthony Melton,PHI,24,4,4,0,31.2,20,7,12,58.3,3,7,42.9,3,4,75.0,4,0,4,3,1,3,0,2,37,0,0,16
Donovan Mitchell,CLE,26,4,1,3,35.1,20,8,22,36.4,2,11,18.2,2,2,100,1,0,1,8,3,2,1,4,39,1,0,0
Anthony Davis,LAL,30,4,3,1,34.3,19,7,11,63.6,2,4,50.0,3,4,75.0,2,5,7,2,3,2,3,1,42,3,0,14
Harrison Barnes,SAC,30,4,2,2,34.9,19,7,12,58.3,3,5,60.0,2,2,100,1,3,4,2,0,0,0,0,27,0,0,-4
Jaren Jackson Jr.,MEM,23,4,1,3,45.7,19,7,15,46.7,1,5,20.0,4,5,80.0,2,4,6,2,3,2,4,6,44,1,0,-1
Joel Embiid,PHI,29,3,3,0,22.7,19,6,10,60.0,0,1,0.0,7,7,100,1,7,8,2,5,1,2,4,36,2,0,27
LeBron James,LAL,38,4,3,1,45.2,19,7,19,36.8,1,6,16.7,4,5,80.0,5,9,14,7,2,1,1,2,50,3,0,-1
Tobias Harris,PHI,30,4,4,0,34.0,19,7,14,50.0,2,3,66.7,3,3,100,2,8,10,0,0,0,1,1,34,2,0,37
Caris LeVert,CLE,28,3,1,2,30.1,18,7,14,50.0,1,7,14.3,3,3,100,3,1,4,2,2,0,0,1,24,0,0,-23
Mike Conley,MIN,35,4,1,3,38.8,18,6,12,50.0,3,6,50.0,3,3,100,0,0,0,1,4,0,0,2,16,0,0,-23
Nikola Jokic,DEN,28,4,3,1,31.1,18,6,8,75.0,1,1,100,5,6,83.3,0,5,5,7,2,1,0,4,36,3,1,13
Khris Middleton,MIL,31,4,1,3,31.0,16,5,18,27.8,1,9,11.1,5,7,71.4,1,6,7,7,3,1,0,4,35,0,0,-31
Bogdan Bogdanovic,ATL,30,4,1,3,28.9,15,5,12,41.7,4,9,44.4,1,1,100,1,3,4,2,1,2,1,5,31,0,0,-4
