name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Paul George","Indiana Pacers",2016-03-21,2015,4251,1610612754,400828932,4,2,18,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Paul George","Indiana Pacers",2016-03-31,2015,4251,1610612754,400829010,4,3,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-11-20,2015,6475,1610612744,400828074,1,10,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,1,0.90,"Mirotic, Nikola",4.00,24.00
"James Harden","Houston Rockets",2015-11-27,2015,3992,1610612745,400828119,1,3,29,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.60,"Okafor, Jahlil",2.80,1.80
"Paul George","Indiana Pacers",2015-12-30,2015,4251,1610612754,400828365,5,0,00,0,"Alley Oop Layup shot","2PT Field Goal",2,"Chicago Bulls",-24,-5,0,0.00,"Butler, Jimmy",4.20,0.00
"James Harden","Houston Rockets",2015-12-29,2015,3992,1610612745,400828357,3,7,33,0,"Alley Oop Layup shot","2PT Field Goal",0,"Atlanta Hawks",6,7,0,2.40,"Bazemore, Kent",3.10,14.70
"Paul George","Indiana Pacers",2016-03-26,2015,4251,1610612754,400828969,1,5,45,1,"Alley Oop Layup shot","2PT Field Goal",2,"Brooklyn Nets",-22,2,0,0.00,,0.00,0.00
"Paul George","Indiana Pacers",2016-02-21,2015,4251,1610612754,400828715,1,11,46,0,"Alley Oop Layup shot","2PT Field Goal",1,"Orlando Magic",-13,14,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2015-12-12,2015,6606,1610612757,400828239,4,0,17,0,"Alley Oop Layup shot","2PT Field Goal",2,"New York Knicks",-19,13,0,0.00,"Thomas, Lance",7.10,0.00
"Damian Lillard","Portland Trail Blazers",2016-01-13,2015,6606,1610612757,400828471,3,4,57,0,"Alley Oop Layup shot","2PT Field Goal",2,"Utah Jazz",-25,3,0,1.00,"Burke, Trey",2.20,6.40
"Paul George","Indiana Pacers",2015-11-29,2015,4251,1610612754,400828140,3,9,36,1,"Alley Oop Layup shot","2PT Field Goal",0,"Los Angeles Lakers",4,3,0,0.00,"Bryant, Kobe",1.30,13.60
"James Harden","Houston Rockets",2016-03-31,2015,3992,1610612745,400829011,1,0,00,0,"Alley Oop Layup shot","2PT Field Goal",4,"Chicago Bulls",-7,41,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-11-28,2015,6475,1610612744,400828132,1,6,12,1,"Alley Oop Layup shot","2PT Field Goal",1,"Sacramento Kings",1,11,0,1.60,"McLemore, Ben",5.70,17.60
"Paul George","Indiana Pacers",2015-12-26,2015,4251,1610612754,400828335,1,1,24,1,"Cutting Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.70,"LaVine, Zach",1.60,13.20
"Klay Thompson","Golden State Warriors",2015-12-18,2015,6475,1610612744,400828284,2,1,52,1,"Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.70,"Plumlee, Miles",3.90,15.80
"Klay Thompson","Golden State Warriors",2016-03-03,2015,6475,1610612744,400828798,4,3,26,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Paul George","Indiana Pacers",2016-03-15,2015,4251,1610612754,400828884,4,1,42,1,"Cutting Dunk Shot","2PT Field Goal",2,"Boston Celtics",25,-1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-01-30,2015,3992,1610612745,400828598,1,9,31,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Paul George","Indiana Pacers",2016-03-05,2015,4251,1610612754,400828811,1,2,27,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Paul George","Indiana Pacers",2015-11-18,2015,4251,1610612754,400828054,3,8,02,1,"Cutting Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.80,"Covington, Robert",4.10,14.40
"CJ McCollum","Portland Trail Blazers",2015-12-12,2015,2490149,1610612757,400828239,3,4,58,1,"Cutting Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.60,"Afflalo, Arron",3.40,13.20
"Klay Thompson","Golden State Warriors",2016-03-06,2015,6475,1610612744,400828818,1,6,26,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-03-07,2015,6475,1610612744,400828830,2,3,33,1,"Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-03-30,2015,6475,1610612744,400829006,1,5,13,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"JR Smith","Cleveland Cavaliers",2016-04-11,2015,2444,1610612739,400829090,2,2,51,1,"Cutting Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-04-11,2015,3992,1610612745,400829094,3,7,59,1,"Cutting Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2016-02-25,2015,3992,1610612745,400828746,3,6,15,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
