,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
0,Karl Windham,2-4,1-3,0-0,1,0,1,2,5,1,2,0,0,14,07/18/2022,Peach Jam
1,Morez Johnson,4-11,0-0,3-6,5,2,7,4,11,2,4,0,2,28,07/18/2022,Peach Jam
2,James Brown,3-13,0-0,4-8,7,4,11,4,10,2,2,0,2,28,07/18/2022,Peach Jam
3,Carlos Harris,5-11,0-1,1-2,2,1,3,3,11,2,2,0,0,24,07/18/2022,Peach Jam
4,Nojus Indrusaitis,5-15,2-7,1-1,3,1,4,1,13,1,3,0,2,28,07/18/2022,Peach Jam
5,William Gonzalez,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,Peach Jam
6,Lee Marks,0-1,0-0,0-0,0,1,1,0,0,1,1,0,0,7,07/18/2022,Peach Jam
7,Shaheed Solebo,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,Peach Jam
8,Luke Williams,1-3,0-2,0-0,1,1,2,0,2,1,0,0,1,16,07/18/2022,Peach Jam
9,Isaiah Green,0-1,0-0,1-2,1,2,3,1,1,0,3,0,3,16,07/18/2022,Peach Jam
10,Ryder Elisaldez,2-2,0-0,0-0,0,0,0,1,4,4,2,0,2,24,07/18/2022,Peach Jam
11,Anthony Gilkes,4-7,2-5,0-0,1,1,2,1,10,0,5,0,0,16,07/18/2022,Peach Jam
12,Khaman Maker,1-4,0-0,0-1,2,5,7,2,2,0,1,6,1,23,07/18/2022,Peach Jam
13,Josiah Cunningham,2-4,2-3,2-3,1,2,3,2,8,0,2,0,0,17,07/18/2022,Peach Jam
14,Anthony Nwuli,1-2,0-0,0-0,1,1,2,3,2,3,0,0,0,9,07/18/2022,Peach Jam
15,Taj DeGourville,5-10,2-4,2-2,0,3,3,2,14,2,3,0,3,27,07/18/2022,Peach Jam
16,John Mobley,3-8,2-6,2-3,0,2,2,2,10,5,4,0,2,29,07/18/2022,Peach Jam
17,Christopher Nwuli,3-5,0-1,2-2,2,3,5,4,8,1,3,1,0,15,07/18/2022,Peach Jam
0,Jalil Bethea,5-11,2-5,3-3,0,5,5,0,15,1,0,0,0,32,07/22/2022,Peach Jam
1,Robert Wright,6-11,1-3,1-2,0,3,3,2,14,6,1,0,1,29,07/22/2022,Peach Jam
2,Tyler Iwanonkiw,1-2,0-1,0-0,0,0,0,0,2,0,0,0,0,7,07/22/2022,Peach Jam
3,Amir Williams,2-3,0-1,1-2,1,5,6,1,5,1,0,0,0,20,07/22/2022,Peach Jam
4,Thomas Sorber,6-10,1-4,3-4,2,7,9,1,16,1,1,2,0,31,07/22/2022,Peach Jam
5,Luke Bevilacqua,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
6,Aasim Burton,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,4,07/22/2022,Peach Jam
7,Makye Taylor,1-4,1-2,0-0,0,3,3,4,3,0,1,0,0,7,07/22/2022,Peach Jam
8,Nick Coval,1-7,0-3,0-0,1,4,5,1,2,1,0,0,0,30,07/22/2022,Peach Jam
9,BJ Davis,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
10,Brandon Davis,2-12,1-3,1-2,1,3,4,3,6,1,0,0,0,27,07/22/2022,Peach Jam
11,Tahjavion Hurndon,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
12,Cedric Dixon,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
13,Braeden Lloyd,0-3,0-3,0-0,0,0,0,0,0,0,0,0,0,4,07/22/2022,Peach Jam
14,Dalen Fuller,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
15,Darian Grant,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,1,07/22/2022,Peach Jam
16,Dayton Forsythe,3-11,0-4,0-0,0,2,2,2,6,1,0,0,0,31,07/22/2022,Peach Jam
17,Dylan Warlick,3-11,0-1,3-3,2,7,9,1,9,0,0,0,0,31,07/22/2022,Peach Jam
18,Reid Cason,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
19,Jaxson Ford,4-5,0-0,0-0,4,6,10,4,8,0,2,0,0,17,07/22/2022,Peach Jam
20,Erik Madrid,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/22/2022,Peach Jam
21,Antonio Barrett,2-11,0-3,4-4,2,4,6,1,8,1,3,0,0,31,07/22/2022,Peach Jam
22,Luke Gray,1-4,0-3,1-2,4,2,6,2,3,0,0,0,1,15,07/22/2022,Peach Jam
0,Brandon Davis,7-14,1-2,1-3,1,2,3,2,16,2,0,0,1,27,07/18/2022,Peach Jam
1,Cedric Dixon,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,Peach Jam
2,Braeden Lloyd,1-2,1-2,0-0,0,1,1,0,3,1,0,0,0,4,07/18/2022,Peach Jam
3,Dalen Fuller,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,Peach Jam
4,Darian Grant,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,2,07/18/2022,Peach Jam
5,Dayton Forsythe,3-10,0-0,5-6,1,4,5,2,11,3,3,0,0,32,07/18/2022,Peach Jam
6,Dylan Warlick,5-10,0-1,2-2,1,6,7,1,12,4,0,0,1,32,07/18/2022,Peach Jam
7,Jaxson Ford,1-3,0-0,0-0,1,0,1,2,2,0,0,0,0,7,07/18/2022,Peach Jam
8,Erik Madrid,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/18/2022,Peach Jam
9,Antonio Barrett,4-7,1-2,0-0,1,4,5,2,9,4,1,0,2,29,07/18/2022,Peach Jam
10,Luke Gray,4-8,1-2,2-2,2,9,11,1,11,0,1,3,0,25,07/18/2022,Peach Jam
11,Nicholas Janowski,3-10,1-4,0-1,1,1,2,1,7,6,1,0,0,32,07/18/2022,Peach Jam
