#,Athlete Name,GP,MPG,PPG,DEFR,OFFR,RPG,APG,SPG,BPG,TPG,PFPG,Min,Pts,FGM,FGA,FG%,PPS,AFG%,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,Chr,Defl,TF,DD,TD
0,A. Sze (So),12,12.1,1.4,0.8,0.3,1.2,1.3,0.3,0,1.2,1,145,17,8,20,40,0.9,43,1,3,33,0,0,0,7,17,41,4,10,14,16,3,0,14,12,4,10,14,16,3,0,14,12,1.14,0.21,0.25,0,,0,,,
2,C. Becker (Sr),20,17.4,6.8,2.5,2.1,4.6,1.3,2.2,0.1,2.7,1,348,135,53,145,37,0.9,39,7,45,16,22,46,48,46,100,46,42,49,91,26,43,1,53,19,42,49,91,26,43,1,53,19,0.49,0.81,2.26,0.05,,0,,2,
4,J. Dumalig (Fr),14,13.6,1.4,1.1,0.1,1.2,1,0.8,0,1.5,0.4,191,20,9,24,38,0.8,40,1,7,14,1,10,10,8,17,47,2,15,17,14,11,0,21,5,2,15,17,14,11,0,21,5,0.67,0.52,2.2,0,,0,,,
10,H. Phipps (Sr),24,16.7,3.3,3,2.5,5.5,0.4,0.8,0.3,1.5,1.2,401,78,36,87,41,0.9,41,0,0,0,6,41,15,36,87,41,59,73,132,9,18,6,36,28,59,73,132,9,18,6,36,28,0.25,0.5,0.64,0.21,,0,,,
13,A. Dowsett (Jr),23,15.2,7.7,2,1.7,3.7,1.3,1.3,0.3,2,2.2,350,177,78,181,43,1,43,0,7,0,21,35,60,78,174,45,39,46,85,30,31,6,46,51,39,46,85,30,31,6,46,51,0.65,0.67,0.61,0.12,,0,,,
15,J. Francis (Fr),1,7,0,1,0,1,0,1,0,1,0,7,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,,0,,,
22,A. Motamed-Zaman (So),17,8.6,0.6,1.3,0.2,1.5,0.5,0.3,0.2,0.8,0.6,146,10,4,15,27,0.7,27,0,3,0,2,4,50,4,12,33,3,22,25,9,5,3,13,11,3,22,25,9,5,3,13,11,0.69,0.39,0.46,0.27,,0,,,
23,M. Salah (Sr),24,21.3,9.2,2.9,1.4,4.3,2.9,1.8,0.7,3.3,1.7,511,220,96,206,47,1.1,48,5,21,24,23,33,70,91,185,49,34,69,103,70,42,17,79,40,34,69,103,70,42,17,79,40,0.89,0.53,1.05,0.43,,0,,,
24,J. Taylor (Sr),14,5.1,0.4,0.2,0.2,0.4,0.1,0.1,0,0.5,0.3,71,5,2,15,13,0.3,17,1,10,10,0,4,0,1,5,20,3,3,6,1,2,0,7,4,3,3,6,1,2,0,7,4,0.14,0.29,0.5,0,,0,,,
30,C. Mills (So),23,9.9,1.1,1.6,0.4,2,0.4,0.7,0.3,1.2,0.9,227,25,11,39,28,0.6,31,2,2,100,1,4,25,9,37,24,10,37,47,9,15,7,27,21,10,37,47,9,15,7,27,21,0.33,0.56,0.71,0.33,,0,,,
32,J. Mengarelli (Sr),24,22.1,6.1,2.3,0.5,2.8,2,1,0.3,2,1.6,531,146,57,158,36,0.9,44,25,84,30,7,16,44,32,74,43,11,55,66,47,25,6,49,38,11,55,66,47,25,6,49,38,0.96,0.51,0.66,0.16,,0,,,
44,D. Shields (Fr),23,12,2.1,1.9,1.1,3,0.2,0.4,0,1.1,0.8,276,48,22,74,30,0.6,30,1,12,8,3,7,43,21,62,34,25,44,69,4,9,1,25,19,25,44,69,4,9,1,25,19,0.16,0.36,0.47,0.05,,0,,,
45,K. McGraw (So),24,24.5,18.2,5.5,3.3,8.8,1.9,4.3,2,2.1,1.9,588,436,169,305,55,1.4,64,50,125,40,48,85,56,119,180,66,80,132,212,45,102,48,51,46,80,132,212,45,102,48,51,46,0.88,2,2.22,1.04,,0,,9,
