#,Athlete Name,GP,MPG,PPG,DEFR,OFFR,RPG,APG,SPG,BPG,TPG,PFPG,Min,Pts,FGM,FGA,FG%,PPS,AFG%,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,Chr,Defl,TF,DD,TD,Pts/32,Ast/32,Reb/32,Stl/32,Blk/32,TO/32,PF/32
2,A. Sze (Jr),18,9.4,0.7,0.7,0.3,1,0.8,1,0.1,1.9,0.8,169,13,5,31,16,0.4,16,0,0,0,3,4,75,5,31,16,5,13,18,15,18,1,34,14,0.44,0.53,1.29,0.07,,0,,,,2.5,2.8,3.4,3.4,0.2,6.4,2.7
4,J. Dumalig (So),19,24.6,4.9,1,0.3,1.3,2.2,1.2,0.1,2.6,0.8,467,93,32,92,35,1,42,13,43,30,16,24,67,19,49,39,6,19,25,41,22,2,50,15,0.82,0.44,1.47,0.13,,0,,,,6.4,2.8,1.7,1.5,0.1,3.4,1
11,S. Wang (So),14,5.1,0.4,0.3,0.5,0.8,0.1,0.1,0,0.4,0.4,71,6,3,13,23,0.5,23,0,2,0,0,0,0,3,11,27,7,4,11,2,2,0,6,5,0.33,0.33,0.4,0,,0,,,,2.7,0.9,5,0.9,0,2.7,2.3
13,E. Dowsett (Sr),20,16.8,6,2.1,2,4.1,0.9,1.7,0.3,2.4,2,335,120,47,154,31,0.8,31,0,5,0,26,47,55,47,149,32,40,41,81,17,34,6,47,40,0.36,0.72,0.85,0.15,,0,,,,11.5,1.6,7.7,3.2,0.6,4.5,3.8
15,J. Francis (So),8,4.9,0.5,0.5,0.4,0.9,0.1,0,0,0.6,0.3,39,4,2,2,100,2,100,0,0,0,0,1,0,2,2,100,3,4,7,1,0,0,5,2,0.2,0,0,0,,0,,,,3.3,0.8,5.7,0,0,4.1,1.6
22,A. Motamed-Zaman (Jr),17,10,0.6,0.9,0.4,1.3,0.7,0.4,0.1,1.4,1.4,170,10,3,13,23,0.8,23,0,3,0,4,12,33,3,10,30,6,16,22,12,7,1,23,23,0.52,0.3,0.3,0.04,,0,,,,1.9,2.3,4.1,1.3,0.2,4.3,4.3
23,J. Brasesco (So),20,13.4,2.5,1.8,1.2,3,0.3,0.5,0.1,1.5,1.4,267,50,21,61,34,0.8,34,0,1,0,8,20,40,21,60,35,23,36,59,5,9,1,29,28,0.17,0.31,0.32,0.04,,0,,1,,6,0.6,7.1,1.1,0.1,3.5,3.4
24,T. Frank (Jr),15,7.2,0.9,0.8,0.3,1.1,0.1,0.2,0.1,1.1,0.3,108,14,6,18,33,0.8,33,0,0,0,2,6,33,6,18,33,4,12,16,2,3,2,16,4,0.13,0.19,0.75,0.5,,0,,,,4.1,0.6,4.7,0.9,0.6,4.7,1.2
30,C. Mills (Jr),18,21.5,2.7,2.2,1.5,3.7,1.4,1.2,0.6,1.4,2.3,387,49,21,76,28,0.6,28,0,4,0,7,14,50,21,72,29,27,40,67,25,22,10,26,42,0.96,0.85,0.52,0.24,,0,,,,4.1,2.1,5.5,1.8,0.8,2.2,3.5
32,T. Golob (Fr),13,13,2.5,2.1,1.4,3.5,0.2,0.5,0.2,0.8,1.6,169,32,14,39,36,0.8,36,0,0,0,4,12,33,14,39,36,18,27,45,3,6,3,11,21,0.27,0.55,0.29,0.14,,0,,,,6.1,0.6,8.5,1.1,0.6,2.1,4
44,D. Shields (So),19,23.2,9.4,4.4,1.1,5.4,2.1,1.6,0.3,3.2,1.7,440,179,59,179,33,1,40,25,88,28,36,63,57,34,91,37,20,83,103,40,31,5,61,33,0.66,0.51,0.94,0.15,,0,,1,,13,2.9,7.5,2.3,0.4,4.4,2.4
45,K. McGraw (Jr),20,27.6,21,6.5,2.9,9.4,2.2,5.2,3.7,2.7,2.2,552,420,158,312,51,1.3,56,34,100,34,70,96,73,124,212,58,58,130,188,44,103,73,54,44,0.82,1.91,2.34,1.66,,0,,7,1,24.3,2.6,10.9,6,4.2,3.1,2.6
