#,Name,Year,GP,MPG,PPG,DEFR,OFFR,RPG,APG,SPG,BPG,TPG,PFPG,Min,FGM,FGA,FG%,PPS,AFG%,Pts,3PM,3PA,3P%,FTM,FTA,FT%,2FGM,2FGA,2FG%,2FG%,OReb,DReb,Reb,Ast,Stl,Blk,TO,PF,Ast:TO,Stl:TO,Stl:PF,Blk:PF,DD,Pts/32,Ast/32,Reb/32,Stl/32,Blk/32,TO/32,PF/32
1,Connor McGraw,Freshman,25,22.6,8.6,1.4,1.2,2.7,3.4,3.2,0.1,2.8,2,566,84,216,39,1,44,215,20,72,28,27,55,49,64,144,44,44,31,36,67,84,79,3,70,49,1.2,1.13,1.61,0.06,0,12.2,4.7,3.8,4.5,0.2,4,2.8
3,Alex Cocquyt,Freshman,23,9.8,1.2,0.8,0.9,1.7,0.3,0.7,0,0.8,0.4,226,13,44,30,0.6,30,28,0,4,0,2,6,33,13,40,33,33,20,18,38,7,16,0,18,10,0.39,0.89,1.6,0,0,4,1,5.4,2.3,0,2.5,1.4
4,Jeremy Dumalig,Junior,27,24.3,7,1.4,0.7,2.1,2.5,2.2,0.1,2,0.8,657,63,138,46,1.4,56,190,29,71,41,35,44,80,34,67,51,51,19,37,56,68,59,4,55,22,1.24,1.07,2.68,0.18,0,9.3,3.3,2.7,2.9,0.2,2.7,1.1
11,Stanley Wang,Junior,20,6.9,0.8,0.5,0.1,0.6,0.6,0.6,0,0.6,0.5,137,6,25,24,0.6,24,15,0,6,0,3,5,60,6,19,32,32,2,10,12,12,12,0,11,9,1.09,1.09,1.33,0,0,3.5,2.8,2.8,2.8,0,2.6,2.1
12,Ethan Fong,Junior,21,7.1,2.2,0.9,0.4,1.3,0.3,0.6,0,1,0.6,150,23,46,50,1,51,47,1,6,17,0,3,0,22,40,55,55,8,19,27,7,13,0,20,13,0.35,0.65,1,0,0,10,1.5,5.8,2.8,0,4.3,2.8
13,James Tilson,Sophomore,24,12.1,3.3,1.2,0.5,1.7,0.6,1,0,1.4,0.8,290,27,102,26,0.8,33,78,13,56,23,11,16,69,14,46,30,30,11,29,40,14,24,1,34,20,0.41,0.71,1.2,0.05,0,8.6,1.5,4.4,2.6,0.1,3.8,2.2
15,Josh Francis,Junior,19,7.6,1.5,1,0.6,1.6,0.4,0.3,0.2,0.5,0.2,145,13,31,42,0.9,42,28,0,0,0,2,3,67,13,31,42,42,11,19,30,7,6,4,9,3,0.78,0.67,2,1.33,0,6.2,1.5,6.6,1.3,0.9,2,0.7
23,Jack Brasesco,Junior,24,14.8,3.2,1.7,1.3,3,0.5,0.7,0.3,0.9,1.6,355,33,83,40,0.9,41,77,2,3,67,9,20,45,31,80,39,39,30,41,71,11,17,7,22,38,0.5,0.77,0.45,0.18,0,6.9,1,6.4,1.5,0.6,2,3.4
30,Cooper Mills,Senior,23,19.3,5.6,2.5,1.4,3.9,1.1,0.9,0.7,1.7,1.7,444,60,139,43,0.9,43,129,0,1,0,9,16,56,60,138,43,43,32,57,89,26,20,16,39,38,0.67,0.51,0.53,0.42,0,9.3,1.9,6.4,1.4,1.2,2.8,2.7
35,Trevor Golob,Sophomore,28,14,2.7,2.4,1.9,4.4,0.5,0.6,0.3,1.3,2,393,33,116,28,0.7,28,76,0,2,0,10,23,43,33,114,29,29,54,68,122,15,18,9,36,56,0.42,0.5,0.32,0.16,0,6.2,1.2,9.9,1.5,0.7,2.9,4.6
44,David Shields,Junior,23,18.2,8.2,4.7,1.7,6.3,1,1.5,0.5,2.2,1.6,419,61,190,32,1,37,189,18,81,22,49,72,68,43,109,39,39,38,108,146,24,34,11,50,36,0.48,0.68,0.94,0.31,1,14.4,1.8,11.2,2.6,0.8,3.8,2.7
45,Kyle McGraw,Senior,27,25.4,16.6,6.6,2.2,8.7,2.5,4.4,2.6,1.7,2,686,178,396,45,1.1,52,449,58,188,31,35,42,83,120,208,58,58,59,177,236,67,120,71,46,53,1.46,2.61,2.26,1.34,11,20.9,3.1,11,5.6,3.3,2.1,2.5
