 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
1,Trae Young,ATL,24,1,1,0,12.0,15,5,9,55.6,1,2,50.0,4,4,100,1,1,2,1,0,0,0,0,19,0,0,1,
2,Norman Powell,LAC,29,1,0,1,12.0,13,5,8,62.5,2,4,50.0,1,1,100,0,1,1,2,0,0,0,2,17,0,0,4,
3,Anthony Edwards,MIN,21,1,0,1,11.8,11,2,5,40.0,1,3,33.3,6,6,100,0,3,3,1,2,0,0,1,14,0,0,-6,
3,Devin Booker,PHX,26,1,1,0,12.0,11,5,9,55.6,0,3,0.0,1,1,100,0,1,1,0,0,0,2,0,18,0,0,-4,
5,Tyrese Maxey,PHI,22,1,1,0,12.0,10,4,7,57.1,2,3,66.7,0,0,0.0,0,1,1,2,0,1,0,2,17,0,0,11,
6,Bones Hyland,LAC,22,1,0,1,12.0,9,3,6,50.0,0,1,0.0,3,4,75.0,0,0,0,0,0,1,0,2,12,0,0,4,
6,Marcus Smart,BOS,29,1,0,1,8.1,9,4,8,50.0,1,5,20.0,0,0,0.0,0,1,1,2,0,1,0,0,16,0,0,-8,
8,Al Horford,BOS,36,1,0,1,8.6,8,3,4,75.0,2,3,66.7,0,0,0.0,0,0,0,0,0,0,0,0,8,0,0,-4,
8,Michael Porter Jr.,DEN,24,1,1,0,12.0,8,3,5,60.0,2,3,66.7,0,0,0.0,0,3,3,1,0,1,1,1,19,0,0,3,
8,Obi Toppin,NYK,25,1,1,0,9.8,8,3,6,50.0,1,3,33.3,1,1,100,1,1,2,1,1,3,1,1,23,0,0,-1,
8,Stephen Curry,GSW,35,1,1,0,9.5,8,3,7,42.9,2,4,50.0,0,0,0.0,1,1,2,1,0,0,0,1,12,0,0,10,
12,Dejounte Murray,ATL,26,1,1,0,10.8,7,3,5,60.0,1,1,100,0,0,0.0,0,0,0,0,1,1,0,0,9,0,0,5,
12,Klay Thompson,GSW,33,1,1,0,6.6,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,0,1,0,0,0,7,0,0,4,
14,Caris LeVert,CLE,28,1,0,1,8.3,6,3,6,50.0,0,3,0.0,0,0,0.0,1,0,1,0,1,0,0,1,6,0,0,-9,
14,Christian Braun,DEN,22,1,1,0,5.5,6,3,3,100,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,2,7,0,0,1,
14,Harrison Barnes,SAC,30,1,0,1,9.0,6,2,2,100,2,2,100,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,-9,
14,Jayson Tatum,BOS,25,1,0,1,9.8,6,2,6,33.3,0,3,0.0,2,3,66.7,1,2,3,2,1,0,0,1,12,1,0,0,
14,Jonathan Kuminga,GSW,20,1,1,0,9.3,6,3,5,60.0,0,1,0.0,0,0,0.0,1,0,1,1,0,1,0,1,12,0,0,2,
14,Kevin Durant,PHX,34,1,1,0,9.2,6,1,4,25.0,0,1,0.0,4,4,100,0,1,1,2,1,0,0,0,9,0,0,-8,
14,Russell Westbrook,LAC,34,1,0,1,9.4,6,2,5,40.0,0,0,0.0,2,2,100,0,4,4,2,1,1,0,1,16,1,0,8,
21,Damion Lee,PHX,30,1,1,0,3.8,5,1,1,100,1,1,100,2,2,100,0,0,0,0,0,0,0,1,5,0,0,0,
