PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Cameron Johnson,BKN,27,1,0,1,7.8,3,1,3,33.3,0,1,0.0,1,1,100,0,0,0,0,0,1,0,0,6,1,0,-7,-7
Joe Harris,BKN,31,1,0,1,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,-2,-2
Mikal Bridges,BKN,26,1,0,1,12.0,12,4,10,40.0,2,4,50.0,2,4,50.0,0,2,2,1,0,0,0,2,16,0,0,-5,-5
Nic Claxton,BKN,24,1,0,1,11.3,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,8,1,0,-5,-5
Royce O'Neale,BKN,29,1,0,1,11.7,3,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,1,0,1,0,0,8,0,0,-2,-2
Seth Curry,BKN,32,1,0,1,5.2,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-1,-1
Spencer Dinwiddie,BKN,30,1,0,1,10.2,3,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,1,1,8,0,0,-3,-3
Bones Hyland,LAC,22,1,0,1,9.4,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,2,0,1,0,1,9,0,0,-4,-4
Eric Gordon,LAC,34,1,0,1,7.3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,-3,-3
Ivica Zubac,LAC,26,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,-2
Marcus Morris Sr.,LAC,33,1,0,1,4.2,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3,0,0,-4,-4
Mason Plumlee,LAC,33,1,0,1,6.9,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,3,0,0,-1,-1
Norman Powell,LAC,29,1,0,1,6.1,0,0,2,0.0,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,1,1,0,0,-3,-3
Robert Covington,LAC,32,1,0,1,3.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,3,0,0,-3,-3
