,Pair,Name,Count,sort,Type
22,22,Kevin Huerter,11,1,Scorer
22,22,Domantas Sabonis,11,0,Assister
15,15,De'Aaron Fox,10,0,Assister
21,21,Keegan Murray,10,1,Scorer
15,15,Malik Monk,10,1,Scorer
11,11,De'Aaron Fox,10,0,Assister
21,21,Domantas Sabonis,10,0,Assister
11,11,Domantas Sabonis,10,1,Scorer
42,42,Malik Monk,10,0,Assister
42,42,Domantas Sabonis,10,1,Scorer
17,17,Trey Lyles,9,1,Scorer
17,17,De'Aaron Fox,9,0,Assister
12,12,Harrison Barnes,9,1,Scorer
12,12,De'Aaron Fox,9,0,Assister
14,14,Kevin Huerter,6,1,Scorer
14,14,De'Aaron Fox,6,0,Assister
13,13,Keegan Murray,5,1,Scorer
13,13,De'Aaron Fox,5,0,Assister
41,41,De'Aaron Fox,4,1,Scorer
19,19,De'Aaron Fox,4,1,Scorer
41,41,Malik Monk,4,0,Assister
19,19,Domantas Sabonis,4,0,Assister
39,39,Alex Len,4,1,Scorer
39,39,Malik Monk,4,0,Assister
10,10,Davion Mitchell,3,1,Scorer
26,26,Harrison Barnes,3,0,Assister
46,46,Trey Lyles,3,1,Scorer
10,10,De'Aaron Fox,3,0,Assister
26,26,De'Aaron Fox,3,1,Scorer
46,46,Malik Monk,3,0,Assister
1,1,Davion Mitchell,2,0,Assister
20,20,Domantas Sabonis,2,0,Assister
29,29,Keegan Murray,2,0,Assister
23,23,Malik Monk,2,1,Scorer
23,23,Domantas Sabonis,2,0,Assister
29,29,Davion Mitchell,2,1,Scorer
3,3,Davion Mitchell,2,0,Assister
3,3,Harrison Barnes,2,1,Scorer
40,40,Malik Monk,2,0,Assister
1,1,De'Aaron Fox,2,1,Scorer
20,20,Harrison Barnes,2,1,Scorer
52,52,De'Aaron Fox,2,1,Scorer
30,30,Domantas Sabonis,2,1,Scorer
49,49,Malik Monk,2,1,Scorer
50,50,Terence Davis,2,0,Assister
50,50,PJ Dozier,2,1,Scorer
35,35,Kevin Huerter,2,0,Assister
7,7,Terence Davis,2,1,Scorer
52,52,Trey Lyles,2,0,Assister
7,7,Davion Mitchell,2,0,Assister
6,6,Malik Monk,2,1,Scorer
49,49,Terence Davis,2,0,Assister
40,40,Davion Mitchell,2,1,Scorer
6,6,Davion Mitchell,2,0,Assister
35,35,Domantas Sabonis,2,1,Scorer
18,18,Domantas Sabonis,2,0,Assister
18,18,Davion Mitchell,2,1,Scorer
30,30,Keegan Murray,2,0,Assister
43,43,Malik Monk,1,0,Assister
43,43,Harrison Barnes,1,1,Scorer
44,44,Malik Monk,1,0,Assister
0,0,Alex Len,1,0,Assister
44,44,Keegan Murray,1,1,Scorer
45,45,Malik Monk,1,0,Assister
45,45,Kevin Huerter,1,1,Scorer
47,47,Terence Davis,1,0,Assister
47,47,De'Aaron Fox,1,1,Scorer
48,48,Terence Davis,1,0,Assister
38,38,Kevin Huerter,1,0,Assister
48,48,Domantas Sabonis,1,1,Scorer
51,51,Trey Lyles,1,0,Assister
51,51,Davion Mitchell,1,1,Scorer
53,53,Trey Lyles,1,0,Assister
53,53,Kevin Huerter,1,1,Scorer
54,54,Trey Lyles,1,0,Assister
38,38,Malik Monk,1,1,Scorer
27,27,Keegan Murray,1,1,Scorer
37,37,Keegan Murray,1,1,Scorer
25,25,Domantas Sabonis,1,0,Assister
2,2,Davion Mitchell,1,0,Assister
2,2,Domantas Sabonis,1,1,Scorer
4,4,Davion Mitchell,1,0,Assister
4,4,Keegan Murray,1,1,Scorer
5,5,Davion Mitchell,1,0,Assister
5,5,Kevin Huerter,1,1,Scorer
8,8,Davion Mitchell,1,0,Assister
8,8,Trey Lyles,1,1,Scorer
9,9,De'Aaron Fox,1,0,Assister
9,9,Alex Len,1,1,Scorer
16,16,De'Aaron Fox,1,0,Assister
16,16,Terence Davis,1,1,Scorer
24,24,Domantas Sabonis,1,0,Assister
24,24,Terence Davis,1,1,Scorer
25,25,Trey Lyles,1,1,Scorer
37,37,Kevin Huerter,1,0,Assister
27,27,Harrison Barnes,1,0,Assister
0,0,Davion Mitchell,1,1,Scorer
28,28,Harrison Barnes,1,0,Assister
28,28,Kevin Huerter,1,1,Scorer
31,31,Keegan Murray,1,0,Assister
31,31,Kevin Huerter,1,1,Scorer
32,32,Kevin Huerter,1,0,Assister
32,32,Alex Len,1,1,Scorer
33,33,Kevin Huerter,1,0,Assister
33,33,Davion Mitchell,1,1,Scorer
34,34,Kevin Huerter,1,0,Assister
34,34,De'Aaron Fox,1,1,Scorer
36,36,Kevin Huerter,1,0,Assister
36,36,Harrison Barnes,1,1,Scorer
54,54,Malik Monk,1,1,Scorer
