PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Keegan Murray,,,1,,,,0,0,2,,0,2,,0,0,,,,,,,,,,,,,
De'Aaron Fox,,,1,,,,7,2,4,,1,2,,2,2,,,,,,,,,,,,,
Kevin Huerter,,,1,,,,6,2,3,,2,3,,0,0,,,,,,,,,,,,,
Domantas Sabonis,,,1,,,,0,0,2,,0,0,,0,0,,,,,,,,,,,,,
Harrison Barnes,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Monk,,,1,,,,8,2,3,,0,1,,4,4,,,,,,,,,,,,,
Trey Lyles,,,1,,,,3,1,2,,1,2,,0,0,,,,,,,,,,,,,
Terence Davis,,,1,,,,2,0,0,,0,0,,2,2,,,,,,,,,,,,,
Davion Mitchell,,,1,,,,2,1,4,,0,1,,0,0,,,,,,,,,,,,,
Kessler Edwards,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
PJ Dozier,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Alex Len,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Chimezie Metu,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Stephen Curry,,,1,,,,11,4,8,,2,4,,1,2,,,,,,,,,,,,,
Klay Thompson,,,1,,,,0,0,2,,0,2,,0,0,,,,,,,,,,,,,
Andrew Wiggins,,,1,,,,3,1,1,,0,0,,1,4,,,,,,,,,,,,,
Kevon Looney,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Jordan Poole,,,1,,,,1,0,2,,0,0,,1,2,,,,,,,,,,,,,
Draymond Green,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Donte DiVincenzo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Moses Moody,,,1,,,,4,1,4,,0,1,,2,2,,,,,,,,,,,,,
Gary Payton II,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
JaMychal Green,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Jonathan Kuminga,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
Anthony Lamb,,,1,,,,0,0,0,,0,0,,0,0,,,,,,,,,,,,,
