PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Draymond Green,GSW,GSW @ LAL,05/12/2023,L,24,9,4,8,50.0,1,3,33.3,0,0,-,4,5,9,3,0,1,2,5,-26,25.3
Kevin Love,MIA,MIA vs. NYK,05/12/2023,W,16,3,1,1,100,1,1,100,0,0,-,0,3,3,1,0,0,0,2,-4,8.1
Cody Zeller,MIA,MIA vs. NYK,05/12/2023,W,9,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,1,2,10,2.9
Julius Randle,NYK,NYK @ MIA,05/12/2023,L,36,15,3,14,21.4,1,7,14.3,8,9,88.9,2,9,11,3,0,2,3,2,3,35.7
Mitchell Robinson,NYK,NYK @ MIA,05/12/2023,L,29,2,0,2,0.0,0,0,-,2,2,100,5,6,11,1,0,1,0,2,-2,19.7
Gabe Vincent,MIA,MIA vs. NYK,05/12/2023,W,31,7,3,8,37.5,1,5,20.0,0,0,-,1,2,3,5,1,0,2,4,11,19.1
Max Strus,MIA,MIA vs. NYK,05/12/2023,W,34,14,4,11,36.4,1,6,16.7,5,6,83.3,0,6,6,3,0,0,0,1,1,25.7
Quentin Grimes,NYK,NYK @ MIA,05/12/2023,L,32,3,1,6,16.7,1,6,16.7,0,0,-,0,2,2,3,0,0,1,1,3,8.9
Miles McBride,NYK,NYK @ MIA,05/12/2023,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,-7,3.0
Kyle Lowry,MIA,MIA vs. NYK,05/12/2023,W,31,11,4,6,66.7,1,2,50.0,2,2,100,2,2,4,9,3,1,1,4,0,40.3
Jimmy Butler,MIA,MIA vs. NYK,05/12/2023,W,41,24,7,22,31.8,0,3,0.0,10,11,90.9,1,7,8,4,0,0,0,2,0,39.6
Bam Adebayo,MIA,MIA vs. NYK,05/12/2023,W,39,23,9,20,45.0,0,0,-,5,5,100,3,6,9,1,2,1,2,3,-6,42.3
Isaiah Hartenstein,NYK,NYK @ MIA,05/12/2023,L,18,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,1,4,0,3,-4,18.2
Josh Hart,NYK,NYK @ MIA,05/12/2023,L,33,11,5,10,50.0,1,4,25.0,0,0,-,1,6,7,1,1,1,2,5,-4,24.9
Jalen Brunson,NYK,NYK @ MIA,05/12/2023,L,45,41,14,22,63.6,5,10,50.0,8,9,88.9,0,4,4,3,0,0,3,4,3,47.3
Caleb Martin,MIA,MIA vs. NYK,05/12/2023,W,24,8,3,7,42.9,1,3,33.3,1,1,100,0,5,5,1,1,0,1,3,5,17.5
Duncan Robinson,MIA,MIA vs. NYK,05/12/2023,W,14,6,2,7,28.6,2,7,28.6,0,0,-,0,0,0,0,1,0,0,1,3,9.0
RJ Barrett,NYK,NYK @ MIA,05/12/2023,L,32,11,1,10,10.0,0,3,0.0,9,10,90.0,0,2,2,1,0,0,3,5,-5,11.9
Obi Toppin,NYK,NYK @ MIA,05/12/2023,L,12,7,2,5,40.0,2,5,40.0,1,2,50.0,0,3,3,1,0,0,0,0,-7,12.1
Stephen Curry,GSW,GSW @ LAL,05/12/2023,L,39,32,11,28,39.3,4,14,28.6,6,6,100,1,5,6,5,1,1,4,3,-21,48.7
Tristan Thompson,LAL,LAL vs. GSW,05/12/2023,W,4,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,-1,2.4
Dennis Schroder,LAL,LAL vs. GSW,05/12/2023,W,25,3,1,6,16.7,1,2,50.0,0,0,-,0,2,2,5,0,1,0,4,16,15.9
Kevon Looney,GSW,GSW @ LAL,05/12/2023,L,26,9,4,7,57.1,0,0,-,1,1,100,8,10,18,2,0,0,1,3,4,32.6
Moses Moody,GSW,GSW @ LAL,05/12/2023,L,15,6,2,5,40.0,2,3,66.7,0,0,-,1,4,5,1,0,0,0,1,10,13.5
Jordan Poole,GSW,GSW @ LAL,05/12/2023,L,23,7,3,10,30.0,0,3,0.0,1,1,100,0,0,0,4,0,0,1,4,1,12.0
