,Pair,Name,Count,sort,Type
22,22,Stephen Curry,15,1,Scorer
22,22,Draymond Green,15,0,Assister
14,14,Andrew Wiggins,12,1,Scorer
14,14,Draymond Green,12,0,Assister
58,58,Stephen Curry,9,0,Assister
32,32,Andrew Wiggins,9,1,Scorer
32,32,Kevon Looney,9,0,Assister
58,58,Klay Thompson,9,1,Scorer
38,38,Klay Thompson,8,1,Scorer
38,38,Kevon Looney,8,0,Assister
54,54,Stephen Curry,7,0,Assister
52,52,Stephen Curry,7,0,Assister
52,52,Andrew Wiggins,7,1,Scorer
54,54,Draymond Green,7,1,Scorer
20,20,Draymond Green,6,0,Assister
20,20,Klay Thompson,6,1,Scorer
31,31,Jordan Poole,6,0,Assister
31,31,Stephen Curry,6,1,Scorer
56,56,Stephen Curry,5,0,Assister
29,29,Kevon Looney,5,1,Scorer
56,56,Jordan Poole,5,1,Scorer
13,13,Donte DiVincenzo,5,0,Assister
13,13,Stephen Curry,5,1,Scorer
29,29,Jordan Poole,5,0,Assister
40,40,Kevon Looney,4,0,Assister
26,26,Andrew Wiggins,4,1,Scorer
26,26,Jordan Poole,4,0,Assister
46,46,Klay Thompson,4,0,Assister
40,40,Stephen Curry,4,1,Scorer
46,46,Kevon Looney,4,1,Scorer
7,7,Donte DiVincenzo,4,0,Assister
7,7,Draymond Green,4,1,Scorer
11,11,Klay Thompson,4,1,Scorer
11,11,Donte DiVincenzo,4,0,Assister
15,15,Draymond Green,3,0,Assister
23,23,Stephen Curry,3,1,Scorer
44,44,Gary Payton II,3,1,Scorer
44,44,Klay Thompson,3,0,Assister
3,3,Andrew Wiggins,3,0,Assister
3,3,Klay Thompson,3,1,Scorer
37,37,Jordan Poole,3,1,Scorer
37,37,Kevon Looney,3,0,Assister
30,30,Klay Thompson,3,1,Scorer
15,15,Donte DiVincenzo,3,1,Scorer
10,10,Donte DiVincenzo,3,0,Assister
10,10,Jordan Poole,3,1,Scorer
30,30,Jordan Poole,3,0,Assister
23,23,Gary Payton II,3,0,Assister
16,16,Gary Payton II,3,1,Scorer
17,17,Jonathan Kuminga,3,1,Scorer
17,17,Draymond Green,3,0,Assister
16,16,Draymond Green,3,0,Assister
47,47,Klay Thompson,2,0,Assister
47,47,Moses Moody,2,1,Scorer
41,41,Andrew Wiggins,2,1,Scorer
41,41,Klay Thompson,2,0,Assister
6,6,Donte DiVincenzo,2,0,Assister
18,18,Draymond Green,2,0,Assister
18,18,Jordan Poole,2,1,Scorer
35,35,Gary Payton II,2,1,Scorer
35,35,Kevon Looney,2,0,Assister
55,55,Stephen Curry,2,0,Assister
5,5,Andrew Wiggins,2,0,Assister
5,5,Stephen Curry,2,1,Scorer
53,53,Stephen Curry,2,0,Assister
6,6,Andrew Wiggins,2,1,Scorer
8,8,Gary Payton II,2,1,Scorer
19,19,Draymond Green,2,0,Assister
53,53,Donte DiVincenzo,2,1,Scorer
28,28,Jordan Poole,2,0,Assister
28,28,Draymond Green,2,1,Scorer
8,8,Donte DiVincenzo,2,0,Assister
21,21,Draymond Green,2,0,Assister
25,25,Stephen Curry,2,1,Scorer
12,12,Donte DiVincenzo,2,0,Assister
12,12,Moses Moody,2,1,Scorer
19,19,Kevon Looney,2,1,Scorer
25,25,Jonathan Kuminga,2,0,Assister
21,21,Moses Moody,2,1,Scorer
55,55,Gary Payton II,2,1,Scorer
48,48,Klay Thompson,1,0,Assister
48,48,Stephen Curry,1,1,Scorer
49,49,Draymond Green,1,1,Scorer
59,59,Stephen Curry,1,0,Assister
57,57,Kevon Looney,1,1,Scorer
49,49,Moses Moody,1,0,Assister
50,50,Moses Moody,1,0,Assister
50,50,Gary Payton II,1,1,Scorer
51,51,Stephen Curry,1,1,Scorer
57,57,Stephen Curry,1,0,Assister
51,51,Moses Moody,1,0,Assister
0,0,Andrew Wiggins,1,0,Assister
45,45,Jordan Poole,1,1,Scorer
45,45,Klay Thompson,1,0,Assister
1,1,Andrew Wiggins,1,0,Assister
1,1,Jordan Poole,1,1,Scorer
2,2,Andrew Wiggins,1,0,Assister
2,2,Kevon Looney,1,1,Scorer
4,4,Andrew Wiggins,1,0,Assister
4,4,Moses Moody,1,1,Scorer
9,9,Donte DiVincenzo,1,0,Assister
9,9,Jonathan Kuminga,1,1,Scorer
24,24,JaMychal Green,1,0,Assister
24,24,Moses Moody,1,1,Scorer
27,27,Jordan Poole,1,0,Assister
27,27,Donte DiVincenzo,1,1,Scorer
0,0,Draymond Green,1,1,Scorer
33,33,Kevon Looney,1,0,Assister
33,33,Donte DiVincenzo,1,1,Scorer
34,34,Kevon Looney,1,0,Assister
34,34,Draymond Green,1,1,Scorer
36,36,Kevon Looney,1,0,Assister
36,36,Jonathan Kuminga,1,1,Scorer
39,39,Kevon Looney,1,0,Assister
39,39,Moses Moody,1,1,Scorer
42,42,Klay Thompson,1,0,Assister
42,42,Donte DiVincenzo,1,1,Scorer
43,43,Klay Thompson,1,0,Assister
43,43,Draymond Green,1,1,Scorer
59,59,Moses Moody,1,1,Scorer
