Rk,Player,Pos
1,James Harden,PG
2,Stephen Curry,PG
3,Paul George,SF
4,Buddy Hield,SG
5,Kemba Walker,PG
6,Klay Thompson,SG
7,J.J. Redick,SG
8,Damian Lillard,PG
9,D'Angelo Russell,PG
10,Terrence Ross,SG
11,Eric Gordon,SG
12,Bradley Beal,SG
13,Danny Green,SG
14,Blake Griffin,PF
15,Joe Ingles,PF
16,Donovan Mitchell,SG
17,Brook Lopez,C
18,Joe Harris,SG
19,Khris Middleton,SF
20,Bryn Forbes,SG
21,Harrison Barnes,PF-SF
22,Reggie Jackson,PG
23,Kyrie Irving,PG
24,Jae Crowder,SF
25,Luka Doncic,SG
26,CJ McCollum,SG
27,Landry Shamet,SG
28,Bojan Bogdanovic,SF
29,Josh Richardson,SG
30,Malik Beasley,SG
31,Justin Holiday,SG
32,Tim Hardaway,SG
33,Danilo Gallinari,SF
34,Patty Mills,PG
35,Kyle Lowry,PG
36,Tobias Harris,PF
37,Trae Young,PG
38,Gerald Green,SG
39,Mike Conley,PG
40,Evan Fournier,SG
41,Jamal Murray,PG
42,Kentavious Caldwell-Pope,SG
43,Wesley Matthews,SF-SG
44,Reggie Bullock,SG
45,Marco Belinelli,SG
46,P.J. Tucker,PF
47,Marcus Morris,PF
48,Trevor Ariza,SF
49,Davis Bertans,PF
50,Jordan Clarkson,SG
51,Karl-Anthony Towns,C
52,Marvin Williams,PF
53,Kyle Korver,SG-PF
54,Wayne Ellington,SG
55,Kevin Durant,PF
56,Kevin Huerter,SG
57,Devin Booker,SG
58,Langston Galloway,SG
59,Bogdan Bogdanovic,SG
60,Darius Miller,SF
61,D.J. Augustin,PG
62,Cedi Osman,SF
63,Kyle Kuzma,PF
64,Chris Paul,PG
65,Marcus Smart,SG
66,Damyean Dotson,SG
67,Kevin Knox,PF
68,Dennis Schroder,PG
69,Eric Bledsoe,PG
70,Spencer Dinwiddie,PG
71,Taurean Waller-Prince,SF
72,Vince Carter,SF
73,Aaron Gordon,PF
74,Zach LaVine,SG
75,Lauri Markkanen,PF
76,Russell Westbrook,PG
77,Collin Sexton,PG
78,Terry Rozier,PG
79,Andrew Wiggins,SF
80,Jrue Holiday,SG
81,Dario Saric,PF
82,Jayson Tatum,SF
83,Nicolas Batum,SF
84,Nikola Mirotic,PF
85,Jerami Grant,PF
86,Jeremy Lamb,SG
87,Kelly Olynyk,PF
88,Seth Curry,SG
89,Patrick Beverley,PG
90,Kawhi Leonard,SF
91,Fred VanVleet,PG
92,Jeff Green,PF
93,LeBron James,SF
94,Malik Monk,SG
95,Dion Waiters,SG
96,Kelly Oubre,SF
97,Terrance Ferguson,SG
98,DeMarre Carroll,PF
99,Luke Kennard,SG
100,Mikal Bridges,SF
101,Lou Williams,SG
102,Austin Rivers,SG
103,Malcolm Brogdon,SG
104,Otto Porter,SF
105,Nemanja Bjelica,PF
106,Mike Scott,PF
107,Marc Gasol,C
108,Allen Crabbe,SG
109,Al-Farouq Aminu,PF
110,Justise Winslow,SF
111,Kent Bazemore,SG
112,Jaylen Brown,SG
113,Iman Shumpert,SG
114,Monte Morris,PG
115,Josh Hart,SG
116,Garrett Temple,SG
117,Tyler Johnson,PG
118,Mike Muscala,PF
119,Justin Jackson,SF
120,De'Aaron Fox,PG
121,Jonathan Isaac,PF
122,Avery Bradley,SG
123,Dwyane Wade,SG
124,Robert Covington,SF
125,Nikola Vucevic,C
126,Rodney Hood,SG
127,Doug McDermott,SF
128,Nikola Jokic,C
129,Dewayne Dedmon,C
130,Gary Harris,SG
131,Ryan Arcidiacono,PG
132,Tony Snell,SF
133,Anthony Tolliver,PF
134,Quinn Cook,PG
135,Pascal Siakam,PF
136,Joel Embiid,C
137,Darren Collison,PG
138,Dorian Finney-Smith,SF
139,Ricky Rubio,PG
140,Rodney McGruder,SG
141,Gordon Hayward,PF
142,Maxi Kleber,PF
143,Tyreke Evans,SG
144,T.J. Warren,SF
145,Myles Turner,C
146,E'Twaun Moore,SG
147,Shabazz Napier,PG
148,Lonzo Ball,PG
149,Bobby Portis,PF
150,Rudy Gay,PF
151,Alex Len,C
152,Victor Oladipo,SG
153,Danuel House,SF
154,Troy Daniels,SG
155,Josh Jackson,SG
156,Al Horford,C
157,Lance Stephenson,SG
158,JaMychal Green,PF
159,Nik Stauskas,SG
160,Luke Kornet,PF
161,Emmanuel Mudiay,PG
162,Jonas Jerebko,PF
163,Royce O'Neale,SF
