Timestamp,What grade will you be in next fall?,10th Grade Representative  [Luca Lit],10th Grade Representative  [Elianna Kondylis],10th Grade Representative  [Lucie Lin],10th Grade Representative  [Colin Cham],11th Grade Representative [Cate Rose],11th Grade Representative [Yash Narayan],12th Grade Representative [Bayan Shimizu],12th Grade Representative [Alex Chen],12th Grade Representative [Alexander Rubenstein],12th Grade Representative [Amanda Wang],Arts Representative [Eli Smirin],Arts Representative [Matthew Sakiyama],Arts Representative [Tomo Greenberg],Arts Representative [Alyssa Liao],Campus Steward [Anahita Asudani],Campus Steward [Stephanie Liu],Campus Steward [Caroline Phipps],Campus Steward [Maya Avida],Equity and Inclusion Representative  [Fiona Tan],Equity and Inclusion Representative  [Maya Bodnick]
5/21/2020 12:13:55,11th,,,,,1st,2nd,,,,,1st,4th,2nd,3rd,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:15:50,12th,,,,,,,3rd,2nd,1st,,4th,2nd,1st,3rd,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:15:58,11th,,,,,1st,2nd,,,,,3rd,1st,2nd,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:16:02,11th,,,,,2nd,1st,,,,,4th,1st,2nd,3rd,1st,2nd,4th,3rd,2nd,1st
5/21/2020 12:21:46,11th,,,,,,1st,,,,,3rd,1st,2nd,4th,2nd,1st,4th,3rd,1st,2nd
5/21/2020 12:24:47,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:25:02,11th,,,,,2nd,1st,,,,,2nd,4th,1st,3rd,4th,2nd,1st,3rd,2nd,1st
5/21/2020 12:26:29,11th,,,,,1st,2nd,,,,,2nd,4th,3rd,1st,3rd,2nd,1st,4th,2nd,1st
5/21/2020 12:26:31,11th,,,,,1st,2nd,,,,,2nd,4th,3rd,1st,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:26:34,11th,,,,,2nd,1st,,,,,3rd,2nd,1st,4th,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:26:37,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,2nd,4th,1st,3rd,1st,2nd
5/21/2020 12:26:43,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:26:45,11th,,,,,1st,2nd,,,,,3rd,4th,1st,2nd,4th,2nd,1st,3rd,2nd,1st
5/21/2020 12:26:50,11th,,,,,2nd,1st,,,,,2nd,4th,3rd,1st,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:26:51,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:26:56,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,3rd,4th,2nd,1st,1st,2nd
5/21/2020 12:27:02,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:27:03,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,4th,3rd,2nd,1st,2nd,1st
5/21/2020 12:27:17,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,4th,1st,2nd,3rd,1st,2nd
5/21/2020 12:27:17,11th,,,,,1st,2nd,,,,,1st,4th,2nd,3rd,1st,3rd,4th,2nd,2nd,1st
5/21/2020 12:27:24,11th,,,,,2nd,1st,,,,,3rd,2nd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:27:25,11th,,,,,2nd,1st,,,,,2nd,3rd,1st,4th,2nd,3rd,1st,4th,2nd,1st
5/21/2020 12:27:35,11th,,,,,1st,2nd,,,,,3rd,4th,1st,2nd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:27:44,11th,,,,,1st,2nd,,,,,4th,1st,2nd,3rd,3rd,2nd,1st,4th,2nd,1st
5/21/2020 12:27:49,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,1st,3rd,2nd,4th,2nd,1st
5/21/2020 12:27:54,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,4th,3rd,1st,2nd,2nd,1st
5/21/2020 12:27:55,11th,,,,,1st,2nd,,,,,3rd,1st,4th,2nd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:27:55,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:27:56,11th,,,,,1st,2nd,,,,,1st,4th,2nd,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:28:00,11th,,,,,2nd,1st,,,,,2nd,1st,4th,3rd,2nd,3rd,1st,4th,1st,2nd
5/21/2020 12:28:01,11th,,,,,2nd,1st,,,,,1st,4th,2nd,3rd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:28:03,11th,,,,,1st,2nd,,,,,1st,4th,2nd,3rd,3rd,4th,2nd,1st,2nd,1st
5/21/2020 12:28:16,11th,,,,,1st,2nd,,,,,4th,3rd,2nd,1st,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:28:27,11th,,,,,2nd,1st,,,,,3rd,1st,2nd,4th,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:28:27,11th,,,,,1st,2nd,,,,,3rd,2nd,1st,4th,1st,4th,2nd,3rd,2nd,1st
5/21/2020 12:28:31,11th,,,,,1st,2nd,,,,,4th,3rd,1st,2nd,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:28:33,11th,,,,,1st,2nd,,,,,2nd,4th,1st,3rd,3rd,2nd,1st,4th,1st,2nd
5/21/2020 12:28:57,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:29:10,11th,,,,,1st,2nd,,,,,2nd,3rd,1st,4th,4th,3rd,2nd,1st,1st,2nd
5/21/2020 12:29:18,11th,,,,,1st,2nd,,,,,3rd,4th,1st,2nd,4th,3rd,1st,2nd,2nd,1st
