Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:07:23,2nd,3rd,1st,3rd,1st,4th,2nd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:12:55,3rd,1st,2nd,1st,2nd,3rd,4th,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:20:05,3rd,2nd,1st,1st,3rd,2nd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:20:56,2nd,3rd,1st,4th,2nd,1st,3rd,3rd,1st,2nd,2nd,3rd,1st,1st,
5/26/2020 12:25:30,1st,2nd,3rd,1st,3rd,4th,2nd,2nd,1st,3rd,3rd,1st,2nd,1st,
5/26/2020 12:28:40,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd,3rd,2nd,3rd,1st,1st,no
5/26/2020 12:30:03,2nd,1st,,1st,3rd,4th,2nd,,1st,,1st,2nd,,1st,Don't censor speeches so much
5/26/2020 12:30:27,2nd,1st,3rd,3rd,2nd,4th,1st,1st,3rd,2nd,2nd,3rd,1st,1st,
5/26/2020 12:34:09,1st,3rd,2nd,3rd,2nd,4th,1st,3rd,1st,2nd,1st,3rd,2nd,1st,
5/26/2020 12:34:19,3rd,1st,2nd,1st,3rd,4th,2nd,3rd,2nd,1st,3rd,2nd,1st,1st,n/a
5/26/2020 12:34:22,,,,,,,,,,,,,,,"great, but maybe look into borda or score voting"
5/26/2020 12:34:27,3rd,2nd,1st,2nd,4th,1st,3rd,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:34:30,3rd,1st,2nd,2nd,3rd,1st,4th,2nd,3rd,1st,3rd,2nd,1st,1st,
5/26/2020 12:34:32,2nd,1st,3rd,4th,2nd,1st,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:34:32,3rd,1st,2nd,2nd,1st,3rd,4th,3rd,2nd,1st,3rd,2nd,1st,1st,
5/26/2020 12:34:32,3rd,2nd,1st,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:34:47,2nd,3rd,1st,3rd,1st,4th,2nd,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:34:59,3rd,1st,2nd,1st,2nd,4th,3rd,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:35:06,1st,2nd,3rd,2nd,1st,4th,3rd,1st,2nd,3rd,1st,3rd,2nd,1st,
5/26/2020 12:35:10,3rd,1st,2nd,1st,4th,3rd,2nd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:35:13,1st,2nd,3rd,3rd,4th,2nd,1st,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:35:15,2nd,3rd,1st,3rd,1st,4th,2nd,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:35:22,3rd,1st,2nd,1st,3rd,2nd,4th,1st,3rd,2nd,3rd,2nd,1st,1st,It would be helpful to show the candidate's name at the end of their video as well. 
5/26/2020 12:35:25,3rd,1st,2nd,4th,2nd,1st,3rd,1st,3rd,2nd,3rd,2nd,1st,1st,
5/26/2020 12:35:27,2nd,1st,3rd,4th,1st,2nd,3rd,2nd,3rd,1st,1st,2nd,3rd,1st,
5/26/2020 12:35:32,3rd,2nd,1st,1st,2nd,3rd,4th,1st,2nd,3rd,1st,3rd,2nd,1st,
5/26/2020 12:35:42,2nd,1st,3rd,1st,2nd,4th,3rd,2nd,3rd,1st,3rd,1st,2nd,1st,
5/26/2020 12:35:44,2nd,1st,3rd,3rd,2nd,4th,1st,2nd,1st,3rd,2nd,1st,3rd,1st,
5/26/2020 12:35:52,2nd,1st,3rd,1st,2nd,4th,3rd,3rd,2nd,1st,3rd,1st,2nd,1st,
5/26/2020 12:35:54,3rd,1st,2nd,2nd,1st,4th,3rd,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:35:55,1st,2nd,3rd,2nd,3rd,4th,1st,2nd,1st,3rd,2nd,3rd,1st,1st,
5/26/2020 12:36:04,3rd,1st,2nd,1st,4th,2nd,3rd,1st,2nd,3rd,3rd,2nd,1st,1st,
5/26/2020 12:36:04,,,1st,2nd,1st,3rd,4th,3rd,2nd,1st,,1st,2nd,1st,
5/26/2020 12:36:05,3rd,2nd,1st,1st,2nd,4th,3rd,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:36:06,3rd,2nd,1st,3rd,1st,4th,2nd,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:36:10,3rd,2nd,1st,,,1st,,1st,2nd,3rd,2nd,1st,3rd,1st,The speeches were unnecessarily long and very repetitive. I think that candidates should just write small statements about their goals and thats it. 
5/26/2020 12:36:11,2nd,1st,,2nd,1st,4th,3rd,3rd,2nd,1st,,2nd,3rd,1st,
5/26/2020 12:36:13,3rd,1st,2nd,1st,4th,3rd,2nd,1st,2nd,3rd,1st,2nd,3rd,1st,
5/26/2020 12:36:15,3rd,2nd,1st,3rd,1st,4th,2nd,3rd,1st,2nd,2nd,1st,3rd,1st,
5/26/2020 12:36:16,1st,2nd,3rd,4th,2nd,3rd,1st,2nd,3rd,1st,2nd,1st,3rd,,
5/26/2020 12:36:19,2nd,1st,,,1st,3rd,2nd,1st,,,1st,,,1st,
5/26/2020 12:36:19,2nd,1st,3rd,2nd,4th,3rd,1st,2nd,3rd,1st,1st,2nd,3rd,1st,
