RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SF",OKC,67,36.6,4.62,3.08,7.7,16.99
2,"James Harden, PG",HOU,67,37.2,7.21,-0.31,6.9,14.98
3,"Giannis Antetokounmpo, PF",MIL,65,33,3.51,2.67,6.18,13.01
4,"Nikola Jokic, C",DEN,68,31.5,4.39,1.62,6.01,11.88
5,"Anthony Davis, PF",NO,55,33.3,2.86,2.81,5.67,10.49
6,"LeBron James, SF",LAL,51,35.3,3.79,1.73,5.52,10.37
7,"Nikola Vucevic, C",ORL,70,31.3,1.83,3.61,5.44,11.9
8,"Kevin Durant, SF",GS,67,35.4,4.34,0.74,5.08,12.19
9,"Stephen Curry, PG",GS,59,34.4,5.4,-0.49,4.91,10.36
10,"Jrue Holiday, PG",NO,67,35.9,3.65,1.11,4.76,12.52
11,"Kyrie Irving, PG",BOS,59,33,4.12,0.56,4.68,9.39
12,"Rudy Gobert, C",UTAH,70,31.8,0.25,4.31,4.56,11.04
13,"Jusuf Nurkic, C",POR,69,27.3,0.87,3.67,4.54,8.99
14,"Joel Embiid, C",PHI,58,33.7,2.11,2.37,4.48,9.25
15,"Paul Millsap, PF",DEN,58,26.8,1.3,3.16,4.46,7.19
16,"Damian Lillard, PG",POR,69,35.5,5.45,-1,4.45,11.37
17,"Kyle Lowry, PG",TOR,57,34.6,3.26,1.17,4.43,9.34
18,"Jimmy Butler, SG",MIN/PHI,58,33.7,2.69,1.71,4.4,9.2
19,"Karl-Anthony Towns, C",MIN,68,33.1,3.28,0.87,4.15,10.33
20,"Mike Conley, PG",MEM,66,33.2,4.23,-0.3,3.93,9.7
21,"Chris Paul, PG",HOU,47,32.4,2.44,1.47,3.91,6.54
22,"Eric Bledsoe, PG",MIL,69,29.3,2.78,1.1,3.88,9.23
23,"Danny Green, SG",TOR,69,28,1.68,2.13,3.81,8.57
24,"Pascal Siakam, PF",TOR,70,31.9,1.76,2,3.76,9.74
25,"Brook Lopez, C",MIL,71,28.5,0.08,3.35,3.43,8.55
26,"Marcus Smart, PG",BOS,70,27.6,1.54,1.79,3.33,7.64
27,"Joe Ingles, SF",UTAH,70,31.6,1.16,1.9,3.06,8.73
28,"Danilo Gallinari, SF",LAC,60,30.4,3.09,-0.05,3.04,7.04
29,"Kevon Looney, C",GS,68,19.6,0.97,2.06,3.03,5.14
30,"Al Horford, C",BOS,61,28.8,1.08,1.92,3,6.7
31,"Davis Bertans, SF",SA,65,21.6,2.36,0.6,2.96,5.43
32,"Kawhi Leonard, SF",TOR,51,34.4,2.98,-0.15,2.83,6.67
33,"Rudy Gay, SF",SA,58,26.9,0.55,2.27,2.82,5.74
34,"Blake Griffin, PF",DET,67,35.3,2.59,0.22,2.81,8.54
35,"Robert Covington, SF",MIN/PHI,35,34.4,-0.76,3.49,2.73,4.36
36,"Nemanja Bjelica, PF",SAC,66,23.3,0.92,1.71,2.63,5.78
37,"Kemba Walker, PG",CHA,70,34.8,3.78,-1.15,2.63,8.83
38,"Daniel Theis, PF",BOS,56,14,0.55,2.07,2.62,2.72
39,"Russell Westbrook, PG",OKC,62,35.8,2.36,0.24,2.6,8.35
40,"Derrick Favors, PF",UTAH,69,23.3,-0.44,2.99,2.55,5.87
41,"Ed Davis, PF",BKN,72,18,-1.98,4.5,2.52,4.6
42,"Andre Iguodala, SG",GS,61,23.6,0.21,2.28,2.49,4.98
43,"Marc Gasol, C",TOR/MEM,68,31.6,0.33,2.1,2.43,7.21
44,"Dwight Powell, PF",DAL,66,20.5,2.29,-0.01,2.28,4.5
45,"Patrick Beverley, PG",LAC,72,27.6,1.12,1.11,2.23,6.64
46,"Josh Richardson, SG",MIA,68,34.9,1.75,0.46,2.21,7.74
47,"Thaddeus Young, PF",IND,72,30.8,0.96,1.22,2.18,7.04
48,"Andre Drummond, C",DET,67,33.1,0.24,1.93,2.17,7
49,"Monte Morris, PG",DEN,69,24.3,1.95,0.2,2.15,5.4
50,"De'Aaron Fox, PG",SAC,69,31.8,1.4,0.74,2.14,7.7
51,"Victor Oladipo, SG",IND,36,31.9,0.97,1.15,2.12,3.67
52,"Kelly Olynyk, PF",MIA,67,22.5,0.71,1.38,2.09,4.82
53,"Boban Marjanovic, C",LAC/PHI,47,11.6,-0.93,2.99,2.06,1.8
54,"Domantas Sabonis, PF",IND,65,24.8,1.01,1.03,2.04,4.97
55,"Hassan Whiteside, C",MIA,61,24.3,-1.76,3.77,2.01,4.76
56,"Draymond Green, PF",GS,55,31.4,-1.03,3.04,2.01,5.46
57,"Nerlens Noel, PF",OKC,66,14.2,-2.31,4.22,1.91,3.03
58,"Justise Winslow, SF",MIA,61,29.7,0.39,1.47,1.86,5.64
59,"Bradley Beal, SG",WSH,71,37.6,3.31,-1.51,1.8,8.19
60,"Al-Farouq Aminu, PF",POR,70,28.7,0.36,1.38,1.74,5.98
61,"Derrick White, PG",SA,56,25.8,0.28,1.42,1.7,4.34
