,Assister,Scorer,PTS
0,Harrison Barnes,De'Aaron Fox,3
1,Kevin Huerter,Harrison Barnes,2
2,Domantas Sabonis,Kevin Huerter,3
3,KZ Okpala,De'Aaron Fox,3
4,Domantas Sabonis,De'Aaron Fox,2
5,Malik Monk,Harrison Barnes,2
6,Harrison Barnes,Malik Monk,3
7,Davion Mitchell,De'Aaron Fox,3
8,Davion Mitchell,Domantas Sabonis,2
9,Terence Davis,Kevin Huerter,3
10,De'Aaron Fox,Terence Davis,3
11,De'Aaron Fox,Davion Mitchell,2
12,Domantas Sabonis,De'Aaron Fox,3
13,De'Aaron Fox,Kevin Huerter,3
14,Harrison Barnes,Terence Davis,3
15,Harrison Barnes,Kevin Huerter,3
16,De'Aaron Fox,Kevin Huerter,3
17,Domantas Sabonis,De'Aaron Fox,2
18,De'Aaron Fox,Domantas Sabonis,2
19,Kevin Huerter,Domantas Sabonis,2
20,Davion Mitchell,Malik Monk,3
21,Davion Mitchell,Harrison Barnes,2
22,Malik Monk,Trey Lyles,3
23,Malik Monk,Trey Lyles,3
24,De'Aaron Fox,Richaun Holmes,2
25,Domantas Sabonis,De'Aaron Fox,3
26,De'Aaron Fox,Kevin Huerter,2
27,Domantas Sabonis,Kevin Huerter,3
28,KZ Okpala,De'Aaron Fox,3
29,Kevin Huerter,Domantas Sabonis,2
30,De'Aaron Fox,KZ Okpala,3
31,De'Aaron Fox,Keegan Murray,3
32,Davion Mitchell,Keegan Murray,3
33,Terence Davis,Domantas Sabonis,2
34,Terence Davis,Davion Mitchell,2
35,Domantas Sabonis,Terence Davis,3
36,De'Aaron Fox,Terence Davis,3
37,Kevin Huerter,De'Aaron Fox,2
38,Kevin Huerter,De'Aaron Fox,3
39,Kevin Huerter,Keegan Murray,2
40,Keegan Murray,Kevin Huerter,3
41,Domantas Sabonis,De'Aaron Fox,2
42,Domantas Sabonis,Kevin Huerter,3
43,Kevin Huerter,Domantas Sabonis,2
44,Domantas Sabonis,Keegan Murray,2
45,Keegan Murray,Harrison Barnes,2
