~Mean Temperature,~Variance Temperature,Time
d18O_anomaly,d18O_Zscore,Age Yr.B. P.
0.35,1.58,-56
0.38,1.58,-53.02
0.38,2.41,-50.04
0.65,2.44,-47.06
0.66,1.95,-44.08
0.51,2.04,-41.1
0.54,1.55,-38.12
0.38,1.43,-35.14
0.34,0.93,-32.16
0.18,1.43,-29.18
0.34,1.18,-26.2
0.26,1.86,-23.22
0.49,1.40,-20.24
0.34,0.93,-17.26
0.19,1.36,-14.28
0.33,1.43,-11.3
0.35,0.72,-8.32
0.12,0.87,-5.34
0.17,0.75,-2.36
0.13,1.83,0.62
0.49,0.50,3.6
0.06,1.12,6.58
0.26,0.38,9.56
0.02,0.66,12.54
0.11,0.81,15.52
0.16,0.38,18.5
0.02,0.35,21.48
0.01,0.38,24.46
0.02,0.35,27.44
0.01,1.21,30.42
0.29,0.75,33.4
0.14,0.60,36.38
0.10,0.54,39.36
0.08,0.78,42.34
0.16,0.44,45.32
0.05,0.81,48.3
0.17,1.43,51.28
0.37,1.24,54.26
0.31,0.78,57.24
0.16,1.06,60.22
0.25,0.60,63.2
0.10,0.90,66.18
0.20,0.60,69.16
0.10,0.72,72.14
0.14,0.14,75.12
-0.05,0.69,78.1
0.13,0.69,81.08
0.13,1.03,84.06
0.25,1.24,87.04
0.32,0.60,90.02
0.11,1.18,93
0.30,0.97,95.98
0.23,0.84,98.96
0.19,1.00,101.94
0.24,1.03,104.92
0.25,1.12,107.9
0.28,1.67,110.88
0.46,0.35,113.86
0.03,0.90,116.84
0.21,0.20,119.82
-0.01,0.75,122.8
0.17,0.23,125.78
0.00,1.30,128.76
0.35,1.64,131.74
0.46,-0.14,134.72
-0.12,-0.14,137.7
-0.12,-0.45,140.68
-0.22,-0.88,143.66
-0.36,-1.06,146.64
-0.42,-1.22,149.62
-0.47,-0.85,152.6
-0.34,-1.03,155.58
-0.40,-1.06,158.56
-0.41,-0.79,161.54
-0.32,-0.42,164.52
-0.20,-0.48,167.5
-0.22,-0.42,170.48
-0.20,-0.60,173.46
-0.26,-0.48,176.44
-0.22,-0.63,179.42
-0.27,-0.32,182.4
-0.17,-0.66,185.38
-0.28,-0.17,188.36
-0.12,-0.48,191.34
-0.22,-0.26,194.32
-0.15,-0.36,197.3
-0.18,-0.97,200.28
-0.38,-0.60,203.26
-0.25,-0.57,206.24
-0.24,0.54,209.22
0.12,0.63,212.2
0.15,1.03,215.18
0.28,0.78,218.16
0.20,1.03,221.14
0.28,0.78,224.12
0.20,0.90,227.1
0.24,0.50,230.08
0.11,0.87,233.06
0.23,1.00,236.04
0.27,0.84,239.02
0.22,0.63,242
0.15,0.60,244.98
0.14,0.87,247.96
0.23,0.60,250.94
0.14,0.44,253.92
0.09,0.38,256.9
0.07,0.20,259.88
0.01,0.35,262.86
0.06,0.29,265.84
0.05,0.20,268.82
0.02,0.17,271.8
0.01,-0.23,274.78
-0.12,0.54,277.76
0.13,0.47,280.74
0.11,0.60,283.72
0.15,0.47,286.7
0.11,0.38,289.68
0.08,0.41,292.66
0.09,-0.14,295.64
-0.09,0.07,298.62
-0.02,0.20,301.6
0.02,-0.20,304.58
