,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,2021-22,NBA,GSW,43,21,2,,27.8,6-5,204,,64,240.8,40.5,86.5,0.468,14.5,39.9,0.362,26.0,46.6,0.559,15.5,20.4,0.760,9.7,35.7,45.5,27.2,9.4,4.8,15.1,20.5,111.0
,2020-21,NBA,GSW,39,33,4,,26.7,6-5,207,,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7
,2019-20,NBA,GSW,15,50,5,,24.4,6-6,219,,65,241.9,38.6,88.2,0.438,10.4,31.3,0.334,28.2,56.9,0.495,18.7,23.2,0.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
,2018-19,NBA,GSW,57,25,1,,28.4,6-7,219,,82,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
,2017-18,NBA,GSW,58,24,1,,28.8,6-7,221,,82,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.560,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5
,2016-17,NBA,GSW,67,15,1,,28.2,6-7,219,,82,241.2,43.1,87.1,0.495,12.0,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9
,2015-16,NBA,GSW,73,9,1,,27.4,6-6,213,,82,242.4,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
,2014-15,NBA,GSW,67,15,1,,26.6,6-7,212,,82,240.6,41.6,87.0,0.478,10.8,27.0,0.398,30.8,60.0,0.514,16.0,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0
,2013-14,NBA,GSW,51,31,2,,26.3,6-7,215,,82,241.8,39.5,85.4,0.462,9.4,24.8,0.380,30.0,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3
,2012-13,NBA,GSW,47,35,2,,25.3,6-7,220,,82,241.5,38.2,83.4,0.458,8.0,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2
,2011-12,NBA,GSW,23,43,4,,25.3,6-6,215,,66,241.1,37.7,82.5,0.457,7.9,20.5,0.388,29.8,62.0,0.480,14.4,18.7,0.770,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8
,2010-11,NBA,GSW,36,46,3,,25.2,6-6,210,,82,241.8,39.6,85.9,0.461,8.4,21.3,0.392,31.3,64.6,0.484,15.7,20.7,0.761,11.6,28.9,40.5,22.5,9.0,5.0,14.6,22.0,103.4
,2009-10,NBA,GSW,26,56,4,,25.1,6-5,208,,82,240.6,40.6,86.5,0.469,7.7,20.6,0.375,32.9,65.9,0.499,19.9,25.4,0.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8
