,Pair,Name,Count,sort,Type
57,57,Draymond Green,115,0,Assister
57,57,Klay Thompson,115,1,Scorer
60,60,Draymond Green,115,0,Assister
60,60,Stephen Curry,115,1,Scorer
178,178,Stephen Curry,101,0,Assister
178,178,Klay Thompson,101,1,Scorer
55,55,Draymond Green,69,0,Assister
55,55,Jordan Poole,69,1,Scorer
171,171,Draymond Green,66,1,Scorer
171,171,Stephen Curry,66,0,Assister
48,48,Draymond Green,63,0,Assister
48,48,Andrew Wiggins,63,1,Scorer
110,110,Klay Thompson,62,1,Scorer
110,110,Jordan Poole,62,0,Assister
44,44,Donte DiVincenzo,56,0,Assister
44,44,Klay Thompson,56,1,Scorer
104,104,Draymond Green,52,1,Scorer
104,104,Jordan Poole,52,0,Assister
42,42,Jordan Poole,49,1,Scorer
42,42,Donte DiVincenzo,49,0,Assister
103,103,Jordan Poole,44,0,Assister
103,103,Donte DiVincenzo,44,1,Scorer
123,123,Klay Thompson,43,1,Scorer
123,123,Kevon Looney,43,0,Assister
137,137,Kevon Looney,38,1,Scorer
176,176,Jordan Poole,38,1,Scorer
176,176,Stephen Curry,38,0,Assister
137,137,Klay Thompson,38,0,Assister
50,50,Draymond Green,36,0,Assister
50,50,Donte DiVincenzo,36,1,Scorer
108,108,Jordan Poole,36,0,Assister
108,108,Jonathan Kuminga,36,1,Scorer
122,122,Jordan Poole,36,1,Scorer
122,122,Kevon Looney,36,0,Assister
168,168,Stephen Curry,35,0,Assister
168,168,Andrew Wiggins,35,1,Scorer
113,113,Jordan Poole,33,0,Assister
113,113,Stephen Curry,33,1,Scorer
46,46,Donte DiVincenzo,30,0,Assister
46,46,Stephen Curry,30,1,Scorer
115,115,Andrew Wiggins,29,1,Scorer
115,115,Kevon Looney,29,0,Assister
41,41,Donte DiVincenzo,28,0,Assister
177,177,Stephen Curry,28,0,Assister
41,41,Jonathan Kuminga,28,1,Scorer
177,177,Kevon Looney,28,1,Scorer
101,101,Jordan Poole,27,0,Assister
101,101,Andrew Wiggins,27,1,Scorer
54,54,Jonathan Kuminga,26,1,Scorer
175,175,Stephen Curry,26,0,Assister
126,126,Stephen Curry,26,1,Scorer
131,131,Klay Thompson,26,0,Assister
54,54,Draymond Green,26,0,Assister
175,175,Jonathan Kuminga,26,1,Scorer
126,126,Kevon Looney,26,0,Assister
131,131,Draymond Green,26,1,Scorer
56,56,Draymond Green,24,0,Assister
106,106,JaMychal Green,24,1,Scorer
56,56,Kevon Looney,24,1,Scorer
106,106,Jordan Poole,24,0,Assister
117,117,Kevon Looney,23,0,Assister
117,117,Donte DiVincenzo,23,1,Scorer
102,102,Jordan Poole,23,0,Assister
102,102,Anthony Lamb,23,1,Scorer
191,191,Ty Jerome,23,0,Assister
191,191,Klay Thompson,23,1,Scorer
49,49,Draymond Green,21,0,Assister
109,109,Kevon Looney,21,1,Scorer
49,49,Anthony Lamb,21,1,Scorer
109,109,Jordan Poole,21,0,Assister
37,37,Draymond Green,20,1,Scorer
37,37,Donte DiVincenzo,20,0,Assister
92,92,Jonathan Kuminga,19,0,Assister
92,92,Jordan Poole,19,1,Scorer
88,88,Jonathan Kuminga,18,0,Assister
88,88,Donte DiVincenzo,18,1,Scorer
118,118,Draymond Green,18,1,Scorer
136,136,Klay Thompson,18,0,Assister
136,136,Jordan Poole,18,1,Scorer
170,170,Donte DiVincenzo,18,1,Scorer
118,118,Kevon Looney,18,0,Assister
170,170,Stephen Curry,18,0,Assister
43,43,Kevon Looney,17,1,Scorer
14,14,Andrew Wiggins,17,0,Assister
14,14,Jordan Poole,17,1,Scorer
43,43,Donte DiVincenzo,17,0,Assister
107,107,Jordan Poole,16,0,Assister
107,107,James Wiseman,16,1,Scorer
25,25,Jonathan Kuminga,15,1,Scorer
25,25,Anthony Lamb,15,0,Assister
183,183,Ty Jerome,15,0,Assister
128,128,Andrew Wiggins,15,1,Scorer
10,10,Draymond Green,15,1,Scorer
128,128,Klay Thompson,15,0,Assister
10,10,Andrew Wiggins,15,0,Assister
183,183,Anthony Lamb,15,1,Scorer
87,87,Jonathan Kuminga,14,0,Assister
87,87,Anthony Lamb,14,1,Scorer
