name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2016-02-08,2015,3059319,1610612750,400828669,1,7,04,0,"Hook Shot","3PT Field Goal",26,"New Orleans Pelicans",128,234,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-13,2016,3059319,1610612750,400899592,2,0,05,1,"Jump Bank Shot","3PT Field Goal",24,"Los Angeles Lakers",-34,242,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-22,2016,3059319,1610612750,400900085,4,1,53,1,"Jump Shot","3PT Field Goal",26,"Denver Nuggets",-169,198,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-19,2015,3059319,1610612750,400828513,2,5,58,0,"Jump Shot","3PT Field Goal",27,"New Orleans Pelicans",119,249,0,0.90,"Gee, Alonzo",4.80,10.30
"Andrew Wiggins","Minnesota Timberwolves",2016-11-17,2016,3059319,1610612750,400899622,3,10,46,1,"Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",151,196,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-19,2015,3059319,1610612750,400828513,3,6,52,0,"Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",-217,134,0,0.80,"Evans, Tyreke",5.20,17.60
"Andrew Wiggins","Minnesota Timberwolves",2016-01-19,2015,3059319,1610612750,400828513,1,6,05,0,"Jump Shot","3PT Field Goal",24,"New Orleans Pelicans",-169,178,3,4.50,"Davis, Anthony",6.10,14.10
"Andrew Wiggins","Minnesota Timberwolves",2015-12-13,2015,3059319,1610612750,400828240,3,7,45,0,"Jump Shot","3PT Field Goal",25,"Phoenix Suns",56,244,0,0.80,"Leuer, Jon",15.10,21.20
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,3,4,34,1,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",-78,235,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,2,6,51,1,"Jump Shot","3PT Field Goal",26,"Phoenix Suns",-81,253,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,3,5,37,1,"Jump Shot","3PT Field Goal",25,"Phoenix Suns",-187,172,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,4,0,50,0,"Jump Shot","3PT Field Goal",25,"Phoenix Suns",95,232,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,3,2,19,0,"Jump Shot","3PT Field Goal",25,"Phoenix Suns",112,231,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-17,2016,3059319,1610612750,400899622,1,8,01,0,"Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-83,237,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-28,2017,3059319,1610612750,400975866,4,0,23,0,"Jump Shot","3PT Field Goal",26,"Atlanta Hawks",-124,230,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-01,2017,3059319,1610612750,400975671,4,2,34,1,"Jump Shot","3PT Field Goal",26,"Portland Trail Blazers",160,214,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-01,2017,3059319,1610612750,400975671,3,10,33,0,"Jump Shot","3PT Field Goal",27,"Portland Trail Blazers",-147,236,0,0.00,,0.00,0.00
