name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2017-12-04,2017,3059319,1610612750,400975096,3,11,04,0,"Cutting Finger Roll Layup Shot","2PT Field Goal",4,"Memphis Grizzlies",38,13,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-04-05,2017,3059319,1610612750,400975926,3,1,54,0,"Cutting Layup Shot","2PT Field Goal",5,"Denver Nuggets",-34,37,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-20,2017,3059319,1610612750,400975806,3,4,32,0,"Cutting Layup Shot","2PT Field Goal",4,"Los Angeles Clippers",-17,37,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-10,2017,3059319,1610612750,400975357,4,11,19,1,"Cutting Layup Shot","2PT Field Goal",4,"Oklahoma City Thunder",11,41,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-08,2016,3059319,1610612750,400899551,1,0,32,1,"Driving Bank shot","2PT Field Goal",5,"Brooklyn Nets",56,2,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-04,2016,3059319,1610612750,400900320,4,3,31,0,"Driving Bank shot","2PT Field Goal",5,"San Antonio Spurs",-30,41,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-01-07,2014,3059319,1610612750,400578823,1,3,40,1,"Driving Bank shot","2PT Field Goal",5,"Phoenix Suns",-51,30,1,2.00,"Plumlee, Miles",1.20,12.50
"Andrew Wiggins","Minnesota Timberwolves",2015-12-21,2015,3059319,1610612750,400828298,1,5,00,0,"Driving Bank shot","2PT Field Goal",6,"Boston Celtics",-40,56,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-11-23,2015,3059319,1610612750,400828093,4,3,58,1,"Driving Bank shot","2PT Field Goal",4,"Philadelphia 76ers",45,13,3,2.70,"Noel, Nerlens",2.50,16.50
"Andrew Wiggins","Minnesota Timberwolves",2016-02-24,2015,3059319,1610612750,400828736,4,4,57,0,"Driving Bank shot","2PT Field Goal",5,"Toronto Raptors",53,23,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-14,2016,3059319,1610612750,400900237,3,11,21,1,"Driving Bank shot","2PT Field Goal",5,"Cleveland Cavaliers",-38,36,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-01,2016,3059319,1610612750,400899385,3,6,00,1,"Driving Bank shot","2PT Field Goal",5,"Portland Trail Blazers",-38,41,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-01-26,2014,3059319,1610612750,400578964,2,1,48,1,"Driving Bank shot","2PT Field Goal",4,"Oklahoma City Thunder",39,20,2,4.20,"Adams, Steven",0.50,12.60
"Andrew Wiggins","Minnesota Timberwolves",2017-12-04,2017,3059319,1610612750,400975096,3,8,58,0,"Driving Finger Roll Layup Shot","2PT Field Goal",4,"Memphis Grizzlies",-6,45,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-04,2017,3059319,1610612750,400974885,4,3,49,1,"Driving Finger Roll Layup Shot","2PT Field Goal",4,"Dallas Mavericks",-2,44,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-04,2016,3059319,1610612750,400900320,4,8,37,1,"Driving Finger Roll Layup Shot","2PT Field Goal",4,"San Antonio Spurs",-19,46,0,0.00,,0.00,0.00
