name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2018-02-09,2017,3059319,1610612750,400975568,3,1,40,0,"Driving Floating Jump Shot","2PT Field Goal",11,"Chicago Bulls",94,64,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-03,2017,3059319,1610612750,400975303,1,10,32,0,"Driving Floating Jump Shot","2PT Field Goal",9,"Brooklyn Nets",93,24,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-29,2017,3059319,1610612750,400975485,1,6,25,0,"Driving Floating Jump Shot","2PT Field Goal",14,"Atlanta Hawks",85,112,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-30,2016,3059319,1610612750,400899721,3,7,29,0,"Fadeaway Jump Shot","2PT Field Goal",12,"New York Knicks",128,21,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-13,2016,3059319,1610612750,400899592,2,2,49,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Los Angeles Lakers",-201,13,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-07,2016,3059319,1610612750,400899977,3,7,15,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Utah Jazz",-79,151,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-12-23,2014,3059319,1610612750,400578708,1,6,27,0,"Fadeaway Jump Shot","2PT Field Goal",12,"Cleveland Cavaliers",127,-24,2,3.60,"Irving, Kyrie",3.30,14.30
"Andrew Wiggins","Minnesota Timberwolves",2018-03-02,2017,3059319,1610612750,400975680,3,10,33,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Utah Jazz",90,112,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-05,2015,3059319,1610612750,400829050,3,1,31,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Golden State Warriors",-169,120,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-03-02,2014,3059319,1610612750,400579180,1,9,05,0,"Fadeaway Jump Shot","2PT Field Goal",11,"Los Angeles Clippers",114,26,2,3.70,"Hawes, Spencer",4.30,8.40
"Andrew Wiggins","Minnesota Timberwolves",2017-04-04,2016,3059319,1610612750,400900540,3,5,35,1,"Fadeaway Jump Shot","2PT Field Goal",14,"Golden State Warriors",-129,70,0,0.00,,0.00,0.00
