name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Wiggins","Minnesota Timberwolves",2017-01-30,2016,3059319,1610612750,0,1,3,31,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-11-26,2014,3059319,1610612750,400578510,1,5,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.20,"Parker, Jabari",5.90,21.70
"Andrew Wiggins","Minnesota Timberwolves",2017-02-27,2016,3059319,1610612750,400900294,1,10,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-27,2016,3059319,1610612750,400900294,3,4,52,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-04-08,2014,3059319,1610612750,400579464,1,6,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,1,0.50,"Batum, Nicolas",2.40,24.00
"Andrew Wiggins","Minnesota Timberwolves",2018-02-01,2017,3059319,1610612750,400975509,3,11,42,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Milwaukee Bucks",-5,13,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-13,2016,3059319,1610612750,400900390,2,5,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-01,2015,3059319,1610612750,400829021,3,3,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-03-04,2014,3059319,1610612750,400579194,1,6,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,"Lawson, Ty",3.70,17.30
"Andrew Wiggins","Minnesota Timberwolves",2017-02-24,2016,3059319,1610612750,400900268,1,7,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-02-02,2014,3059319,1610612750,400579016,4,6,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,"Ellis, Monta",6.00,24.00
"Andrew Wiggins","Minnesota Timberwolves",2016-02-20,2015,3059319,1610612750,400828708,3,10,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-03-14,2015,3059319,1610612750,400828882,2,0,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-11,2015,3059319,1610612750,400829094,2,2,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-15,2016,3059319,1610612750,400900401,1,9,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-12,2016,3059319,1610612750,400900221,1,7,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-04,2017,3059319,1610612750,400974885,2,1,31,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Dallas Mavericks",-2,11,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-19,2016,3059319,1610612750,400900434,1,4,09,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-04-09,2017,3059319,1610612750,400975955,3,7,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",5,6,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-10-25,2017,3059319,1610612750,400974807,1,1,29,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Detroit Pistons",3,11,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-11-07,2015,3059319,1610612750,400827972,2,6,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,1.10,"Gasol, Pau",3.90,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-03-24,2016,3059319,1610612750,400900475,3,4,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-12-06,2014,3059319,1610612750,400578583,2,10,01,0,"Alley Oop Dunk Shot","2PT Field Goal",1,"San Antonio Spurs",6,11,1,10.20,"Duncan, Tim",2.70,13.10
"Andrew Wiggins","Minnesota Timberwolves",2018-03-24,2017,3059319,1610612750,400975834,2,6,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",-1,6,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-03-20,2017,3059319,1610612750,400975806,1,6,40,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Los Angeles Clippers",9,8,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-27,2015,3059319,1610612750,400828575,1,10,15,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-12-01,2014,3059319,1610612750,400578544,1,4,49,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.20,"Griffin, Blake",4.60,20.10
"Andrew Wiggins","Minnesota Timberwolves",2017-03-30,2016,3059319,1610612750,400900518,3,3,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2014-12-30,2014,3059319,1610612750,400578764,4,11,46,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.20,"Gobert, Rudy",3.50,24.00
"Andrew Wiggins","Minnesota Timberwolves",2016-11-12,2016,3059319,1610612750,400899585,1,8,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-01-16,2014,3059319,1610612750,400578888,1,10,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,1,0.80,"Len, Alex",2.90,20.50
"Andrew Wiggins","Minnesota Timberwolves",2016-04-01,2015,3059319,1610612750,400829021,1,0,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-01-17,2015,3059319,1610612750,400828497,1,7,29,1,"Alley Oop Layup shot","2PT Field Goal",2,"Phoenix Suns",25,-1,1,0.30,"Tucker, PJ",7.60,24.00
"Andrew Wiggins","Minnesota Timberwolves",2015-12-16,2015,3059319,1610612750,400828262,1,5,11,0,"Alley Oop Layup shot","2PT Field Goal",0,"New York Knicks",5,4,0,3.30,"Anthony, Carmelo",7.50,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-03-02,2014,3059319,1610612750,400579180,1,9,38,0,"Alley Oop Layup shot","2PT Field Goal",1,"Los Angeles Clippers",13,12,0,3.90,"Hawes, Spencer",0.80,19.70
"Andrew Wiggins","Minnesota Timberwolves",2016-01-23,2015,3059319,1610612750,400828545,1,5,57,1,"Alley Oop Layup shot","2PT Field Goal",1,"Memphis Grizzlies",-14,7,0,0.00,"Barnes, Matt",1.10,11.90
"Andrew Wiggins","Minnesota Timberwolves",2016-01-27,2015,3059319,1610612750,400828575,1,11,28,0,"Alley Oop Layup shot","2PT Field Goal",1,"Oklahoma City Thunder",-4,16,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-02-23,2014,3059319,1610612750,400579124,1,8,14,1,"Alley Oop Layup shot","2PT Field Goal",1,"Houston Rockets",-13,6,0,1.10,"Terry, Jason",10.90,24.00
"Andrew Wiggins","Minnesota Timberwolves",2017-02-01,2016,3059319,1610612750,400899369,3,9,51,1,"Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2018-01-08,2017,3059319,1610612750,400975340,3,3,09,1,"Cutting Dunk Shot","2PT Field Goal",1,"Cleveland Cavaliers",-6,11,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-11-02,2015,3059319,1610612750,400827937,2,4,19,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.80,"Plumlee, Mason",2.30,10.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-26,2017,3059319,1610612750,400975039,3,6,41,1,"Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",5,-5,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-03-26,2015,3059319,1610612750,400828974,3,4,48,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-10-20,2017,3059319,1610612750,400974775,1,6,52,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,5,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-12-04,2017,3059319,1610612750,400975096,1,7,56,1,"Cutting Dunk Shot","2PT Field Goal",2,"Memphis Grizzlies",8,20,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-30,2016,3059319,1610612750,0,5,4,09,1,"Cutting Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2015-11-20,2015,3059319,1610612750,400828068,3,4,44,1,"Cutting Dunk Shot","2PT Field Goal",0,"Detroit Pistons",0,1,1,1.20,"Morris, Marcus",1.10,7.00
"Andrew Wiggins","Minnesota Timberwolves",2017-11-29,2017,3059319,1610612750,400975060,2,6,07,1,"Cutting Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",3,5,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-01,2015,3059319,1610612750,400829021,4,4,10,1,"Cutting Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-12-26,2016,3059319,1610612750,400899910,1,11,19,0,"Cutting Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",-4,-6,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2017-01-24,2016,3059319,1610612750,400900100,3,5,31,0,"Cutting Dunk Shot","2PT Field Goal",2,"Phoenix Suns",25,11,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-12-03,2016,3059319,1610612750,400899734,1,9,25,1,"Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-04-05,2015,3059319,1610612750,400829050,2,3,14,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
