PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PM,OFFRTG,DEFRTG,NETRTG,ASTP,ASTTOR,ASTRATIO,OREBP,DREBP,REBP,TORATIO,EFGP,TSP,USGP,PACE,PIE,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,BLK,BLKA,PF,PFD,PFGA 2PT,PFGA 3PT,PPTS 2PT,PPTS 2PT MR,PPTS 3PT,PPTS FBPS,PPTSFT,PPTS OFFTO,PPTS PITP,2FGM PAST,2FGM PUAST,3FGM PAST,3FGM PUAST,FGM PAST,FGM PUAST,USGP,PFGM,PFGA,P3PM,P3PA,PFTM,PFTA,POREB,PDREB,PREB,PAST,PTOV,PSTL,PBLK,PBLKA,PPF,PPFD,PPTS,DEF RTG,DREB,DREBP,PDREB,STL,STLP,BLK,PBLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
A'JA WILSON,LVA,22,33,14,19,30.6,20.7,7.4,16.1,46.2,0,0,0,5.8,7.5,77.4,2,6,8,2.2,1.4,0.8,1.7,2.1,39.7,10,0,-1.3,104.6,106.7,-2.2,13.2,1.61,9.7,6.3,19,12.7,6,46.2,53.4,28.9,99,15.4,2.9,2.9,1.6,8.3,10.2,7.5,6.5,19.3,1.7,1.5,2.1,5.8,100,0,71.8,31.7,0,7.6,28.2,14.1,40.2,77.1,22.9,0,0,77.1,22.9,28.9,30.5,29.8,0,0,39.9,40.8,28.3,28.4,28.4,14.2,15.4,16.8,51.4,39.7,16.1,37.9,31.3,106.7,6,19,28.4,0.8,16.8,1.7,51.4,10.2,7.5,6.5,19.3,0.054
ADAORA ELONU,ATL,29,1,0,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,0,150,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042
AERIAL POWERS,WAS,25,24,16,8,14.4,6.2,2,5.1,39.3,0.5,1.8,27.3,1.7,1.9,87,0.7,2.1,2.8,0.9,1.3,0.5,0.3,1.3,11.9,1,0,1.6,105.3,97.4,7.9,10.2,0.68,10.8,4.9,14.3,9.8,16,44.3,52,22.3,95.88,9.6,2.1,0.7,0.8,1.8,5.5,4.1,2.4,11.8,0.3,0.1,1.3,1.5,63.9,36.1,48.6,20.3,24.3,13.5,27,33.8,28.4,25,75,83.3,16.7,39.6,60.4,22.3,18.9,21.8,21.4,24.2,26,24.2,23.5,23.4,23.4,13.8,27.4,22,15,13,18,20.2,20.6,97.4,2.1,14.3,23.4,0.5,22,0.3,15,5.5,4.1,2.4,11.8,0.078
ALAINA COATES,CHI,24,32,13,19,11.4,3.4,1.3,2.3,56.8,0,0,0,0.8,1.3,62.5,1.2,2,3.2,0.4,0.5,0.2,0.2,1.8,8.5,0,0,-0.5,102,104.3,-2.3,5.6,0.76,10.7,10.7,16.5,13.7,14,56.8,59.5,12.4,98.37,7.5,0.6,1,0.3,2.3,5.2,4.3,3,9.8,0.2,0.4,1.8,1,100,0,77.1,9.2,0,8.3,22.9,16.5,67.9,73.8,26.2,0,0,73.8,26.2,12.4,15.4,12.1,0,0,16.9,21.2,41.1,29.4,33,7.3,12.7,12,17.9,23.1,33.9,18.6,14.3,104.3,2,16.5,29.4,0.2,12,0.2,17.9,5.2,4.3,3,9.8,0.031
ALANA BEARD,LAS,37,30,17,13,25.5,4,1.7,4.3,39.2,0.1,0.2,40,0.6,0.7,81,1.2,2.1,3.3,1.7,0.7,1.5,0.2,2.4,14.8,0,0,1.5,99.5,95.7,3.8,9.5,2.5,23.8,5,8.9,6.9,9.5,40,43.5,9.6,93.74,5,0.9,0.3,0.2,1.8,9.6,6.7,7,21.3,0.2,0.3,2.4,1.2,96.2,3.8,81,36.4,5,5,14,23.1,44.6,73.5,26.5,100,0,74.5,25.5,9.6,8.8,10.3,2.1,1.8,7.4,7.2,25.4,13.7,16.5,14.1,8.5,25.4,13,14.8,23.4,11.1,8.2,95.7,2.1,8.9,13.7,1.5,25.4,0.2,13,9.6,6.7,7,21.3,0.153
ALEX BENTLEY,ATL,28,35,24,11,21.3,9.4,3.7,9.5,38.7,1.1,3.6,30.7,1,1.3,72.3,0.3,1.2,1.5,3.3,1.7,1.1,0.1,2.2,18.1,0,0,3.9,108.9,99.6,9.3,23.6,1.98,22,1.3,5.4,3.4,11.1,44.6,46.8,22.9,98.79,7.6,1.6,0.9,1.4,1.6,7.5,6.1,3.9,16.9,0.1,0.1,2.2,1.3,61.6,38.4,54.1,37.1,35.6,15.2,10.3,17.3,17,22.5,77.5,56.4,43.6,32.8,67.2,22.9,20.8,24.9,25.8,31.4,11.9,12.2,5.2,9.3,8,32.1,24.3,27.2,4.3,3.8,18.5,13.5,19.7,99.6,1.2,5.4,9.3,1.1,27.2,0.1,4.3,7.5,6.1,3.9,16.9,0.096
ALEX MONTGOMERY,CHI,30,19,7,12,6.4,0.8,0.3,1,26.3,0.1,0.2,33.3,0.2,0.2,100,0.3,0.6,0.9,0.5,0.3,0.1,0.1,0.7,2.8,0,0,-1.2,92.9,102.4,-9.5,12,1.8,25.7,5.3,9.6,7.6,14.3,28.9,36.1,9.3,99.16,2.2,0.1,0.1,0.1,0.2,3,2.6,2.8,6.7,0.1,0.2,0.7,0.2,84.2,15.8,53.3,26.7,20,13.3,26.7,13.3,26.7,75,25,100,0,80,20,9.3,6.3,10.4,5.9,8.3,7,5.6,28.6,17.1,19.8,17.3,11.1,10,9.1,20,24.6,6.9,6.4,102.4,0.6,9.6,17.1,0.1,10,0.1,9.1,3,2.6,2.8,6.7,0.022
ALEXIS JONES,MIN,25,26,13,13,8.8,3.3,1.2,3.5,35.2,0.6,1.9,32,0.2,0.3,75,0.2,0.7,0.9,0.7,0.7,0.1,0.1,1,5.3,0,0,-1.9,87.3,98.9,-11.6,15,1.06,14,2.2,8.3,5.2,13.2,44,45.5,20.8,97.06,3.9,0.8,0.2,0.5,1,4.8,1.7,2,6.2,0.1,0.2,1,0.4,45.1,54.9,37.2,7,55.8,15.1,7,24.4,30.2,18.8,81.3,75,25,46.9,53.1,20.8,21.1,24.8,45.7,46.3,9,8.9,11.1,12.7,12.3,19.4,17.3,9.4,13.3,30,25,11.2,21.2,98.9,0.7,8.3,12.7,0.1,9.4,0.1,13.3,4.8,1.7,2,6.2,0.043
ALEXIS PRINCE,ATL,25,2,1,1,3,3.5,1.5,2.5,60,0.5,0.5,100,0,0,0,0.5,0.5,1,0,0,0,0,0.5,4.7,0,0,3,141.7,91.7,50,0,0,0,20,50,28.6,0,70,70,35.7,96,22,1,1,0,2,1,0,0,2,0,0,0.5,0,80,20,57.1,0,42.9,0,0,28.6,57.1,50,50,100,0,66.7,33.3,35.7,42.9,45.5,100,50,0,0,50,50,50,0,0,0,0,0,33.3,0,41.2,91.7,0.5,50,50,0,0,0,0,1,0,0,2,0.022
ALLIE QUIGLEY,CHI,33,32,12,20,29.7,15.4,5.7,12.3,46.6,2.3,5.4,42,1.7,2,85.7,0.3,2.1,2.4,2.5,2.1,0.7,0.3,1.8,23,0,0,-4.4,100.6,108.8,-8.3,14.4,1.23,14.4,1.1,7,4.2,11.7,55.9,58.6,21.9,97.59,9.5,3.1,0.8,2.6,3.4,13.9,9.7,6.9,28.4,0.3,0.2,1.8,2,55.7,44.3,44.6,22.3,44.4,16.6,11,20.1,22.3,67.3,32.7,83.6,16.4,73.8,26.2,21.9,24.6,24.2,41.5,35.6,18.7,17.4,5.3,11.5,10,15.6,18.2,13.7,11.1,7,13.6,16.2,25.2,108.8,2.1,7,11.5,0.7,13.7,0.3,11.1,13.9,9.7,6.9,28.4,0.029
