Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,30,18,21.2,3.3,6.8,0.488,0.1,0.4,0.25,3.2,6.4,0.503,0.495,2,2.2,0.909,1.6,5.2,1.6,0.6,0.7,1,2.6,8.7
Kayla Alexander,CHI,3,0,6.7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,1,1.3,0.75,0.7,2.3,0.3,0,0,0.3,1,3
Rebecca Allen,NYL,24,2,17.2,2.7,6.5,0.417,1.2,2.8,0.426,1.5,3.7,0.409,0.51,0.5,0.7,0.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2
Jillian Alleyne,MIN,5,0,2.8,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.4,1,0.2,0,0.2,0,0,0.8
Kristine Anigwe,TOT,27,0,9.3,0.8,2.5,0.324,0,0,,0.8,2.5,0.324,0.324,0.8,1.2,0.688,1,2.4,0.2,0.3,0.3,0.6,1.4,2.4
Ariel Atkins,WAS,33,33,24.4,3.7,9,0.416,1.5,4.3,0.357,2.2,4.6,0.471,0.502,1.3,1.6,0.811,0.7,2.8,2,1.5,0.5,1,2.2,10.3
Seimone Augustus,MIN,12,7,13,1.7,5.3,0.313,0.2,1,0.167,1.5,4.3,0.346,0.328,0.3,0.3,0.75,0.2,0.6,1.3,0.4,0.1,1,0.4,3.8
Rachel Banham,CON,29,0,12.2,1.3,4,0.322,0.8,2.5,0.306,0.5,1.5,0.349,0.417,0.3,0.4,0.692,0,1,0.9,0.3,0.1,0.9,1.2,3.6
Alana Beard,LAS,16,3,14.7,1.4,3.1,0.449,0.1,0.3,0.2,1.3,2.8,0.477,0.459,0.4,0.6,0.778,0.1,1.5,1.4,0.8,0.2,0.6,1.3,3.3
Kenisha Bell,MIN,3,0,3.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0,0,0.3,0.3,0
Alex Bentley,ATL,29,4,21.9,3.4,11.1,0.307,1.1,4.7,0.235,2.3,6.4,0.358,0.356,1,1.2,0.857,0.3,1.9,3,0.7,0.3,1.5,1.9,9
Tiffany Bias,NYL,12,0,8.8,0.6,2.3,0.25,0.3,1.6,0.158,0.3,0.8,0.444,0.304,0.5,0.6,0.857,0,0.5,0.9,0.3,0,0.7,0.6,1.9
Monique Billings,ATL,29,2,19.1,1.9,5,0.389,0,0,1,1.9,4.9,0.385,0.392,1.6,2.1,0.783,2.1,6.9,0.6,0.6,0.4,1.6,2.3,5.5
DeWanna Bonner,PHO,34,34,32.9,5.6,14.8,0.377,1.5,5.6,0.272,4.1,9.2,0.441,0.429,4.5,4.9,0.916,1,7.6,2.7,1.3,0.6,1.6,1.6,17.2
Brittany Boyd,NYL,33,17,19.7,2.2,5.5,0.394,0.2,0.7,0.304,1.9,4.8,0.408,0.414,0.8,1,0.765,0.8,3.7,4.6,1.4,0.1,2.5,2.1,5.3
Imani McGee-Stafford,DAL,29,6,11.9,1.8,3.8,0.468,0,0.1,0.25,1.7,3.6,0.476,0.472,0.3,0.5,0.643,1.5,3.8,0.6,0.6,0.6,1.2,2,3.9
Jessica Breland,ATL,33,33,23.2,3.2,8.3,0.378,0.3,1.2,0.237,2.9,7.2,0.401,0.395,0.9,1,0.879,1.3,7.3,1.7,1.3,1.1,1.2,2,7.5
Kalani Brown,LAS,28,0,13.5,1.9,4,0.478,0,0,0,1.9,4,0.482,0.478,1.3,1.6,0.783,1.2,3.5,0.6,0.3,0.8,1,1.7,5.1
